# id: GB/NERC/BAS/PDC/02058
# title: A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species
# summary: Data on the resting metabolic rate, body mass and body temperature data for a range of vertebrate and invertebrate taxa culled from the literature for a comprehensive study of scaling relationships.
# : The data are global in extent.
# : Funding acknowledgement: 
# : BAS Core Funding
# keywords: mass,metabolic rate,scaling,temperature
# citation: Clarke, A., & Johnston, N.M. (2025). A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species (Version 1.0) [Data set]. NERC EDS UK Polar Data Centre. https://doi.org/10.5285/8d9ffd4a-16c0-4d48-9fc9-02988676ef78
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
# history: Data for mammals, birds, reptiles, echinoderms, cephalopods and cnidarians were from previous compilations available in the published scientific literature.  Data for fish were compiled from published studies, validated and collated.
# comment: With the exception of the data for teleost fish, data were extracted from the literature, relying on quality control by the original compiler.  The fish data were edited to exclude data where fish were active, or where the range of body mass was too small for scaling parameters to be determined with precision.
# : The data have not been processed other than converting original units to SI where appropriate. For publication the data were analysed using Minitab (version 16) and R (version 4.4.2).
# institution: British Antarctic Survey
# authors: Andrew Clarke,Nadine M. Johnston
# publisher_name: NERC EDS UK Polar Data Centre
# publisher_type: institution
# publisher_email: pdc@bas.ac.uk
# publisher_url: https://www.bas.ac.uk/data/uk-pdc/
# missing values: blank cell
Type,Authors,Date,Journal,Title,Volume,Issue,Pages,doi,Book title,Editor,Place of publication,Publisher
Journal Article,P. S. Agutter; D. N. Wheatley,2004,Theoretical Biology and Medical Modelling,Metabolic scaling: consensus or controversy?,1,,article 13,10.1186/1742-4682-1-13,,,,
Journal Article,M. Alcaraz,2016,Journal of Plankton Research,Marine zooplankton and the Metabolic Theory of Ecology: is it a predictive tool?,38,3,762-770,10.1093plankt/fbw012,,,,
Journal Article,A. C. Algar; J. T. Kerr; D. J. Currie,2007,Global Ecology and Biogeography,A test of Metabolic Theory as the mechanism underlying broad-scale species-richness gradients,16,2,170-178,10.1111/j.1466-8238.2006.00275.x,,,,
Journal Article,A. P. Allen; J. H. Brown; J. F. Gillooly,2002,Science,"Global biodiversity, biochemical kinetics, and the energy-equivalence rule",297,5586,1545-1548,10.1126/science.1072380,,,,
Journal Article,A. P. Allen; J. F. Gillooly,2006,Ecology Letters,Assessing latitudinal gradients in speciation rates and biodiversity at the global scale,9,8,947-954,10.1111/j.1461-0248.2006.00946.x,,,,
Journal Article,A. P. Allen; J. F. Gillooly,2009,Ecology Letters,Towards an integration of ecological stoichiometry and the metabolic theory of ecology to better understand nutrient cycling,12,5,369-384,10.1111/j.1461-0248.2009.01302.x,,,,
Journal Article,A. P. Allen; J. F. Gillooly; J. H. Brown,2005,Functional Ecology,Linking the global carbon cycle to individual metabolism,19,2,202-213,10.1111/j.1365-2435.2005.00952.x,,,,
Book Section,A. P. Allen; J. F. Gillooly; J. H. Brown,2007,,Recasting the species-energy hypothesis: the different roles of kinetic and potential energy in regulating diversity,,,283-299,,Scaling biodiversity,D. Storch; P. A. Marquet; J. H. Brown,Cambridge,Cambridge University Press
Journal Article,M. N. A. Almegbel; E. A. Rowe; F. N. Alnaser; M. Yeager; N. W. Blackstone,2019,Biological Bulletin,Metabolic activation and scaling in two species of colonial cnidarians,237,1,63-72,10.1086/703791,,,,
Journal Article,M. E. F. Apol; R. S. Etienne; H. Olff,2008,Functional Ecology,Revisiting the evolutionary origin of allometric metabolic scaling in biology,22,6,1070-1080,10.1111/j.1365-2435.2008.01458.x,,,,
