# id: GB/NERC/BAS/PDC/02058
# title: A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species
# summary: Data on the resting metabolic rate, body mass and body temperature data for a range of vertebrate and invertebrate taxa culled from the literature for a comprehensive study of scaling relationships.
# : The data are global in extent.
# : Funding acknowledgement: 
# : BAS Core Funding
# keywords: mass,metabolic rate,scaling,temperature
# citation: Clarke, A., & Johnston, N.M. (2025). A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species (Version 1.0) [Data set]. NERC EDS UK Polar Data Centre. https://doi.org/10.5285/8d9ffd4a-16c0-4d48-9fc9-02988676ef78
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
# history: Data for mammals, birds, reptiles, echinoderms, cephalopods and cnidarians were from previous compilations available in the published scientific literature.  Data for fish were compiled from published studies, validated and collated.
# comment: With the exception of the data for teleost fish, data were extracted from the literature, relying on quality control by the original compiler.  The fish data were edited to exclude data where fish were active, or where the range of body mass was too small for scaling parameters to be determined with precision.
# : The data have not been processed other than converting original units to SI where appropriate. For publication the data were analysed using Minitab (version 16) and R (version 4.4.2).
# institution: British Antarctic Survey
# authors: Andrew Clarke,Nadine M. Johnston
# publisher_name: NERC EDS UK Polar Data Centre
# publisher_type: institution
# publisher_email: pdc@bas.ac.uk
# publisher_url: https://www.bas.ac.uk/data/uk-pdc/
# [a]: unique number for each data record
# [b]: live body mass (g)
# [c]: body temperature (Celsius)
# [d]: metabolic rate
# [e]: metabolic rate units (W or mW)
# [f]: score indicating which data were used when there are more than one record for a species (1 = used, 0 = not used)
# missing values:*
Ref [a],Phylum,Class,Species,Mb [b],Tb [c],MR [d],Unit (MR) [e],Usage [f]
1,Chordata,Mammalia,Tachyglossus aculeatus,2725,30.7,2.404,W,1
2,Chordata,Mammalia,Zaglossus bruijni,10300,30.8,6.778,W,1
3,Chordata,Mammalia,Ornithorhynchus anatinus,693,32.1,1.082,W,1
4,Chordata,Mammalia,Caluromys derbianus,329,35,1.255,W,1
5,Chordata,Mammalia,Chironectes minimus,935,35,2.549,W,1
6,Chordata,Mammalia,Didelphis marsupialis,1165,35,3.185,W,1
7,Chordata,Mammalia,Didelphis virginiana,2488,35,4.641,W,1
8,Chordata,Mammalia,Gracilinanus microtarsus,13,35,0.106,W,1
9,Chordata,Mammalia,Lutreolina crassicaudata,812,35.8,2.265,W,1
10,Chordata,Mammalia,Marmosa robinsoni,122,34,0.547,W,1
11,Chordata,Mammalia,Metachirus nudicaudatus,336,35,1.144,W,1
12,Chordata,Mammalia,Monodelphis brevicaudata,75.5,33.7,0.318,W,1
13,Chordata,Mammalia,Monodelphis domestica,104,32.6,0.335,W,1
14,Chordata,Mammalia,Philander opossum,751,35.8,1.886,W,1
15,Chordata,Mammalia,Notoryctes caurinus,34,30.8,0.119,W,1
16,Chordata,Mammalia,Antechinomys laniger,25.8,35.8,0.141,W,1
17,Chordata,Mammalia,Antechinus flavipes,46.5,35,0.252,W,1
18,Chordata,Mammalia,Antechinus stuartii,28.2,35.1,0.189,W,1
19,Chordata,Mammalia,Antechinus swainsonii,66.9,36,0.351,W,1
20,Chordata,Mammalia,Dasycercus cristicauda,101,36.9,0.285,W,1
21,Chordata,Mammalia,Dasyuroides byrnei,118.2,35.2,0.462,W,1
22,Chordata,Mammalia,Dasyurus geoffroii,1354,36.2,3.172,W,1
23,Chordata,Mammalia,Dasyurus hallucatus,558,35.9,1.356,W,1
24,Chordata,Mammalia,Dasyurus maculatus,1782,36.9,3.281,W,1
25,Chordata,Mammalia,Dasyurus viverrinus,982,36.6,2.21,W,1
26,Chordata,Mammalia,Myrmecobius fasciatus,400,32.5,0.794,W,1
27,Chordata,Mammalia,Ningaui yvonnae,11.6,34.4,0.088,W,1
28,Chordata,Mammalia,Phascogale tapoatafa,157,37.4,0.71,W,1
29,Chordata,Mammalia,Planigale gilesi,9.1,35.1,0.039,W,1
30,Chordata,Mammalia,Planigale ingrami,7.1,*,0.063,W,1
31,Chordata,Mammalia,Planigale maculata,13.1,34.5,0.074,W,1
32,Chordata,Mammalia,Planigale tenuirostris,7.1,34.5,0.063,W,1
33,Chordata,Mammalia,Pseudantechinus macdonnellensis,43.1,34.2,0.152,W,1
34,Chordata,Mammalia,Sarcophilus harrisii,5775,35.8,7.394,W,1
35,Chordata,Mammalia,Sminthopsis crassicaudata,16.4,35.2,0.14,W,1
36,Chordata,Mammalia,Sminthopsis macroura,19.35,36.4,0.126,W,1
37,Chordata,Mammalia,Sminthopsis murina,19,35,0.12,W,1
38,Chordata,Mammalia,Echymipera kalubu,695,35,1.838,W,1
39,Chordata,Mammalia,Echymipera rufescens,1276,35.2,3.018,W,1
40,Chordata,Mammalia,Isoodon auratus,428,33.8,0.837,W,1
41,Chordata,Mammalia,Isoodon macrourus,1551,35.9,3.202,W,1
42,Chordata,Mammalia,Isoodon obesulus,717,33.9,1.238,W,1
43,Chordata,Mammalia,Macrotis lagotis,1294,35,2.51,W,1
44,Chordata,Mammalia,Perameles gunnii,837,35.2,2.343,W,1
45,Chordata,Mammalia,Perameles nasuta,645,36.1,1.763,W,1
46,Chordata,Mammalia,Phascolarctos cinereus,4765,35.8,5.768,W,1
47,Chordata,Mammalia,Lasiorhinus latifrons,29917,35.3,16.69,W,1
48,Chordata,Mammalia,Burramys parvus,44.3,36.1,0.205,W,1
49,Chordata,Mammalia,Cercartetus concinnus,18.6,34.4,0.125,W,1
50,Chordata,Mammalia,Cercartetus lepidus,12.6,33.7,0.105,W,1
51,Chordata,Mammalia,Cercartetus nanus,70,35.6,0.336,W,1
52,Chordata,Mammalia,Spilocuscus maculatus,4250,34.7,6.164,W,1
53,Chordata,Mammalia,Trichosurus vulpecula,2005,36,4.081,W,1
54,Chordata,Mammalia,Petauroides volans,1141,35.4,3.202,W,1
55,Chordata,Mammalia,Pseudocheirus peregrinus,916,37.4,2.402,W,1
56,Chordata,Mammalia,Gymnobelideus leadbeateri,166,*,0.574,W,1
57,Chordata,Mammalia,Petaurus breviceps,127,36.4,0.502,W,1
58,Chordata,Mammalia,Tarsipes rostratus,10,36.6,0.162,W,1
59,Chordata,Mammalia,Acrobates pygmaeus,14,34.7,0.084,W,1
60,Chordata,Mammalia,Aepyprymnus rufescens,2820,36.5,5.978,W,1
61,Chordata,Mammalia,Bettongia gaimardi,1385,35.6,3.578,W,1
62,Chordata,Mammalia,Bettongia penicillata,1018,37.2,3.132,W,1
63,Chordata,Mammalia,Potorous tridactylus,976,35.9,2.323,W,1
64,Chordata,Mammalia,Dendrolagus matschiei,6960,36.3,7.96,W,1
65,Chordata,Mammalia,Lagorchestes conspicillatus,2660,36,4.749,W,1
66,Chordata,Mammalia,Macropus eugenii,4796,36.5,7.78,W,1
67,Chordata,Mammalia,Macropus robustus,29300,36.1,31.71,W,1
68,Chordata,Mammalia,Macropus rufus,32490,35.9,32.625,W,1
69,Chordata,Mammalia,Setonix brachyurus,2674,36.3,4.654,W,1
70,Chordata,Mammalia,Orycteropus afer,48000,34.5,34.275,W,1
71,Chordata,Mammalia,Trichechus inunguis,165223,*,64.52,W,1
72,Chordata,Mammalia,Echinops telfairi,116.4,*,0.75,W,1
73,Chordata,Mammalia,Geogale aurita,6.9,34.9,0.043,W,1
74,Chordata,Mammalia,Hemicentetes nigriceps,133,*,0.358,W,1
75,Chordata,Mammalia,Hemicentetes semispinosus,450,*,0.628,W,1
76,Chordata,Mammalia,Limnogale mergulus,77.7,*,0.312,W,1
77,Chordata,Mammalia,Microgale cowani,12.2,33,0.179,W,1
78,Chordata,Mammalia,Microgale dobsoni,44.6,30.9,0.315,W,1
79,Chordata,Mammalia,Microgale talazaci,44,31.2,0.243,W,1
80,Chordata,Mammalia,Setifer setosus,530,32.2,0.68,W,1
81,Chordata,Mammalia,Tenrec ecaudatus,650,33,0.729,W,1
82,Chordata,Mammalia,Amblysomus hottentotus,70,*,0.473,W,1
83,Chordata,Mammalia,Chrysochloris asiatica,44,34,0.287,W,1
84,Chordata,Mammalia,Eremitalpa granti namibensis,20,33.6,0.056,W,1
85,Chordata,Mammalia,Elephantulus brachyrhynchus,45.3,37.5,0.244,W,1
86,Chordata,Mammalia,Elephantulus edwardii,50,37.6,0.304,W,1
87,Chordata,Mammalia,Elephantulus intufi,46.49,37.2,0.29,W,1
88,Chordata,Mammalia,Elephantulus myurus,62.97,36.9,0.37,W,1
89,Chordata,Mammalia,Elephantulus rozeti,45.31,37.1,0.267,W,1
90,Chordata,Mammalia,Elephantulus rufescens,53,37.3,0.317,W,1
91,Chordata,Mammalia,Macroscelides proboscideus,39,36.2,0.292,W,1
92,Chordata,Mammalia,Petrodromus tetradactylus,206.1,37.5,1.001,W,1
93,Chordata,Mammalia,Dendrohyrax dorsalis,2210,*,4.19,W,1
94,Chordata,Mammalia,Heterohyrax brucei,2000,36.7,4.017,W,1
95,Chordata,Mammalia,Procavia capensis,2750,39,6.354,W,1
96,Chordata,Mammalia,Cabassous centralis,4330,33.6,5.116,W,1
97,Chordata,Mammalia,Chaetophractus nationi,2150,35.5,3.118,W,1
98,Chordata,Mammalia,Chaetophractus vellerosus,1110,34.4,1.707,W,1
99,Chordata,Mammalia,Chaetophractus villosus,4540,35.1,4.508,W,1
100,Chordata,Mammalia,Dasypus novemcinctus,3510,34.5,4.825,W,1
101,Chordata,Mammalia,Euphractus sexcinctus,8190,34.2,6.901,W,1
102,Chordata,Mammalia,Priodontes maximus,45190,33.6,16.892,W,1
103,Chordata,Mammalia,Tolypeutes matacus,1160,33,1.172,W,1
104,Chordata,Mammalia,Zaedyus pichiy,1740,35.2,2.192,W,1
105,Chordata,Mammalia,Bradypus variegatus,3790,33,3.827,W,1
106,Chordata,Mammalia,Choloepus hoffmanni,3770,34.4,3.364,W,1
107,Chordata,Mammalia,Cyclopes didactylus,240,33,0.636,W,1
108,Chordata,Mammalia,Myrmecophaga tridactyla,30600,32.5,14.543,W,1
109,Chordata,Mammalia,Tamandua mexicana,3977,32,5.534,W,1
110,Chordata,Mammalia,Tamandua tetradactyla,3500,33.5,5.015,W,1
111,Chordata,Mammalia,Tupaia glis,123,37,0.522,W,1
112,Chordata,Mammalia,Urogale everetti,260.6,*,1.25,W,1
113,Chordata,Mammalia,Ptilocerus lowii,57.5,36.5,0.24,W,1
114,Chordata,Mammalia,Cheirogaleus medius,300,38,1.088,W,1
115,Chordata,Mammalia,Eulemur fulvus,2330,36.5,4.162,W,1
116,Chordata,Mammalia,Propithecus verreauxi,3350,*,3.738,W,1
117,Chordata,Mammalia,Arctocebus calabarensis,206,*,0.731,W,1
118,Chordata,Mammalia,Loris tardigradus,284,35.5,0.714,W,1
119,Chordata,Mammalia,Nycticebus coucang,1160,35.4,1.523,W,1
120,Chordata,Mammalia,Perodicticus potto,964,36.1,1.824,W,1
121,Chordata,Mammalia,Euoticus elegantulus,261.5,*,1.205,W,1
122,Chordata,Mammalia,Galago demidoff,63.8,*,0.329,W,1
123,Chordata,Mammalia,Galago moholi,170,*,0.285,W,1
124,Chordata,Mammalia,Galago senegalensis,171.5,37.9,0.764,W,1
125,Chordata,Mammalia,Otolemur crassicaudatus,950,38,2.298,W,1
126,Chordata,Mammalia,Otolemur garnettii,1314,*,3.927,W,1
127,Chordata,Mammalia,Tarsius spectrum,173,*,0.831,W,1
128,Chordata,Mammalia,Tarsius syrichta,113,33.8,0.43,W,1
129,Chordata,Mammalia,Callithrix pygmaea,116.8,*,0.631,W,1
130,Chordata,Mammalia,Callithrix jacchus,190,*,0.848,W,1
131,Chordata,Mammalia,Callithrix pygmaea,116.8,*,0.653,W,1
132,Chordata,Mammalia,Saguinus geoffroyi,225,*,1.305,W,1
133,Chordata,Mammalia,Saimiri sciureus,875,38,4.468,W,1
134,Chordata,Mammalia,Aotus trivirgatus,820,38,2.466,W,1
135,Chordata,Mammalia,Alouatta palliata,4670,*,11.464,W,1
136,Chordata,Mammalia,Cercopithecus mitis,8500,37.5,18.923,W,1
137,Chordata,Mammalia,Colobus guereza,10450,37,16.613,W,1
138,Chordata,Mammalia,Erythrocebus patas,3000,*,5.958,W,1
139,Chordata,Mammalia,Papio anubis,9500,37.3,14.97,W,1
140,Chordata,Mammalia,Papio hamadryas,16900,37,27.737,W,1
141,Chordata,Mammalia,Papio ursinus,9500,*,15.497,W,1
142,Chordata,Mammalia,Aplodontia rufa,630,38,1.546,W,1
143,Chordata,Mammalia,Ammospermophilus leucurus,95.7,37.5,0.524,W,1
144,Chordata,Mammalia,Cynomys ludovicanus,112.3,36.7,2.278,W,1
145,Chordata,Mammalia,Epixerus ebii,460,*,1.347,W,1
146,Chordata,Mammalia,Funisciurus anerythrus,63,*,0.58,W,1
147,Chordata,Mammalia,Funisciurus congicus,112.3,39.3,0.533,W,1
148,Chordata,Mammalia,Funisciurus isabella,60,*,0.57,W,1
149,Chordata,Mammalia,Funisciurus lemniscatus,95,*,0.5,W,1
150,Chordata,Mammalia,Funisciurus pyrropus,244,*,1.011,W,1
151,Chordata,Mammalia,Glaucomys volans,64.25,39,0.377,W,1
152,Chordata,Mammalia,Heliosciurus rufobrachium,230,*,0.744,W,1
153,Chordata,Mammalia,Marmota flaviventris,4295,36.5,8.626,W,1
154,Chordata,Mammalia,Marmota monax,2650,37,3.696,W,1
155,Chordata,Mammalia,Paraxerus ornatus,366.6,39.3,1.452,W,1
156,Chordata,Mammalia,Paraxerus cepapi,223.6,*,0.811,W,1
157,Chordata,Mammalia,Sciurus aberti,624,40.7,2.402,W,1
