Species;Code;depth;Temp;mgWM;mgDW;mgC;mgN;R
Ariosoma balearicum;F1;50;25;721;44.1;11;1.9;115
Gymnothorax saxicola;F2;50;25;400;29.5;5.4;1;68
Ophichthus gomesii;F3;50;25;200;16.5;4.03;0.776;73.7
Paraconger caudilimbatus;F4;50;25;224;17.4;5.2;1.1;40.9
Hypoatherina sp.;F5-1;1;26;182;55.6;24.7;6.78;199.5
Hypoatherina sp.;F5-2;1;29;225;60.8;26.7;7.17;251.6
Cypselurus sp.;F6;2;26.4;133;30.5;12.1;3.33;115.6
Scomberesocidae sp.;F7;2;15.9;6.68;1.53;0.66;0.17;2.97
Anoplogaster cornuta;F8-1;650;5;40233;4023;1674;368;530
Anoplogaster cornuta;F8-2;550;5;50900;7635;3177;698.2;1222
Anoplogaster cornuta;F8-3;600;7;17368;1962;852.9;154.6;555.8
Brevoortia tyrannus;F9;1;20;302000;104000;42866;12168;21119
Engraulis capensis;F10;1;16;10400;3328;1747;499;807
Engraulis ringens;F11-1;1;15;7424;1700;700;272;1849
Engraulis ringens;F11-2;1;15;12600;4032;2117;605;3871
Herklotsichthys sp.;F12;1;27;130;41.22;18.34;5.15;179.1
Sardinops sagax;F13;1;25;68700;14496;6741;1826;20622
Melanonus zugmayeri;F14;550;5;31500;4922;2163;388;536
Caulophrynidae sp.;F15;900;5;28100;2670;1081;222;94
Melanocetus johnsonii;F16;800;5;30163;2865;1161;238;358
Oneirodes acanthias;F17;900;5;4200;400;162;33.2;33.6
Oneirodes sp.;F18;900;5;53400;5073;2055;421;256
Neomyxus sp.;F19-1;1;28;27.6;6.1;2.64;0.73;26.4
Neomyxus sp.;F19-2;1;28;45.7;14.97;5.94;1.54;39.9
Diaphus mollis;F20;90;20;168;45;21.7;3.5;49.1
Diaphus theta;F21;1;10;2100;711;372;42.1;437
Electrona antarctica;F22;50;0.5;4600;1530;676.3;93;193.2
Gymnoscopelus braueri;F23;150;0.5;12200;4126;1973;249;317.2
Gymnoscopelus opisthopterus;F24;150;0.5;19200;5955;3147;346;422.4
Lampanyctus nobilis;F25;120;7;3670;774;372.5;61;157.8
Lampanyctus regalis;F26;500;5;2900;399;178;34.8;31.9
