code;sp;fam
2;Oreochromis niloticus;Cichlidae
3;Oreochromis mossambicus;Cichlidae
4;Engraulis ringens;Eugraulidae
23;;Callionymidae
34;;Gadidae
35;;Anguillidae
43;;Bothidae
53;;Soleidae
62;;Cyclopteridae
63;;Moronidae
69;;Gadidae
71;;Carangidae
73;;Gobiidae
79;;Cyprinidae
80;;Chanidae
82;;Cyprinidae
228;;Albulinae
236;;Salmonidae
238;;Salmonidae
239;;Salmonidae
240;;Salmonidae
243;;Salmonidae
244;;Salmonidae
245;;Salmonidae
246;;Salmonidae
247;;Salmonidae
251;;Plecoglossidae
258;;Esocidae
263;;Serrasalmidae
268;;Cyprinidae
269;;Cyprinidae
270;;Cyprinidae
271;;Cyprinidae
272;;Cyprinidae
291;;Ictaluridae
295;;Anguillidae
296;;Anguillidae
301;;Congridae
308;;Gadidae
310;;Lotidae
315;;Gadidae
318;;Gadidae
319;;Gadidae
345;;Centropomidae
346;;Centropomidae
358;;Percidae
361;;Serranidae
382;;Carangidae
408;;Sciaenidae
429;;Sciaenidae
445;;Sparidae
468;;Nototheniidae
473;;Channichthyidae
475;;Channichthyidae
477;;Channichthyidae
503;;Sebastidae
509;;Hexagrammidae
512;;Anoplopomatidae
525;;Soleidae
529;;Scophthalmidae
572;;Labridae
695;;Pleuronectidae
785;;Mugilidae
845;;Scyliorhinidae
854;;Scyliorhinidae
874;;Carcharhinidae
897;;Carcharhinidae
1164;;Sparidae
1191;;Sciaenidae
1311;;Balistidae
1329;;Cottidae
1341;;Pleuronectidae
1342;;Pleuronectidae
1348;;Scophthalmidae
1351;;Paralichthyidae
1355;;Gasterosteidae
1364;;Trachinidae
1380;;Stichaeidae
1381;;Gadidae
1387;;Cichlidae
1389;;Cichlidae
1390;;Cichlidae
1450;;Cyprinidae
1663;;Eugraulidae
1701;;Blenniidae
1706;;Pomacentridae
1753;;Sparidae
1758;;Scorpaenidae
1761;;Serranidae
1770;;Syngnathidae
1801;;Syngnathidae
1900;;Carangidae
1917;;Carangidae
2033;;Cichlidae
2062;;Torpedinidae
2065;;Acipenseridae
2067;;Monodontidae
2085;;Mormyridae
2137;;Cichlidae
2279;;Cichlidae
2343;;Cichlidae
2389;;Cichlidae
2420;;Gasterosteridae
2439;;Ictaluridae
2499;;Mugilidae
2504;;Acipenseridae
2505;;Acipenseridae
2511;;Myxinidae
2512;;Myxinidae
2513;;Myxinidae
2516;;Petromyzontidae
2530;;Petromyzontidae
2532;;Ginglymostomatidae
2591;;Acipenseridae
2669;;Salmonidae
2678;;Salmonidae
2711;;Esocidae
2743;;Cyprinidae
2801;;Cyprinidae
2928;;Cyprinidae
2948;;Cyprinidae
2951;;Cyprinidae
2965;;Catostomidae
2986;;Catostomidae
3021;;Ictaluridae
3022;;Ictaluridae
3069;;Batrachoididae
3131;;Cyprinidae
3141;;Zoarcidae
3143;;Zoarcidae
3146;;Zoarcidae
3173;;Cyprinodontidae
3181;;Cyprinodontidae
3192;;Fundulidae
3200;;Fundulidae
3215;;Poeciliidae
3228;;Poeciliidae
3231;;Poeciliidae
3372;;Centrarchidae
3375;;Centrarchidae
3382;;Centrarchidae
3385;;Centrarchidae
3387;;Centrarchidae
3402;;Percidae
3576;;Sparidae
