Species;Temp(degC);Int(mmol);Slope(b);MinMb(g);MaxMb(g);MedMb(g);VO2(MedMb);VO2(47g);;SMR(MedMb)mW
Anguilla anguillai;18;-9.038;1.291;10.0;480.0;245;0.144;0.017;;17.38738665
Anguilla anguillai;20;-5.011;0.773;10.0;480.0;245;0.468;0.131;;56.44819334
Anguilla anguillai;24;-4.229;0.678;10.0;480.0;245;0.607;0.198;;73.2013513
Anguilla anguillai;27;-4.049;0.689;10.0;480.0;245;0.771;0.247;;92.92354817
Anguilla rostrata;15;-5.363;0.570;0.8;6.2;3.51;0.010;0.042;;1.155937647
Anguilla rostrata;20;-4.605;0.520;1.0;6.8;3.865;0.020;0.074;;2.435326328
Anguilla rostrata;23;-4.248;0.525;0.3;2.5;1.39;0.017;0.108;;2.048043927
Anguilla rostrata;25;-4.064;0.570;0.8;4.6;2.71;0.030;0.154;;3.657834884
Arnoglossus thori;11;-5.551;0.771;0.3;3.5;1.9;0.006;0.076;;0.768173266
Arnoglossus thori;19;-5.213;0.700;0.2;2.0;1.1;0.006;0.081;;0.701901509
Artediellus atlanticus;0;-7.429;0.920;0.7;51.4;26.05;0.012;0.021;;1.436812381
Artediellus uncinatus;-1.5;-6.609;0.909;0.1;577.0;288.55;0.232;0.045;;27.95734903
Artediellus uncinatus;0;-7.282;0.820;1.2;3.7;2.45;0.001;0.016;;0.172855874
Barbus aeneus;10;-5.079;0.626;7.4;325.5;166.45;0.153;0.069;;18.40131977
Barbus aeneus;15;-4.881;0.681;7.4;325.5;166.45;0.247;0.104;;29.72120047
Barbus aeneus;20;-4.295;0.610;7.4;325.5;166.45;0.308;0.143;;37.14275525
Barbus aeneus;25;-4.781;0.838;7.4;325.5;166.45;0.608;0.211;;73.32984739
Bathylagus antarcticus;0.5;-6.972;0.889;1.3;53.0;27.15;0.018;0.029;;2.127260247
Boreogadus saida;-1.5;-5.880;0.830;0.7;122.1;61.38;0.085;0.068;;10.27498353
