"","habitatbenthopelagic","habitatdemersal","habitatpelagic","SpecCode","Genus","Subfamily","waterbrack","watersaltwater","Species","Family","Order","Class","SuperClass","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Anoplogaster brachycera",0,0,1,12018,"Anoplogaster",NA,0,1,"Anoplogaster brachycera","Anoplogastridae","Trachichthyiformes","Teleostei","Osteichthyes",26.7088494302948,NA,NA,NA,NA,NA,NA,3.32999992370605,NA,NA,NA,NA,NA,NA,11.1
"Anoplogaster cornuta",0,0,1,2308,"Anoplogaster",NA,0,1,"Anoplogaster cornuta","Anoplogastridae","Trachichthyiformes","Teleostei","Osteichthyes",26.7088494302948,NA,NA,NA,-0.150822889734584,4.2368362537006,0.182321556793955,4.01,2.70805020110221,NA,-1.61203532130199,-0.353823506678651,0.0832859099730245,-0.838135661323449,4
"Arnoglossus andrewsi",0,1,0,59540,"Arnoglossus",NA,0,1,"Arnoglossus andrewsi","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.66000008583069,NA,NA,NA,NA,NA,NA,15.6
"Arnoglossus arabicus",0,1,0,24420,"Arnoglossus",NA,0,1,"Arnoglossus arabicus","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.42000007629395,NA,NA,NA,NA,NA,NA,20.1
"Arnoglossus armstrongi",0,1,0,59541,"Arnoglossus",NA,0,1,"Arnoglossus armstrongi","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.57999992370605,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus aspilos",0,1,0,13842,"Arnoglossus",NA,0,1,"Arnoglossus aspilos","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,27.9
"Arnoglossus bassensis",0,1,0,52437,"Arnoglossus",NA,1,1,"Arnoglossus bassensis","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.63000011444092,NA,NA,NA,NA,NA,NA,17.4
"Arnoglossus boops",0,1,0,59558,"Arnoglossus",NA,0,1,"Arnoglossus boops","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus brunneus",0,1,0,15535,"Arnoglossus",NA,0,1,"Arnoglossus brunneus","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,12.5
"Arnoglossus capensis",0,1,0,8829,"Arnoglossus",NA,0,1,"Arnoglossus capensis","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.57999992370605,NA,NA,NA,NA,NA,NA,23.4
"Arnoglossus coeruleosticta",0,1,0,55116,"Arnoglossus",NA,0,1,"Arnoglossus coeruleosticta","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus dalgleishi",0,1,0,7637,"Arnoglossus",NA,0,1,"Arnoglossus dalgleishi","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,24.7
"Arnoglossus debilis",0,1,0,10585,"Arnoglossus",NA,0,1,"Arnoglossus debilis","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,14.4
"Arnoglossus elongatus",0,1,0,12561,"Arnoglossus",NA,0,1,"Arnoglossus elongatus","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,26.4
"Arnoglossus fisoni",0,1,0,15541,"Arnoglossus",NA,0,1,"Arnoglossus fisoni","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,24.6
"Arnoglossus grohmanni",0,1,0,63361,"Arnoglossus",NA,0,1,"Arnoglossus grohmanni","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus imperialis",0,1,0,42,"Arnoglossus",NA,0,1,"Arnoglossus imperialis","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.84,NA,NA,-1.22606843569389,-0.901355868023235,0.26918631610735,-1.41170819013345,11.7
"Arnoglossus japonicus",0,1,0,12562,"Arnoglossus",NA,0,1,"Arnoglossus japonicus","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,21.2
"Arnoglossus kessleri",0,1,0,1809,"Arnoglossus",NA,0,1,"Arnoglossus kessleri","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,4.05,NA,NA,NA,NA,NA,NA,15.2
"Arnoglossus kotthausi",0,1,0,69669,"Arnoglossus",NA,0,1,"Arnoglossus kotthausi","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus laterna",0,1,0,41,"Arnoglossus",NA,0,1,"Arnoglossus laterna","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,0.693147180559945,NA,1.91692261218206,-0.843848630640198,3.52701722070878,-0.622378109671738,3.59,2.81321069675737,9.38697914563464,-1.08447636553765,-0.891217601495504,0.0792185920775709,-1.10877193306173,10.8
"Arnoglossus macrolophus",0,1,0,13064,"Arnoglossus",NA,0,1,"Arnoglossus macrolophus","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,27.1
"Arnoglossus marisrubri",0,1,0,60532,"Arnoglossus",NA,0,1,"Arnoglossus marisrubri","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus micrommatus",0,1,0,28140,"Arnoglossus",NA,0,1,"Arnoglossus micrommatus","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.51999998092651,NA,NA,NA,NA,NA,NA,17.4
"Arnoglossus muelleri",0,1,0,14520,"Arnoglossus",NA,0,1,"Arnoglossus muelleri","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.58999991416931,NA,NA,NA,NA,NA,NA,16.3
"Arnoglossus multirastris",0,1,0,59546,"Arnoglossus",NA,0,1,"Arnoglossus multirastris","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus nigrifrons",0,1,0,58969,"Arnoglossus",NA,0,1,"Arnoglossus nigrifrons","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,9.6
"Arnoglossus oxyrhynchus",0,1,0,15548,"Arnoglossus",NA,0,1,"Arnoglossus oxyrhynchus","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.59999990463257,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus polyspilus",0,1,0,12566,"Arnoglossus",NA,0,1,"Arnoglossus polyspilus","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,23.6
"Arnoglossus rueppelii",0,1,0,1695,"Arnoglossus",NA,0,1,"Arnoglossus rueppelii","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,4.03,NA,NA,NA,NA,NA,NA,14.2
"Arnoglossus sayaensis",0,1,0,24586,"Arnoglossus",NA,0,1,"Arnoglossus sayaensis","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.54999995231628,NA,NA,NA,NA,NA,NA,16.4
"Arnoglossus scapha",0,1,0,47433,"Arnoglossus",NA,0,1,"Arnoglossus scapha","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.75,NA,NA,NA,NA,NA,NA,13.3
"Arnoglossus septemventralis",0,1,0,58970,"Arnoglossus",NA,0,1,"Arnoglossus septemventralis","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus tapeinosoma",0,1,0,56731,"Arnoglossus",NA,0,1,"Arnoglossus tapeinosoma","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.46000003814697,NA,NA,NA,NA,NA,NA,24.6
"Arnoglossus tenuis",0,1,0,15549,"Arnoglossus",NA,0,1,"Arnoglossus tenuis","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,23.3
"Arnoglossus thori",0,1,0,43,"Arnoglossus",NA,0,1,"Arnoglossus thori","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,0.693147180559945,NA,2.30258509299405,-0.766004652863336,3.84852554220169,-0.867500567704723,3.28,2.9325261976502,12.6491546172096,-1.02867628219712,-0.848594984337053,0.303052079980681,-1.45549460105859,15.4
"Arnoglossus waitei",0,1,0,11675,"Arnoglossus",NA,0,1,"Arnoglossus waitei","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,27.2
"Arnoglossus yamanakai",0,1,0,58974,"Arnoglossus",NA,0,1,"Arnoglossus yamanakai","Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",14.2533448757643,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,27.2
"Brevoortia aurea",0,0,1,1587,"Brevoortia",NA,0,1,"Brevoortia aurea","Alosidae","Clupeiformes","Teleostei","Osteichthyes",17.3758146618373,NA,NA,NA,NA,NA,NA,2.75,NA,NA,-1.15804784913851,-0.788047006724863,0.0892515155419977,-1.12956686139971,16.8
"Brevoortia gunteri",0,0,1,1588,"Brevoortia",NA,1,1,"Brevoortia gunteri","Alosidae","Clupeiformes","Teleostei","Osteichthyes",17.3758146618373,NA,NA,NA,NA,NA,NA,2.43,NA,NA,NA,NA,NA,NA,24.4
"Brevoortia patronus",0,0,1,1589,"Brevoortia",NA,0,1,"Brevoortia patronus","Alosidae","Clupeiformes","Teleostei","Osteichthyes",17.3758146618373,0,NA,NA,-0.907612282572771,5.63121178182137,0.0953101798043249,2.19,NA,10.9281841582541,-1.38078080814393,-0.720196852305296,0.0364585976272841,-1.03748477000183,24.3
"Brevoortia pectinata",0,0,1,1590,"Brevoortia",NA,1,1,"Brevoortia pectinata","Alosidae","Clupeiformes","Teleostei","Osteichthyes",17.3758146618373,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,16.4
