"","habitatbenthopelagic","habitatdemersal","habitatpelagic","waterbrack","watersaltwater","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Anoplogaster brachycera",0,0,1,0,1,27.7065560017515,NA,NA,NA,NA,NA,NA,3.32999992370605,NA,NA,NA,NA,NA,NA,11.1
"Anoplogaster cornuta",0,0,1,0,1,27.7065560017515,NA,NA,NA,-0.150822889734584,4.2368362537006,0.182321556793955,4.01,2.70805020110221,NA,-1.61203532130199,-0.353823506678651,0.0832859099730245,-0.838135661323449,4
"Arnoglossus andrewsi",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.66000008583069,NA,NA,NA,NA,NA,NA,15.6
"Arnoglossus arabicus",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.42000007629395,NA,NA,NA,NA,NA,NA,20.1
"Arnoglossus armstrongi",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.57999992370605,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus aspilos",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,27.9
"Arnoglossus bassensis",0,1,0,1,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.63000011444092,NA,NA,NA,NA,NA,NA,17.4
"Arnoglossus boops",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus brunneus",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,12.5
"Arnoglossus capensis",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.57999992370605,NA,NA,NA,NA,NA,NA,23.4
"Arnoglossus coeruleosticta",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus dalgleishi",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,24.7
"Arnoglossus debilis",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,14.4
"Arnoglossus elongatus",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,26.4
"Arnoglossus fisoni",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,24.6
"Arnoglossus grohmanni",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus imperialis",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.84,NA,NA,-1.22606843569389,-0.901355868023235,0.26918631610735,-1.41170819013345,11.7
"Arnoglossus japonicus",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,21.2
"Arnoglossus kessleri",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,4.05,NA,NA,NA,NA,NA,NA,15.2
"Arnoglossus kotthausi",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus laterna",0,1,0,0,1,14.9374990286592,0.693147180559945,NA,1.91692261218206,-0.843848630640198,3.52701722070878,-0.622378109671738,3.59,2.81321069675737,9.38697914563464,-1.08447636553765,-0.891217601495504,0.0792185920775709,-1.10877193306173,10.8
"Arnoglossus macrolophus",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,27.1
"Arnoglossus marisrubri",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus micrommatus",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.51999998092651,NA,NA,NA,NA,NA,NA,17.4
"Arnoglossus muelleri",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.58999991416931,NA,NA,NA,NA,NA,NA,16.3
"Arnoglossus multirastris",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus nigrifrons",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,9.6
"Arnoglossus oxyrhynchus",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.59999990463257,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus polyspilus",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,23.6
"Arnoglossus rueppelii",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,4.03,NA,NA,NA,NA,NA,NA,14.2
"Arnoglossus sayaensis",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.54999995231628,NA,NA,NA,NA,NA,NA,16.4
"Arnoglossus scapha",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.75,NA,NA,NA,NA,NA,NA,13.3
"Arnoglossus septemventralis",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus tapeinosoma",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.46000003814697,NA,NA,NA,NA,NA,NA,24.6
"Arnoglossus tenuis",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,23.3
"Arnoglossus thori",0,1,0,0,1,14.9374990286592,0.693147180559945,NA,2.30258509299405,-0.766004652863336,3.84852554220169,-0.867500567704723,3.28,2.9325261976502,12.6491546172096,-1.02867628219712,-0.848594984337053,0.303052079980681,-1.45549460105859,15.4
