"","habitatbenthopelagic","habitatdemersal","habitatpelagic","SpecCode","Genus","Subfamily","waterbrack","watersaltwater","Species","Family","Order","Class","SuperClass","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Abudefduf_abdominalis",1,0,0,6652,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf abdominalis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.02,NA,NA,-1.03758169240743,-1.49458394837026,0.152529221183924,-0.936281590850996,25.1
"Abudefduf_bengalensis",1,0,0,6517,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf bengalensis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.08,NA,NA,-1.05101216190912,-1.71413598380031,0.177041459791962,-0.891311350137226,28.7
"Abudefduf_concolor",1,0,0,11793,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf concolor","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.68,NA,NA,-0.997457937045753,-1.72542860727574,0.114677216623828,-0.790563589710077,27.3
"Abudefduf_conformis",1,0,0,55476,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf conformis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.74000000953674,NA,NA,NA,NA,NA,NA,28
"Abudefduf_declivifrons",1,0,0,55868,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf declivifrons","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.71000003814697,NA,NA,-1.05650658728465,-1.76188281786445,0.184412202178097,-0.792080909561241,28
"Abudefduf_hoefleri",1,0,0,11811,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf hoefleri","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.72000002861023,NA,NA,NA,NA,NA,NA,NA
"Abudefduf_lorenzi",1,0,0,5685,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf lorenzi","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.68,NA,NA,-0.976186031629474,-1.63208795044483,0.148825880035088,-0.893427411553657,28.8
"Abudefduf_margariteus",1,0,0,11823,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf margariteus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.72,NA,NA,-1.04992873987217,-1.3379125326634,0.132806956401539,-0.927138141213553,NA
"Abudefduf_natalensis",1,0,0,11825,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf natalensis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.76,NA,NA,NA,NA,NA,NA,23.9
"Abudefduf_nigrimargo",1,0,0,69265,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf nigrimargo","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.75999999046326,NA,NA,NA,NA,NA,NA,NA
"Abudefduf_notatus",1,0,0,5686,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf notatus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.73,NA,NA,-0.923681359196384,-1.66916300896023,0.175409620812265,-0.922272559441758,28.4
"Abudefduf_saxatilis",1,0,0,1119,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf saxatilis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.82,NA,NA,-1.06106573147325,-1.71805984170853,0.168152666956329,-0.845763310261449,27.3
"Abudefduf_septemfasciatus",1,0,0,5687,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf septemfasciatus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.01,NA,NA,-0.980885042523256,-1.73010179762641,0.121087573115895,-0.774419677179464,28.6
"Abudefduf_sexfasciatus",1,0,0,5688,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf sexfasciatus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,-1.05424482105049,-1.52574206270941,0.142942817759871,-0.901488751095311,28.4
"Abudefduf_sordidus",1,0,0,5689,"Abudefduf","Glyphisodontinae",1,1,"Abudefduf sordidus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.88,NA,NA,-1.02976862921215,-1.83359520373231,0.157253724490311,-0.818631418835365,28.4
"Abudefduf_sparoides",1,0,0,8018,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf sparoides","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.03,NA,NA,-1.09480808775259,-1.51503807782182,0.13005742878636,-0.850682217034739,26.9
"Abudefduf_taurus",1,0,0,1120,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf taurus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.14,NA,NA,-1.04173990528887,-1.76110484018906,0.106606079525682,-0.758194629984984,27.5
