"","habitatbenthopelagic","habitatdemersal","habitatpelagic","waterbrack","watersaltwater","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Abudefduf_abdominalis",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.02,NA,NA,-1.03758169240743,-1.49458394837026,0.152529221183924,-0.936281590850996,25.1
"Abudefduf_bengalensis",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.08,NA,NA,-1.05101216190912,-1.71413598380031,0.177041459791962,-0.891311350137226,28.7
"Abudefduf_concolor",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.68,NA,NA,-0.997457937045753,-1.72542860727574,0.114677216623828,-0.790563589710077,27.3
"Abudefduf_conformis",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.74000000953674,NA,NA,NA,NA,NA,NA,28
"Abudefduf_declivifrons",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.71000003814697,NA,NA,-1.05650658728465,-1.76188281786445,0.184412202178097,-0.792080909561241,28
"Abudefduf_hoefleri",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.72000002861023,NA,NA,NA,NA,NA,NA,NA
"Abudefduf_lorenzi",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.68,NA,NA,-0.976186031629474,-1.63208795044483,0.148825880035088,-0.893427411553657,28.8
"Abudefduf_margariteus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.72,NA,NA,-1.04992873987217,-1.3379125326634,0.132806956401539,-0.927138141213553,NA
"Abudefduf_natalensis",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.76,NA,NA,NA,NA,NA,NA,23.9
"Abudefduf_nigrimargo",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.75999999046326,NA,NA,NA,NA,NA,NA,NA
"Abudefduf_notatus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.73,NA,NA,-0.923681359196384,-1.66916300896023,0.175409620812265,-0.922272559441758,28.4
"Abudefduf_saxatilis",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.82,NA,NA,-1.06106573147325,-1.71805984170853,0.168152666956329,-0.845763310261449,27.3
"Abudefduf_septemfasciatus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.01,NA,NA,-0.980885042523256,-1.73010179762641,0.121087573115895,-0.774419677179464,28.6
"Abudefduf_sexfasciatus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,-1.05424482105049,-1.52574206270941,0.142942817759871,-0.901488751095311,28.4
"Abudefduf_sordidus",1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,2.88,NA,NA,-1.02976862921215,-1.83359520373231,0.157253724490311,-0.818631418835365,28.4
"Abudefduf_sparoides",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.03,NA,NA,-1.09480808775259,-1.51503807782182,0.13005742878636,-0.850682217034739,26.9
"Abudefduf_taurus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.14,NA,NA,-1.04173990528887,-1.76110484018906,0.106606079525682,-0.758194629984984,27.5
"Abudefduf_troschelii",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.95,NA,NA,-1.05691204029371,-1.54334156676923,0.202576083283631,-0.951241319854992,26.4
"Abudefduf_vaigiensis",1,0,0,0,1,NA,NA,NA,NA,-0.162518929497775,5.20879274308953,NA,2.57,2.9391619220656,NA,-1.01547233742867,-1.67181148851504,0.169203730233477,-0.869034620717773,28.2
"Abudefduf_whitleyi",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.64,NA,NA,-1.02761712988369,-1.68128298719765,0.148804459704184,-0.885559500321112,26.2
"Abyssoberyx_levisquamosus",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,NA
"Abalistes_filamentosus",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,23.9
"Abalistes_stellatus",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.64,NA,NA,-2.30135416513409,-1.99323204231423,0.0314398309204065,-0.853705910057779,27.1
"Abantennarius_analis",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,28.8
"Abantennarius_bermudensis",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.98000001907349,NA,NA,NA,NA,NA,NA,27.2
"Abantennarius_coccineus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,27.7
"Abantennarius_dorehensis",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,4.25,NA,NA,NA,NA,NA,NA,28.5
"Abantennarius_drombus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,4.28000020980835,NA,NA,NA,NA,NA,NA,NA
"Abantennarius_duescus",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.39000010490417,NA,NA,NA,NA,NA,NA,26.6
"Abantennarius_nummifer",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,4.2,NA,10.7954855918412,NA,NA,NA,NA,28.2
"Abantennarius_rosaceus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.80999994277954,NA,NA,NA,NA,NA,NA,26.8
"Abantennarius_sanguineus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,4.03000020980835,NA,NA,NA,NA,NA,NA,26.4
"Ablabys_binotatus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.22000002861023,NA,NA,NA,NA,NA,NA,NA
"Ablabys_gymnothorax",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.17000007629395,NA,NA,NA,NA,NA,NA,NA
"Ablabys_macracanthus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,28.2
"Ablabys_pauciporus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.11999988555908,NA,NA,NA,NA,NA,NA,NA
"Ablabys_taenianotus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.22000002861023,NA,NA,-1.46572185933791,-1.29433439218726,-0.135595379163509,-0.714252995788323,28.1
"Ablennes_hians",1,0,0,1,1,NA,NA,NA,NA,-0.502526820951296,8.23429963569625,NA,4.5,NA,6.49223983502047,-2.09100242416796,0.808859157668123,-0.790297022778071,-1.33591981356023,27.9
"Aboma_etheostoma",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.14000010490417,NA,NA,NA,NA,NA,NA,NA
"Abyssobrotula_galatheae",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,3.46000003814697,NA,NA,NA,NA,NA,NA,1.4
"Acanthaluteres_brownii",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.78999996185303,NA,NA,NA,NA,NA,NA,17.1
"Acanthaluteres_spilomelanurus",0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,2.88000011444092,NA,NA,-1.3260236517619,-2.01568420111606,-0.0299672844129717,-0.967825795097975,17.5
"Acanthaluteres_vittiger",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,-1.46164622436645,-2.32853363115474,0.0200294119681096,-0.971739863948139,17.2
"Acanthanectes_hystrix",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.13000011444092,NA,NA,NA,NA,NA,NA,21.3
"Acanthanectes_rufus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.13000011444092,NA,NA,NA,NA,NA,NA,21.7
"Acanthaphritis_barbata",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.33999991416931,NA,NA,NA,NA,NA,NA,27.8
"Acanthaphritis_grandisquamis",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.34999990463257,NA,NA,NA,NA,NA,NA,24.4
"Acanthaphritis_ozawai",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.35999989509583,NA,NA,NA,NA,NA,NA,NA
"Acanthaphritis_unoorum",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.34999990463257,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_aspera",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.12,NA,NA,-1.48489285416996,-1.2737145321333,-0.579495657014699,-0.782642747017882,27.9
"Acanthemblemaria_atrata",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.25999999046326,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_balanorum",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,26.2
"Acanthemblemaria_betinensis",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_castroi",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.4300000667572,NA,NA,NA,NA,NA,NA,23.8
"Acanthemblemaria_chaplini",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.3199999332428,NA,NA,NA,NA,NA,NA,27.1
"Acanthemblemaria_crockeri",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,25.2
"Acanthemblemaria_exilispinus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,-1.24502945471467,-0.697451929930926,-0.577049410105945,-0.727771053719381,27.9
"Acanthemblemaria_greenfieldi",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.30999994277954,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_hancocki",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,28.2
"Acanthemblemaria_harpeza",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.3199999332428,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_hastingsi",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.45000004768372,NA,NA,NA,NA,NA,NA,25.6
"Acanthemblemaria_johnsoni",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.07999992370605,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_macrospilus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,28
"Acanthemblemaria_mangognatha",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,26
"Acanthemblemaria_maria",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.36999988555908,NA,NA,NA,NA,NA,NA,28
"Acanthemblemaria_medusa",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.26999998092651,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_paula",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.03999996185303,NA,NA,-1.86401473830207,-1.52192285241278,-0.710992636196447,-0.828775671852831,NA
"Acanthemblemaria_rivasi",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.24000000953674,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_spinosa",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.17000007629395,NA,NA,-1.36120618994426,-1.14212930460948,-0.552072464700225,-0.705051921802653,27.9
"Acanthemblemaria_stephensi",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_brasilianus",1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,4.01,NA,NA,NA,NA,NA,NA,8.1
"Acanthistius_cinctus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,4.09999990463257,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_fuscus",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,4.03000020980835,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_joanae",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,3.74000000953674,NA,NA,NA,NA,NA,NA,17.9
"Acanthistius_ocellatus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,4.07000017166138,NA,NA,-1.32137452739482,-0.68947318972194,-0.0629396748664764,-0.840765074853598,22.3
"Acanthistius_pardalotus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,4.05000019073486,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_patachonicus",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,4.01000022888184,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_paxtoni",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,4.05000019073486,NA,NA,NA,NA,NA,NA,21.7
