"","SpecCode","Brack","Saltwater","DemersPelag","Species","Genus","Subfamily","Family","Order","Class","SuperClass"
"1",6652,0,1,"benthopelagic","Abudefduf abdominalis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"2",6517,0,1,"benthopelagic","Abudefduf bengalensis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"3",11793,0,1,"benthopelagic","Abudefduf concolor","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"4",55476,0,1,"benthopelagic","Abudefduf conformis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"5",55868,0,1,"benthopelagic","Abudefduf declivifrons","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"6",11811,0,1,"benthopelagic","Abudefduf hoefleri","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"7",5685,0,1,"benthopelagic","Abudefduf lorenzi","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"8",11823,0,1,"benthopelagic","Abudefduf margariteus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"9",11825,0,1,"benthopelagic","Abudefduf natalensis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"10",69265,0,1,"benthopelagic","Abudefduf nigrimargo","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"11",5686,0,1,"benthopelagic","Abudefduf notatus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"12",1119,0,1,"benthopelagic","Abudefduf saxatilis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"13",5687,0,1,"benthopelagic","Abudefduf septemfasciatus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"14",5688,0,1,"benthopelagic","Abudefduf sexfasciatus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"15",5689,1,1,"benthopelagic","Abudefduf sordidus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"16",8018,0,1,"benthopelagic","Abudefduf sparoides","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"17",1120,0,1,"benthopelagic","Abudefduf taurus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"18",8245,0,1,"benthopelagic","Abudefduf troschelii","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"19",6630,0,1,"benthopelagic","Abudefduf vaigiensis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"20",9626,0,1,"benthopelagic","Abudefduf whitleyi","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"21",63844,0,1,"pelagic","Abyssoberyx levisquamosus","Abyssoberyx",NA,"Stephanoberycidae","Beryciformes","Teleostei","Osteichthyes"
"22",64588,0,1,"benthopelagic","Aapticheilichthys websteri","Aapticheilichthys","Procatopodinae","Procatopodidae","Cyprinodontiformes","Teleostei","Osteichthyes"
"23",62612,0,1,"pelagic","Abalistes filamentosus","Abalistes",NA,"Balistidae","Tetraodontiformes","Teleostei","Osteichthyes"
"24",9,0,1,"demersal","Abalistes stellatus","Abalistes",NA,"Balistidae","Tetraodontiformes","Teleostei","Osteichthyes"
"25",11144,0,1,"benthopelagic","Abantennarius analis","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes"
"26",16680,0,1,"benthopelagic","Abantennarius bermudensis","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes"
"27",5402,0,1,"benthopelagic","Abantennarius coccineus","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes"
"28",7294,0,1,"benthopelagic","Abantennarius dorehensis","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes"
"29",69666,0,1,"benthopelagic","Abantennarius drombus","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes"
"30",27298,0,1,"demersal","Abantennarius duescus","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes"
"31",5403,0,1,"benthopelagic","Abantennarius nummifer","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes"
"32",7296,0,1,"benthopelagic","Abantennarius rosaceus","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes"
"33",13451,0,1,"benthopelagic","Abantennarius sanguineus","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes"
"34",8049,0,1,"benthopelagic","Ablabys binotatus","Ablabys",NA,"Tetrarogidae","Scorpaeniformes","Teleostei","Osteichthyes"
"35",69366,0,1,"benthopelagic","Ablabys gymnothorax","Ablabys",NA,"Tetrarogidae","Scorpaeniformes","Teleostei","Osteichthyes"
"36",25701,0,1,"benthopelagic","Ablabys macracanthus","Ablabys",NA,"Tetrarogidae","Scorpaeniformes","Teleostei","Osteichthyes"
"37",69367,0,1,"benthopelagic","Ablabys pauciporus","Ablabys",NA,"Tetrarogidae","Scorpaeniformes","Teleostei","Osteichthyes"
"38",10232,0,1,"benthopelagic","Ablabys taenianotus","Ablabys",NA,"Tetrarogidae","Scorpaeniformes","Teleostei","Osteichthyes"
"39",972,1,1,"benthopelagic","Ablennes hians","Ablennes",NA,"Belonidae","Beloniformes","Teleostei","Osteichthyes"
"40",46918,0,1,"demersal","Aboma etheostoma","Aboma","Gobiinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes"
"41",17075,0,1,"pelagic","Abyssobrotula galatheae","Abyssobrotula","Neobythitinae","Ophidiidae","Ophidiiformes","Teleostei","Osteichthyes"
"42",14532,0,1,"benthopelagic","Acanthaluteres brownii","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"43",51356,1,1,"demersal","Acanthaluteres spilomelanurus","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"44",14550,0,1,"demersal","Acanthaluteres vittiger","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"45",56310,0,1,"demersal","Acanthanectes hystrix","Acanthanectes","Tripterygiinae","Tripterygiidae","Blenniiformes","Teleostei","Osteichthyes"
"46",56311,0,1,"benthopelagic","Acanthanectes rufus","Acanthanectes","Tripterygiinae","Tripterygiidae","Blenniiformes","Teleostei","Osteichthyes"
"47",12559,0,1,"demersal","Acanthaphritis barbata","Acanthaphritis",NA,"Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes"
"48",59262,0,1,"demersal","Acanthaphritis grandisquamis","Acanthaphritis",NA,"Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes"
"49",59416,0,1,"demersal","Acanthaphritis ozawai","Acanthaphritis",NA,"Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes"
"50",59263,0,1,"demersal","Acanthaphritis unoorum","Acanthaphritis",NA,"Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes"
"51",3708,0,1,"benthopelagic","Acanthemblemaria aspera","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"52",60573,0,1,"demersal","Acanthemblemaria atrata","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"53",46703,0,1,"benthopelagic","Acanthemblemaria balanorum","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"54",47263,0,1,"benthopelagic","Acanthemblemaria betinensis","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"55",25510,0,1,"benthopelagic","Acanthemblemaria castroi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
