"","SpecCode","Genus","Subfamily","Brack","Saltwater","DemersPelag","Species","Family","Order","Class","SuperClass"
"1",6652,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf abdominalis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"2",6517,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf bengalensis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"3",11793,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf concolor","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"4",55476,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf conformis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"5",55868,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf declivifrons","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"6",11811,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf hoefleri","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"7",5685,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf lorenzi","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"8",11823,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf margariteus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"9",11825,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf natalensis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"10",69265,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf nigrimargo","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"11",5686,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf notatus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"12",1119,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf saxatilis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"13",5687,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf septemfasciatus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"14",5688,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf sexfasciatus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"15",5689,"Abudefduf","Glyphisodontinae",1,1,"benthopelagic","Abudefduf sordidus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"16",8018,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf sparoides","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
