"","X","SpecCode","Genus","Subfamily","Brack","Saltwater","DemersPelag","Species","Family","Order","Class","SuperClass","c_m","eps_m"
"1",1,6652,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf abdominalis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"2",2,6517,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf bengalensis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"3",3,11793,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf concolor","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"4",4,55476,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf conformis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"5",5,55868,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf declivifrons","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"6",6,11811,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf hoefleri","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"7",7,5685,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf lorenzi","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"8",8,11823,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf margariteus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"9",9,11825,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf natalensis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"10",10,69265,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf nigrimargo","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"11",11,5686,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf notatus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"12",12,1119,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf saxatilis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"13",13,5687,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf septemfasciatus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"14",14,5688,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf sexfasciatus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"15",15,5689,"Abudefduf","Glyphisodontinae",1,1,"benthopelagic","Abudefduf sordidus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"16",16,8018,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf sparoides","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"17",17,1120,"Abudefduf","Glyphisodontinae",0,1,"benthopelagic","Abudefduf taurus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
