"","habitatbenthopelagic","habitatdemersal","habitatpelagic","SpecCode","waterbrack","watersaltwater","Species","Genus","Subfamily","Family","Order","Class","SuperClass","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Abudefduf_abdominalis",1,0,0,6652,0,1,"Abudefduf abdominalis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.02,NA,NA,-1.03758169240743,-1.49458394837026,0.152529221183924,-0.936281590850996,25.1
"Abudefduf_bengalensis",1,0,0,6517,0,1,"Abudefduf bengalensis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.08,NA,NA,-1.05101216190912,-1.71413598380031,0.177041459791962,-0.891311350137226,28.7
"Abudefduf_concolor",1,0,0,11793,0,1,"Abudefduf concolor","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.68,NA,NA,-0.997457937045753,-1.72542860727574,0.114677216623828,-0.790563589710077,27.3
"Abudefduf_conformis",1,0,0,55476,0,1,"Abudefduf conformis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.74000000953674,NA,NA,NA,NA,NA,NA,28
"Abudefduf_declivifrons",1,0,0,55868,0,1,"Abudefduf declivifrons","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.71000003814697,NA,NA,-1.05650658728465,-1.76188281786445,0.184412202178097,-0.792080909561241,28
"Abudefduf_hoefleri",1,0,0,11811,0,1,"Abudefduf hoefleri","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.72000002861023,NA,NA,NA,NA,NA,NA,NA
"Abudefduf_lorenzi",1,0,0,5685,0,1,"Abudefduf lorenzi","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.68,NA,NA,-0.976186031629474,-1.63208795044483,0.148825880035088,-0.893427411553657,28.8
"Abudefduf_margariteus",1,0,0,11823,0,1,"Abudefduf margariteus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.72,NA,NA,-1.04992873987217,-1.3379125326634,0.132806956401539,-0.927138141213553,NA
"Abudefduf_natalensis",1,0,0,11825,0,1,"Abudefduf natalensis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.76,NA,NA,NA,NA,NA,NA,23.9
"Abudefduf_nigrimargo",1,0,0,69265,0,1,"Abudefduf nigrimargo","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.75999999046326,NA,NA,NA,NA,NA,NA,NA
"Abudefduf_notatus",1,0,0,5686,0,1,"Abudefduf notatus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.73,NA,NA,-0.923681359196384,-1.66916300896023,0.175409620812265,-0.922272559441758,28.4
"Abudefduf_saxatilis",1,0,0,1119,0,1,"Abudefduf saxatilis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.82,NA,NA,-1.06106573147325,-1.71805984170853,0.168152666956329,-0.845763310261449,27.3
"Abudefduf_septemfasciatus",1,0,0,5687,0,1,"Abudefduf septemfasciatus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.01,NA,NA,-0.980885042523256,-1.73010179762641,0.121087573115895,-0.774419677179464,28.6
"Abudefduf_sexfasciatus",1,0,0,5688,0,1,"Abudefduf sexfasciatus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,-1.05424482105049,-1.52574206270941,0.142942817759871,-0.901488751095311,28.4
"Abudefduf_sordidus",1,0,0,5689,1,1,"Abudefduf sordidus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.88,NA,NA,-1.02976862921215,-1.83359520373231,0.157253724490311,-0.818631418835365,28.4
"Abudefduf_sparoides",1,0,0,8018,0,1,"Abudefduf sparoides","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.03,NA,NA,-1.09480808775259,-1.51503807782182,0.13005742878636,-0.850682217034739,26.9
"Abudefduf_taurus",1,0,0,1120,0,1,"Abudefduf taurus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.14,NA,NA,-1.04173990528887,-1.76110484018906,0.106606079525682,-0.758194629984984,27.5
"Abudefduf_troschelii",1,0,0,8245,0,1,"Abudefduf troschelii","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.95,NA,NA,-1.05691204029371,-1.54334156676923,0.202576083283631,-0.951241319854992,26.4
"Abudefduf_vaigiensis",1,0,0,6630,0,1,"Abudefduf vaigiensis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,0.85,5.20879274308953,NA,2.57,2.9391619220656,NA,-1.01547233742867,-1.67181148851504,0.169203730233477,-0.869034620717773,28.2
"Abudefduf_whitleyi",1,0,0,9626,0,1,"Abudefduf whitleyi","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.64,NA,NA,-1.02761712988369,-1.68128298719765,0.148804459704184,-0.885559500321112,26.2
"Abyssoberyx_levisquamosus",0,0,1,63844,0,1,"Abyssoberyx levisquamosus","Abyssoberyx",NA,"Stephanoberycidae","Beryciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,NA
"Aapticheilichthys_websteri",1,0,0,64588,0,1,"Aapticheilichthys websteri","Aapticheilichthys","Procatopodinae","Procatopodidae","Cyprinodontiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.15000009536743,NA,NA,NA,NA,NA,NA,NA
"Abalistes_filamentosus",0,0,1,62612,0,1,"Abalistes filamentosus","Abalistes",NA,"Balistidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,23.9
"Abalistes_stellatus",0,1,0,9,0,1,"Abalistes stellatus","Abalistes",NA,"Balistidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.64,NA,NA,-2.30135416513409,-1.99323204231423,0.0314398309204065,-0.853705910057779,27.1
"Abantennarius_analis",1,0,0,11144,0,1,"Abantennarius analis","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,28.8
"Abantennarius_bermudensis",1,0,0,16680,0,1,"Abantennarius bermudensis","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.98000001907349,NA,NA,NA,NA,NA,NA,27.2
"Abantennarius_coccineus",1,0,0,5402,0,1,"Abantennarius coccineus","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,27.7
"Abantennarius_dorehensis",1,0,0,7294,0,1,"Abantennarius dorehensis","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.25,NA,NA,NA,NA,NA,NA,28.5
"Abantennarius_drombus",1,0,0,69666,0,1,"Abantennarius drombus","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.28000020980835,NA,NA,NA,NA,NA,NA,NA
"Abantennarius_duescus",0,1,0,27298,0,1,"Abantennarius duescus","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.39000010490417,NA,NA,NA,NA,NA,NA,26.6
"Abantennarius_nummifer",1,0,0,5403,0,1,"Abantennarius nummifer","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.2,NA,10.7954855918412,NA,NA,NA,NA,28.2
