"","Ref","OxygenCons","Weight","Temperature","SpecCode","MetabolicLevel","AppliedStress","OxygenRefNo","Species","Genus","Subfamily","Family","Order","Class","SuperClass","Brack","Saltwater","DemersPelag"
"377","fishbase",0.05313,0.000231,17,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"380","fishbase",2.28,0.02,18.5,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"381","fishbase",2.604,0.021,18.5,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"382","fishbase",2.73,0.021,18.5,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"385","fishbase",4.587,0.033,17,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"386","fishbase",3.54568,0.0376,13,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"388","fishbase",2.772,0.04,13,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"389","fishbase",5.04,0.04,17,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"390","fishbase",0.547597,0.047,18,35,"standard","none specified",85173,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"391","fishbase",4.181355,0.047,20,35,"standard","none specified",85173,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"392","fishbase",6.34218,0.047,24,35,"standard","none specified",85173,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"393","fishbase",7.91254447,0.047,27,35,"standard","none specified",85173,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
