"","X.x","Ref","OxygenCons","Weight","Temperature","SpecCode.x","MetabolicLevel","AppliedStress","OxygenRefNo","Species","Genus.x","Subfamily.x","Family.x","Order.x","Class.x","SuperClass.x","Brack.x","Saltwater.x","DemersPelag.x","X.y","SpecCode.y","Brack.y","Saltwater.y","DemersPelag.y","Genus.y","Subfamily.y","Family.y","Order.y","Class.y","SuperClass.y","c_mm","eps_mm"
"1",377,"fishbase",0.05313,0.000231,17,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal",750,35,1,1,"demersal","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",18.2919878351279,0.502115299482546
"2",380,"fishbase",2.28,0.02,18.5,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal",750,35,1,1,"demersal","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",18.2919878351279,0.502115299482546
"3",381,"fishbase",2.604,0.021,18.5,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal",750,35,1,1,"demersal","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",18.2919878351279,0.502115299482546
"4",382,"fishbase",2.73,0.021,18.5,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal",750,35,1,1,"demersal","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",18.2919878351279,0.502115299482546
"5",385,"fishbase",4.587,0.033,17,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal",750,35,1,1,"demersal","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",18.2919878351279,0.502115299482546
"6",386,"fishbase",3.54568,0.0376,13,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal",750,35,1,1,"demersal","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",18.2919878351279,0.502115299482546
"7",388,"fishbase",2.772,0.04,13,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal",750,35,1,1,"demersal","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",18.2919878351279,0.502115299482546
"8",389,"fishbase",5.04,0.04,17,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal",750,35,1,1,"demersal","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",18.2919878351279,0.502115299482546
"9",390,"fishbase",0.547597,0.047,18,35,"standard","none specified",85173,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal",750,35,1,1,"demersal","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",18.2919878351279,0.502115299482546
"10",391,"fishbase",4.181355,0.047,20,35,"standard","none specified",85173,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal",750,35,1,1,"demersal","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",18.2919878351279,0.502115299482546
"11",392,"fishbase",6.34218,0.047,24,35,"standard","none specified",85173,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal",750,35,1,1,"demersal","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",18.2919878351279,0.502115299482546
"12",393,"fishbase",7.91254447,0.047,27,35,"standard","none specified",85173,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal",750,35,1,1,"demersal","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",18.2919878351279,0.502115299482546
"13",394,"fishbase",2.96448,0.0512,14,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal",750,35,1,1,"demersal","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",18.2919878351279,0.502115299482546
"14",395,"fishbase",7.02,0.054,17,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal",750,35,1,1,"demersal","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",18.2919878351279,0.502115299482546
