"","X","SpecCode","Brack","Saltwater","DemersPelag","Species","Genus","Subfamily","Family","Order","Class","SuperClass","c_m","eps_m"
"1",1,6652,0,1,"benthopelagic","Abudefduf abdominalis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"2",2,6517,0,1,"benthopelagic","Abudefduf bengalensis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"3",3,11793,0,1,"benthopelagic","Abudefduf concolor","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"4",4,55476,0,1,"benthopelagic","Abudefduf conformis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"5",5,55868,0,1,"benthopelagic","Abudefduf declivifrons","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"6",6,11811,0,1,"benthopelagic","Abudefduf hoefleri","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"7",7,5685,0,1,"benthopelagic","Abudefduf lorenzi","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"8",8,11823,0,1,"benthopelagic","Abudefduf margariteus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"9",9,11825,0,1,"benthopelagic","Abudefduf natalensis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"10",10,69265,0,1,"benthopelagic","Abudefduf nigrimargo","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"11",11,5686,0,1,"benthopelagic","Abudefduf notatus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"12",12,1119,0,1,"benthopelagic","Abudefduf saxatilis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"13",13,5687,0,1,"benthopelagic","Abudefduf septemfasciatus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"14",14,5688,0,1,"benthopelagic","Abudefduf sexfasciatus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"15",15,5689,1,1,"benthopelagic","Abudefduf sordidus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"16",16,8018,0,1,"benthopelagic","Abudefduf sparoides","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"17",17,1120,0,1,"benthopelagic","Abudefduf taurus","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"18",18,8245,0,1,"benthopelagic","Abudefduf troschelii","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"19",19,6630,0,1,"benthopelagic","Abudefduf vaigiensis","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"20",20,9626,0,1,"benthopelagic","Abudefduf whitleyi","Abudefduf","Glyphisodontinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"21",21,63844,0,1,"pelagic","Abyssoberyx levisquamosus","Abyssoberyx",NA,"Stephanoberycidae","Beryciformes","Teleostei","Osteichthyes",NA,NA
"22",22,64588,0,1,"benthopelagic","Aapticheilichthys websteri","Aapticheilichthys","Procatopodinae","Procatopodidae","Cyprinodontiformes","Teleostei","Osteichthyes",NA,NA
"23",23,62612,0,1,"pelagic","Abalistes filamentosus","Abalistes",NA,"Balistidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"24",24,9,0,1,"demersal","Abalistes stellatus","Abalistes",NA,"Balistidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"25",25,11144,0,1,"benthopelagic","Abantennarius analis","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"26",26,16680,0,1,"benthopelagic","Abantennarius bermudensis","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"27",27,5402,0,1,"benthopelagic","Abantennarius coccineus","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"28",28,7294,0,1,"benthopelagic","Abantennarius dorehensis","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"29",29,69666,0,1,"benthopelagic","Abantennarius drombus","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"30",30,27298,0,1,"demersal","Abantennarius duescus","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"31",31,5403,0,1,"benthopelagic","Abantennarius nummifer","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"32",32,7296,0,1,"benthopelagic","Abantennarius rosaceus","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"33",33,13451,0,1,"benthopelagic","Abantennarius sanguineus","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"34",34,8049,0,1,"benthopelagic","Ablabys binotatus","Ablabys",NA,"Tetrarogidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA
"35",35,69366,0,1,"benthopelagic","Ablabys gymnothorax","Ablabys",NA,"Tetrarogidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA
"36",36,25701,0,1,"benthopelagic","Ablabys macracanthus","Ablabys",NA,"Tetrarogidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA
"37",37,69367,0,1,"benthopelagic","Ablabys pauciporus","Ablabys",NA,"Tetrarogidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA
"38",38,10232,0,1,"benthopelagic","Ablabys taenianotus","Ablabys",NA,"Tetrarogidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA
"39",39,972,1,1,"benthopelagic","Ablennes hians","Ablennes",NA,"Belonidae","Beloniformes","Teleostei","Osteichthyes",NA,NA
"40",40,46918,0,1,"demersal","Aboma etheostoma","Aboma","Gobiinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"41",41,17075,0,1,"pelagic","Abyssobrotula galatheae","Abyssobrotula","Neobythitinae","Ophidiidae","Ophidiiformes","Teleostei","Osteichthyes",NA,NA
"42",42,14532,0,1,"benthopelagic","Acanthaluteres brownii","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"43",43,51356,1,1,"demersal","Acanthaluteres spilomelanurus","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"44",44,14550,0,1,"demersal","Acanthaluteres vittiger","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"45",45,56310,0,1,"demersal","Acanthanectes hystrix","Acanthanectes","Tripterygiinae","Tripterygiidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"46",46,56311,0,1,"benthopelagic","Acanthanectes rufus","Acanthanectes","Tripterygiinae","Tripterygiidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"47",47,12559,0,1,"demersal","Acanthaphritis barbata","Acanthaphritis",NA,"Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"48",48,59262,0,1,"demersal","Acanthaphritis grandisquamis","Acanthaphritis",NA,"Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"49",49,59416,0,1,"demersal","Acanthaphritis ozawai","Acanthaphritis",NA,"Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"50",50,59263,0,1,"demersal","Acanthaphritis unoorum","Acanthaphritis",NA,"Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"51",51,3708,0,1,"benthopelagic","Acanthemblemaria aspera","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"52",52,60573,0,1,"demersal","Acanthemblemaria atrata","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"53",53,46703,0,1,"benthopelagic","Acanthemblemaria balanorum","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"54",54,47263,0,1,"benthopelagic","Acanthemblemaria betinensis","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
