"","Path","Parameter","EstimateNotStd","EstimateStd"
"1","habitatbenthopelagic -> c_m","p0",-0.0167039321859953,-0.190570045734865
"2","habitatdemersal -> c_m","p1",0.00713538771910627,0.086509272546865
"3","habitatpelagic -> c_m","p2",-0.00514201992327737,-0.0824094914400696
"4","Temperature-> K","p3",0.0147073516745912,0.147472882830838
"5","Temperature-> M","p4",0.0302331527231993,0.279239786590493
"6","Temperature-> Loo","p5",-0.0163629293090488,-0.168243812803656
"7","Loo -> K","p6",-0.578655724559956,-0.564312797029608
"8","Loo -> M","p7",-0.774368856132362,-0.695606593232086
"9","Loo -> Max_body_width","p8",-0.00458495180045844,-0.0206946700482687
"10","Loo -> Max_body_depth","p9",-0.0139761252078008,-0.0568248654127732
"11","Loo -> Lower_jaw_length","p10",0.0539924009940858,0.125238334125884
"12","Loo -> Min_caudalpeduncle_depth","p11",-0.0475548802889443,-0.0935023398268934
"13","Loo -> Woo","p12",2.97199079198977,2.74850992452328
"14","Max_body_depth-> c_m","p13",0.0444727570126305,0.041531316949683
"15","Max_body_width-> c_m","p14",0.0549846269582936,0.0462541637035025
"16","Lower_jaw_length-> c_m","p15",-0.0319199204847738,-0.0522504988852591
"17","Min_caudalpeduncle_depth  -> c_m","p16",0.0314133350214605,0.0606624494024086
"18","Max_body_depth-> TLDiet","p17",0.0330986098276779,0.0160834964476269
"19","Max_body_width-> TLDiet","p18",0.0372196977399839,0.0162918895479341
"20","Lower_jaw_length-> TLDiet","p19",0.0791612514288479,0.0674264596404482
"21","Min_caudalpeduncle_depth  -> TLDiet","p20",-0.00338726389023649,-0.00340364293498259
"22","c_m -> K","p21",-3.60754589827786,-0.926569985959993
"23","c_m -> M","p22",-3.73268121702501,-0.883086876771147
"24","c_m -> Woo","p23",0.334224891962909,0.0814058020152378
"25","K -> Lm","p24",0.182857561115113,0.436306421047965
"26","K -> tm","p25",-0.113462172215862,-0.111197182081068
"27","M -> tmax","p26",-0.444241602053317,-0.487583749091388
"28","M -> tm","p27",0.387298124425173,0.412070870392639
"29","M -> Lm","p28",-0.0310273020726063,-0.0803723244330633
"30","Woo -> TLDiet","p29",0.031160511487198,0.0665697728494791
"31","Woo -> fecundity","p30",0.585993932261304,0.225275251566377
"32","habitatbenthopelagic <-> habitatbenthopelagic","V[habitatbenthopelagic]",1.2265734176827,1.2265734176827
"33","habitatdemersal <-> habitatdemersal","V[habitatdemersal]",1.38519806244367,1.38519806244367
"34","habitatpelagic <-> habitatpelagic","V[habitatpelagic]",2.42051995003831,2.42051995003831
"35","c_m <-> c_m","V[c_m]",0.00942370556240209,0.00942370556240209
"36","tm <-> tm","V[tm]",0.148731722260558,0.148731722260558
"37","Lm <-> Lm","V[Lm]",0.0250917885880281,0.0250917885880281
"38","tmax <-> tmax","V[tmax]",0.139764430047462,0.139764430047462
"39","K <-> K","V[K]",0.14285287413938,0.14285287413938
"40","Woo <-> Woo","V[Woo]",0.158850495132835,0.158850495132835
"41","M <-> M","V[M]",0.168366874266806,0.168366874266806
"42","TLDiet <-> TLDiet","V[TLDiet]",0.0348051554999323,0.0348051554999323
"43","Loo <-> Loo","V[Loo]",0.135858955938329,0.135858955938329
"44","fecundity <-> fecundity","V[fecundity]",1.07484995930218,1.07484995930218
"45","Min_caudalpeduncle_depth <-> Min_caudalpeduncle_depth","V[Min_caudalpeduncle_depth]",0.0351425685337473,0.0351425685337473
"46","Lower_jaw_length <-> Lower_jaw_length","V[Lower_jaw_length]",0.0252510237064171,0.0252510237064171
"47","Max_body_depth <-> Max_body_depth","V[Max_body_depth]",0.0082183570716028,0.0082183570716028
"48","Max_body_width <-> Max_body_width","V[Max_body_width]",0.00666869429085992,0.00666869429085992
"49","Temperature <-> Temperature","V[Temperature]",14.3629738015829,14.3629738015829
