"";"label";"infered";"expected";"errorpercent";"Booleand_outliers"
"1";"Abantennarius_rosaceus";27,268357796649;26,8;-1,74760371883955;0
"2";"Abantennarius_sanguineus";27,268357796649;26,4;-3,28923407821591;0
"3";"Abudefduf_lorenzi";27,2913349919565;28,8;5,23842016681771;0
"4";"Acanthocybium_solandri";20,9898325837176;24,7;15,0209207136939;0
"5";"Acanthopagrus_australis";24,6414422385042;24,7;0,237075957472868;0
"6";"Acanthopagrus_berda";24,6414422385042;27,8;11,3617185665317;0
"7";"Acanthoplesiops_hiatti";27,7912897218984;28,8;3,50246624340833;0
"8";"Acanthopsetta_nadeshnyi";7,58275048545612;2,1;-261,083356450291;0
"9";"Acanthosphex_leurynnis";25,0327904835479;28;10,5971768444718;0
"10";"Acanthostracion_guineense";25,9745540886901;19,9;-30,5253974306035;0
"11";"Acanthostracion_quadricornis";25,9745540886901;25,4;-2,26202397122087;0
"12";"Acanthurus_albipectoralis";27,640441909311;26,3;-5,09673729776046;0
"13";"Acanthurus_leucosternon";27,640441909311;27,5;-0,510697852040003;0
"14";"Acanthurus_maculiceps";27,640441909311;28,6;3,35509821919231;0
"15";"Acanthurus_polyzona";27,640441909311;27,4;-0,877525216463512;0
"16";"Acanthurus_reversus";27,640441909311;28;1,284136038175;0
"17";"Acanthurus_tristis";27,640441909311;28,7;3,6918400372439;0
"18";"Acentrogobius_janthinopterus";28,0533932099739;28,6;1,91121255253881;0
"19";"Acentrogobius_nebulosus";28,0533932099739;28,4;1,22044644375386;0
"20";"Acentrogobius_signatus";28,0533932099739;27;-3,90145633323667;0
"21";"Acentrophryne_longidens";7,92441167716347;9,6;17,4540450295472;0
"22";"Achoerodus_viridis";21,1938434857174;18,3;-15,8133523809694;0
"23";"Acropoma_lecorneti";16,738708853857;16,4;-2,06529788937195;0
"24";"Acroteriobatus_annulatus";20,7442069601013;22;5,70815018135772;0
"25";"Aioliops_tetrophthalmus";28,4827213079388;27,8;-2,45583204294532;0
"26";"Alabes_gibbosa";17,3680953461318;18,3;5,09237515774974;0
"27";"Albula_argentea";25,4218906882328;27,6;7,89170040495363;0
"28";"Alectrias_benjamini";7,33847736785075;15,2;51,7205436325609;1
"29";"Alepocephalus_bairdii";4,55748989629363;6,9;33,9494217928459;0
"30";"Alepocephalus_fundulus";4,55748989629363;1,8;-153,193883127424;0
"31";"Alloblennius_jugularis";26,9246754324908;27,8;3,14864952341439;0
"32";"Alloblennius_parvus";26,9246754324908;27,1;0,646954123650186;0
"33";"Allocareproctus_unangas";3,57368275280689;1,8;-98,5379307114939;0
"34";"Alosa_fallax";13,2048326909189;10,8;-22,2669693603602;0
"35";"Ambassis_gymnocephalus";27,6672357270481;28,1;1,54008638061174;0
"36";"Ambassis_jacksoniensis";27,6672357270481;21,8;-26,9139253534317;0
"37";"Ambassis_nalua";27,6672357270481;28;1,18844383197107;0
"38";"Ambassis_urotaenia";27,6672357270481;28,1;1,54008638061174;0
"39";"Amblyeleotris_arcupinna";27,7433130746802;28,8;3,66905182402709;0
"40";"Amblyeleotris_callopareia";27,7433130746802;24,9;-11,4189280107639;0
"41";"Amblyeleotris_rubrimarginata";27,7433130746802;28,6;2,99540882978952;0
"42";"Amblyeleotris_triguttata";27,7433130746802;28,1;1,26934848868257;0
"43";"Amblygaster_clupeoides";27,5723472760475;28,5;3,25492183842983;0
"44";"Amblyglyphidodon_curacao";27,8410874465082;27,9;0,211156105705368;0
"45";"Amblygobius_bynoensis";28,1604996299682;28,1;-0,215301174264052;0
"46";"Ammodytoides_kimurai";22,3225346922298;22;-1,46606678286273;0
"47";"Ammodytoides_renniei";22,3225346922298;27,1;17,6290232759048;0
"48";"Amphelikturus_dendriticus";23,1534947740644;26,7;13,282791108373;0
"49";"Amphiarius_rugispinis";27,2970437542253;27,6;1,09766755715472;0
"50";"Amphiprion_omanensis";27,5666040353939;26,5;-4,02492088827887;0
"51";"Anarhichas_denticulatus";5,33184969330952;3,4;-56,8191086267506;0
"52";"Anchoa_chamensis";25,3495103545456;27,9;9,14153994786523;0
"53";"Anchoa_lyolepis";25,3495103545456;24,9;-1,80526246805463;0
"54";"Anchoa_starksi";25,3495103545456;27,1;6,45937138544059;0
"55";"Anchoviella_brevirostris";26,3276569708888;27,5;4,26306556040436;0
"56";"Anguilla_australis";17,3661315069271;5,3;-227,662858621266;1
"57";"Anguilla_labiata";17,3661315069271;27,1;35,9183339227782;0
"58";"Anodontostoma_chacunda";27,8589711614065;28,3;1,55840579008304;0
"59";"Antennarius_commerson";27,1787138373986;27,9;2,58525506308745;0
"60";"Antennarius_pauciradiatus";27,1787138373986;26,6;-2,17561593006992;0
"61";"Anthias_nicholsi";13,5229674566116;27;49,914935345883;1
"62";"Aphanopus_capricornis";7,45172933196332;5,1;-46,1123398424181;0
"63";"Aplodactylus_etheridgii";19,8004900077676;17,9;-10,6172626132268;0
"64";"Apogonichthyoides_atripes";27,8955453253074;26,4;-5,66494441404318;0
"65";"Apogonichthyoides_chrysurus";27,8955453253074;27,7;-0,70593980255379;0
"66";"Apogonichthyoides_regani";27,8955453253074;27,5;-1,43834663748145;0
"67";"Apogon_maculatus";26,8040884115695;26;-3,09264773680576;0
"68";"Apogon_mosavi";26,8040884115695;27,5;2,53058759429273;0
"69";"Apogon_nitidus";26,8040884115695;28,3;5,2859066728993;0
"70";"Apopterygion_alta";16,5815607191895;16,8;1,30023381434822;0
"71";"Apristurus_indicus";6,35438236890568;5;-27,0876473781136;0
"72";"Apristurus_kampae";6,35438236890568;5,4;-17,6737475723274;0
"73";"Apristurus_macrorhynchus";6,35438236890568;3,8;-67,2205886554126;0
"74";"Apristurus_profundorum";6,35438236890568;3,8;-67,2205886554126;0
"75";"Argentina_georgei";11,9343623679622;13,4;10,9375942689388;0
"76";"Argentina_sialis";11,9343623679622;14,4;17,1224835558181;0
"77";"Argentina_striata";11,9343623679622;18,8;36,519349106584;0
"78";"Argyripnus_pharos";10,4841472222582;15,6;32,7939280624474;0
"79";"Argyrosomus_hololepidotus";21,8521002207364;25,9;15,6289566766934;0
"80";"Argyrosomus_thorpei";21,8521002207364;24,7;11,5299586205004;0
