"";"label";"infered";"expected";"errorpercent";"Booleand_outliers"
"1";"Aapticheilichthys_websteri";-1,79981970341592;0;Inf;0
"2";"Abantennarius_rosaceus";-1,28374213061423;0;Inf;0
"3";"Abantennarius_sanguineus";-1,28374213061423;0;Inf;0
"4";"Ablabys_binotatus";-0,602781914524856;0;Inf;0
"5";"Abudefduf_lorenzi";-3,72863356106269;0;Inf;0
"6";"Abudefduf_margariteus";-3,72863356106269;0;Inf;0
"7";"Abudefduf_nigrimargo";-3,72863356106269;0;Inf;0
"8";"Acanthoclinus_rua";0,199414643476088;1;80,0585356523912;0
"9";"Acanthocybium_solandri";-4,01523668314828;0;Inf;0
"10";"Acanthopagrus_australis";0,251200321941469;1;74,8799678058531;0
"11";"Acanthopagrus_berda";0,251200321941469;1;74,8799678058531;0
"12";"Acanthopagrus_catenula";0,251200321941469;0;-Inf;0
"13";"Acanthoplesiops_hiatti";-0,266173308398214;0;Inf;0
"14";"Acanthopsetta_nadeshnyi";3,51705274663601;1;-251,705274663601;0
"15";"Acanthosphex_leurynnis";1,66137001908517;1;-66,137001908517;0
"16";"Acanthostracion_guineense";-0,873393990205087;1;187,339399020509;0
"17";"Acanthostracion_quadricornis";-0,873393990205087;0;Inf;0
"18";"Acanthurus_albipectoralis";-3,40854068707576;0;Inf;0
"19";"Acanthurus_bahianus";-3,40854068707576;0;Inf;0
"20";"Acanthurus_leucosternon";-3,40854068707576;0;Inf;0
"21";"Acanthurus_maculiceps";-3,40854068707576;0;Inf;0
"22";"Acanthurus_polyzona";-3,40854068707576;0;Inf;0
"23";"Acanthurus_reversus";-3,40854068707576;0;Inf;0
"24";"Acanthurus_tristis";-3,40854068707576;0;Inf;0
"25";"Acentrogobius_janthinopterus";1,56616477785855;0;-Inf;1
"26";"Acentrogobius_nebulosus";1,56616477785855;0;-Inf;1
"27";"Acentrogobius_signatus";1,56616477785855;1;-56,616477785855;0
"28";"Acentrophryne_longidens";-2,12478997879035;0;Inf;0
"29";"Achoerodus_viridis";-2,10134999713708;0;Inf;0
"30";"Acropoma_arafurensis";-1,66217360775906;0;Inf;0
"31";"Acropoma_lecorneti";-1,66217360775906;0;Inf;0
"32";"Acroteriobatus_annulatus";1,19352420734931;1;-19,352420734931;0
"33";"Acroteriobatus_variegatus";1,19352420734931;1;-19,352420734931;0
"34";"Aetobatus_narutobiei";-1,41787498371456;0;Inf;0
"35";"Aioliops_tetrophthalmus";-1,43500120826849;0;Inf;0
"36";"Alabes_gibbosa";1,321813133061;1;-32,1813133061;0
"37";"Albula_argentea";-1,66152314895971;1;266,152314895971;0
"38";"Alectrias_benjamini";2,00872339594384;1;-100,872339594384;0
"39";"Alectrias_markevichi";2,00872339594384;0;-Inf;1
"40";"Alepocephalus_bairdii";1,32846262029492;1;-32,846262029492;0
"41";"Alepocephalus_dentifer";1,32846262029492;1;-32,846262029492;0
"42";"Alepocephalus_fundulus";1,32846262029492;1;-32,846262029492;0
"43";"Alloblennius_jugularis";0,863135391500487;1;13,6864608499513;0
"44";"Alloblennius_parvus";0,863135391500487;1;13,6864608499513;0
"45";"Allocareproctus_unangas";2,3316417293221;1;-133,16417293221;0
"46";"Alosa_fallax";-4,61753102140411;0;Inf;0
"47";"Altrichthys_azurelineatus";-3,27384841556697;0;Inf;0
"48";"Ambassis_gymnocephalus";2,06237977172886;1;-106,237977172886;0
"49";"Ambassis_jacksoniensis";2,06237977172886;1;-106,237977172886;0
"50";"Ambassis_nalua";2,06237977172886;1;-106,237977172886;0
"51";"Ambassis_urotaenia";2,06237977172886;1;-106,237977172886;0
"52";"Amblychaeturichthys_hexanema";0,895453583565988;1;10,4546416434012;0
"53";"Amblycirrhitus_earnshawi";-1,97264320009273;1;297,264320009273;1
"54";"Amblycirrhitus_oxyrhynchos";-1,97264320009273;1;297,264320009273;1
"55";"Amblyeleotris_arcupinna";-0,0563860589241511;1;105,638605892415;0
"56";"Amblyeleotris_bellicauda";-0,0563860589241511;1;105,638605892415;0
"57";"Amblyeleotris_callopareia";-0,0563860589241511;1;105,638605892415;0
"58";"Amblyeleotris_delicatulus";-0,0563860589241511;1;105,638605892415;0
"59";"Amblyeleotris_neumanni";-0,0563860589241511;1;105,638605892415;0
