"";"label";"infered";"expected";"errorpercent";"Booleand_outliers"
"1";"Aapticheilichthys_websteri";-2,5192261434552;0;Inf;0
"2";"Abantennarius_rosaceus";-3,34016671156797;0;Inf;0
"3";"Abantennarius_sanguineus";-3,34016671156797;0;Inf;0
"4";"Ablabys_binotatus";-5,02419693852922;0;Inf;0
"5";"Abudefduf_lorenzi";-5,13024027032627;0;Inf;0
"6";"Abudefduf_margariteus";-5,13024027032627;0;Inf;0
"7";"Abudefduf_nigrimargo";-5,13024027032627;0;Inf;0
"8";"Acanthoclinus_rua";-3,48088851841221;0;Inf;0
"9";"Acanthocybium_solandri";1,88831274235343;1;-88,831274235343;0
"10";"Acanthopagrus_australis";-1,66297521295901;0;Inf;0
"11";"Acanthopagrus_berda";-1,66297521295901;0;Inf;0
"12";"Acanthopagrus_catenula";-1,66297521295901;0;Inf;0
"13";"Acanthoplesiops_hiatti";-1,64895212147667;0;Inf;0
"14";"Acanthopsetta_nadeshnyi";-5,31350734953497;0;Inf;0
"15";"Acanthosphex_leurynnis";-5,06429910759692;0;Inf;0
"16";"Acanthostracion_guineense";-3,98805411339798;0;Inf;0
"17";"Acanthostracion_quadricornis";-3,98805411339798;0;Inf;0
"18";"Acanthurus_albipectoralis";-5,14865164742425;0;Inf;0
"19";"Acanthurus_bahianus";-5,14865164742425;0;Inf;0
"20";"Acanthurus_leucosternon";-5,14865164742425;0;Inf;0
"21";"Acanthurus_maculiceps";-5,14865164742425;0;Inf;0
"22";"Acanthurus_polyzona";-5,14865164742425;0;Inf;0
"23";"Acanthurus_reversus";-5,14865164742425;0;Inf;0
"24";"Acanthurus_tristis";-5,14865164742425;0;Inf;0
"25";"Acentrogobius_janthinopterus";-4,73227077512713;0;Inf;0
"26";"Acentrogobius_nebulosus";-4,73227077512713;0;Inf;0
"27";"Acentrogobius_signatus";-4,73227077512713;0;Inf;0
"28";"Acentrophryne_longidens";1,93685935708467;1;-93,685935708467;0
"29";"Achoerodus_viridis";-4,16124404667792;0;Inf;0
"30";"Acropoma_arafurensis";0,844360744310613;1;15,5639255689387;1
"31";"Acropoma_lecorneti";0,844360744310613;1;15,5639255689387;1
"32";"Acroteriobatus_annulatus";-3,71590949011747;0;Inf;0
