"";"label";"infered";"expected";"errorpercent";"Booleand_outliers"
"1";"Abantennarius_sanguineus";-1,38427422069422;0;Inf;0
"2";"Ablabys_binotatus";-0,607874706899762;0;Inf;0
"3";"Abudefduf_sexfasciatus";-3,87169210057133;0;Inf;0
"4";"Acanthaluteres_spilomelanurus";-0,861672499809619;1;186,167249980962;0
"5";"Acanthaluteres_vittiger";-0,861672499809619;1;186,167249980962;0
"6";"Acanthogobius_luridus";0,696648938875942;1;30,3351061124058;0
"7";"Acanthopagrus_morrisonae";0,479654369967237;0;-Inf;0
"8";"Acanthopagrus_randalli";0,479654369967237;0;-Inf;0
"9";"Acanthopagrus_schlegelii";0,479654369967237;1;52,0345630032763;0
"10";"Acanthoplesiops_hiatti";-0,283515376506293;0;Inf;0
"11";"Acanthurus_achilles";-3,23206729111635;0;Inf;0
"12";"Acanthurus_blochii";-3,23206729111635;0;Inf;0
"13";"Acanthurus_guttatus";-3,23206729111635;0;Inf;0
"14";"Acanthurus_nigrofuscus";-3,23206729111635;0;Inf;0
"15";"Acanthurus_randalli";-3,23206729111635;0;Inf;0
"16";"Acanthurus_reversus";-3,23206729111635;0;Inf;0
"17";"Acanthurus_tennentii";-3,23206729111635;0;Inf;0
"18";"Acanthurus_xanthopterus";-3,23206729111635;0;Inf;0
"19";"Acentrogobius_cenderawasih";1,34744517020117;0;-Inf;0
"20";"Acentrogobius_moloanus";1,34744517020117;1;-34,744517020117;0
"21";"Acentrogobius_simplex";1,34744517020117;1;-34,744517020117;0
"22";"Acentrophryne_longidens";-2,14157533588298;0;Inf;0
"23";"Achirus_klunzingeri";2,20917102170517;1;-120,917102170517;0
"24";"Achirus_lineatus";2,20917102170517;1;-120,917102170517;0
"25";"Achirus_zebrinus";2,20917102170517;1;-120,917102170517;0
"26";"Achoerodus_viridis";-2,04555170258056;0;Inf;0
"27";"Acropoma_arafurensis";-1,78435795993996;0;Inf;0
"28";"Acroteriobatus_zanzibarensis";1,33837240796753;1;-33,837240796753;0
"29";"Aesopia_cornuta";2,39976343259536;0;-Inf;1
"30";"Aethaloperca_rogaa";-0,741907392566921;0;Inf;0
"31";"Agonopsis_chiloensis";3,63205192198211;1;-263,205192198211;0
"32";"Agrostichthys_parkeri";-2,1183486772343;0;Inf;0
"33";"Aiakas_zinorum";1,98191150303704;1;-98,191150303704;0
"34";"Aioliops_brachypterus";-1,52133119137119;0;Inf;0
"35";"Alabes_scotti";1,70194156801049;0;-Inf;1
"36";"Albula_glossodonta";-1,11406055997242;0;Inf;0
"37";"Aldrovandia_gracilis";-1,82269255038471;0;Inf;0
"38";"Aldrovandia_mediorostris";-1,82269255038471;0;Inf;0
"39";"Alepocephalus_tenebrosus";1,43248779164452;1;-43,248779164452;0
"40";"Alertichthys_blacki";1,20368065544355;1;-20,368065544355;0
"41";"Alionematichthys_crassiceps";-2,30702634651145;0;Inf;0
"42";"Alionematichthys_riukiuensis";-2,30702634651145;0;Inf;0
"43";"Alloblennius_anuchalis";1,02920323725826;1;-2,920323725826;0
"44";"Allocyttus_niger";-0,498813177453993;0;Inf;0
"45";"Allomicrodesmus_dorotheae";-0,423917500066778;0;Inf;0
"46";"Alosa_algeriensis";-4,40154186191582;0;Inf;0
"47";"Alosa_curensis";-4,40154186191582;0;Inf;0
"48";"Alosa_mediocris";-4,40154186191582;0;Inf;0
"49";"Alticus_anjouanae";0,301978235236421;1;69,8021764763579;0
"50";"Alticus_orientalis";0,301978235236421;0;-Inf;0
"51";"Altrichthys_azurelineatus";-3,41318329757071;0;Inf;0
"52";"Aluterus_monoceros";-0,614855131298015;0;Inf;0
"53";"Ambassis_miops";2,29909630394948;1;-129,909630394948;0
"54";"Amblycirrhitus_unimacula";-0,592337936989704;0;Inf;0
"55";"Amblyeleotris_bellicauda";0,235462111951658;1;76,4537888048342;0
"56";"Amblyeleotris_biguttata";0,235462111951658;1;76,4537888048342;0
"57";"Amblyeleotris_downingi";0,235462111951658;1;76,4537888048342;0
"58";"Amblyeleotris_periophthalma";0,235462111951658;0;-Inf;0
"59";"Amblygaster_clupeoides";-4,78048180683409;0;Inf;0
"60";"Amblyglyphidodon_flavopurpureus";-2,8169419018543;0;Inf;0
"61";"Amblygobius_phalaena";-0,667985848188741;0;Inf;0
"62";"Amblypomacentrus_clarus";-3,41234210171604;0;Inf;0
"63";"Amblypomacentrus_vietnamicus";-3,41234210171604;0;Inf;0
"64";"Ammodytes_personatus";0,203900125734647;1;79,6099874265353;0
"65";"Ammodytoides_idai";-0,382691616106931;0;Inf;0
"66";"Ammodytoides_vagus";-0,382691616106931;1;138,269161610693;0
"67";"Ammotretis_rostratus";3,47009811137516;1;-247,009811137516;0
"68";"Amphiprion_allardi";-3,95859206362081;0;Inf;0
"69";"Amphiprion_melanopus";-3,95859206362081;0;Inf;0
"70";"Amphiprion_pacificus";-3,95859206362081;0;Inf;0
"71";"Anampses_femininus";-2,70751638692675;0;Inf;0
"72";"Anampses_neoguinaicus";-2,70751638692675;0;Inf;0
"73";"Anarchias_leucurus";0,136219764550495;0;-Inf;0
"74";"Anarchias_schultzi";0,136219764550495;0;-Inf;0
"75";"Anarchopterus_criniger";0,715341307868922;1;28,4658692131078;0
"76";"Anarhichas_denticulatus";1,94515806357722;0;-Inf;1
"77";"Anchoa_choerostoma";-5,17663989573067;0;Inf;0
"78";"Anchoa_marinii";-5,17663989573067;0;Inf;0
"79";"Anchoa_mundeola";-5,17663989573067;0;Inf;0
"80";"Anchoa_parva";-5,17663989573067;0;Inf;0
"81";"Anchoviella_nattereri";-4,92192056671256;0;Inf;0
"82";"Anchoviella_perezi";-4,92192056671256;0;Inf;0
"83";"Ancylopsetta_dilecta";4,03623781810743;1;-303,623781810743;0
"84";"Andamia_reyi";0,362871348576524;0;-Inf;0
"85";"Anguilla_obscura";1,80071104357555;1;-80,071104357555;0
"86";"Anoplagonus_occidentalis";3,56452312838007;1;-256,452312838007;0
"87";"Anoplarchus_purpurescens";1,49687678896026;1;-49,687678896026;0
"88";"Anoplogaster_cornuta";-1,5217927392685;0;Inf;0
"89";"Anoptoplacus_pygmaeus";-0,333975207934234;1;133,397520793423;0
"90";"Anoxypristis_cuspidata";0,832891171012639;0;-Inf;0
"91";"Anthias_helenensis";-1,14431175002786;1;214,431175002786;0
"92";"Anthias_nicholsi";-1,14431175002786;0;Inf;0
"93";"Antigonia_socotrae";1,37706318467764;1;-37,706318467764;0
"94";"Antigonia_undulata";1,37706318467764;1;-37,706318467764;0
"95";"Aphanopus_beckeri";-4,06918322672157;0;Inf;0
"96";"Aphyonus_gelatinosus";0,589135063018604;1;41,0864936981396;0
"97";"Aplatophis_zorro";1,27927970843943;1;-27,927970843943;0
"98";"Apletodon_dentatus";0,687620255410457;1;31,2379744589543;0
"99";"Apletodon_pellegrini";0,687620255410457;1;31,2379744589543;0
"100";"Apogon_crassiceps";-1,54473072187253;0;Inf;0
"101";"Apogon_dammermani";-1,54473072187253;0;Inf;0
"102";"Apogonichthyoides_cantoris";-1,36506532997221;0;Inf;0
