"";"label";"infered";"expected";"errorpercent";"Booleand_outliers"
"1";"Abantennarius_sanguineus";-3,47920456811892;0;Inf;0
"2";"Ablabys_binotatus";-5,18246157465703;0;Inf;0
"3";"Abudefduf_sexfasciatus";-5,16032914121901;0;Inf;0
"4";"Acanthaluteres_spilomelanurus";-4,35140081127137;0;Inf;0
"5";"Acanthaluteres_vittiger";-4,35140081127137;0;Inf;0
"6";"Acanthogobius_luridus";-2,01088284180996;0;Inf;0
"7";"Acanthopagrus_morrisonae";-2,02017210355526;1;302,017210355526;1
"8";"Acanthopagrus_randalli";-2,02017210355526;0;Inf;0
"9";"Acanthopagrus_schlegelii";-2,02017210355526;0;Inf;0
"10";"Acanthoplesiops_hiatti";-1,58705876105296;0;Inf;0
"11";"Acanthurus_achilles";-5,24271866518658;0;Inf;0
"12";"Acanthurus_blochii";-5,24271866518658;0;Inf;0
"13";"Acanthurus_guttatus";-5,24271866518658;0;Inf;0
"14";"Acanthurus_nigrofuscus";-5,24271866518658;0;Inf;0
"15";"Acanthurus_randalli";-5,24271866518658;0;Inf;0
"16";"Acanthurus_reversus";-5,24271866518658;0;Inf;0
"17";"Acanthurus_tennentii";-5,24271866518658;0;Inf;0
"18";"Acanthurus_xanthopterus";-5,24271866518658;0;Inf;0
"19";"Acentrogobius_cenderawasih";-4,73293653836592;0;Inf;0
"20";"Acentrogobius_moloanus";-4,73293653836592;0;Inf;0
"21";"Acentrogobius_simplex";-4,73293653836592;0;Inf;0
"22";"Acentrophryne_longidens";2,00621511397335;1;-100,621511397335;0
"23";"Achirus_klunzingeri";-4,98390711779244;0;Inf;0
"24";"Achirus_lineatus";-4,98390711779244;0;Inf;0
"25";"Achirus_zebrinus";-4,98390711779244;0;Inf;0
"26";"Achoerodus_viridis";-4,00883865844241;0;Inf;0
"27";"Acropoma_arafurensis";1,05852464759882;1;-5,85246475988199;1
"28";"Acroteriobatus_zanzibarensis";-3,92344141563231;0;Inf;0
"29";"Aesopia_cornuta";-4,6096852290268;0;Inf;0
"30";"Aethaloperca_rogaa";-5,22865855948757;0;Inf;0
"31";"Agonopsis_chiloensis";-5,19071453352021;0;Inf;0
"32";"Agrostichthys_parkeri";1,32633152573009;1;-32,633152573009;1
"33";"Aiakas_zinorum";-3,12792991327764;0;Inf;0
"34";"Aioliops_brachypterus";-4,21791566791429;0;Inf;0
"35";"Alabes_scotti";-4,49012501977821;0;Inf;0
"36";"Albula_glossodonta";-2,27690080343233;0;Inf;0
"37";"Aldrovandia_gracilis";-0,203365282129597;1;120,33652821296;1
"38";"Aldrovandia_mediorostris";-0,203365282129597;1;120,33652821296;1
"39";"Alepocephalus_tenebrosus";-2,3569629777728;0;Inf;0
"40";"Alertichthys_blacki";-3,78557247541986;0;Inf;0
"41";"Alionematichthys_crassiceps";-4,99150485206809;0;Inf;0
"42";"Alionematichthys_riukiuensis";-4,99150485206809;0;Inf;0
"43";"Alloblennius_anuchalis";-4,02319106762339;0;Inf;0
"44";"Allocyttus_niger";0,235933050414926;1;76,4066949585074;1
"45";"Allomicrodesmus_dorotheae";-3,11691840214361;0;Inf;0
"46";"Alosa_algeriensis";3,82971352158106;1;-282,971352158106;0
"47";"Alosa_curensis";3,82971352158106;0;-Inf;1
"48";"Alosa_mediocris";3,82971352158106;1;-282,971352158106;0
"49";"Alticus_anjouanae";-4,15440506844711;0;Inf;0
"50";"Alticus_orientalis";-4,15440506844711;0;Inf;0
"51";"Altrichthys_azurelineatus";-4,93325712672352;0;Inf;0
"52";"Aluterus_monoceros";-4,40844458525549;0;Inf;0
"53";"Ambassis_miops";-4,38598675893685;0;Inf;0
"54";"Amblycirrhitus_unimacula";-3,68376259566451;0;Inf;0
