"";"label";"infered";"expected";"errorpercent";"Booleand_outliers"
"1";"Abantennarius_drombus";0,991892689059184;1;0,810731094081596;0
"2";"Ablabys_macracanthus";0,37078145115409;1;62,921854884591;0
"3";"Ablabys_pauciporus";0,371100761060888;1;62,8899238939112;0
"4";"Acanthanectes_hystrix";-0,0887400754708794;0;Inf;0
"5";"Acanthanectes_rufus";-0,0887419168657392;1;108,874191686574;0
"6";"Acanthemblemaria_aspera";0,868645479028429;1;13,1354520971571;0
"7";"Acanthemblemaria_macrospilus";0,868020761706495;1;13,1979238293505;0
"8";"Acanthemblemaria_maria";0,868092940908928;1;13,1907059091072;0
"9";"Acanthistius_brasilianus";0,573973867538503;1;42,6026132461497;0
"10";"Acanthistius_fuscus";0,573885582784212;0;-Inf;0
"11";"Acanthocepola_abbreviata";-1,04897850721369;1;204,897850721369;0
"12";"Acanthoclinus_fuscus";-0,372199034361;0;Inf;0
"13";"Acanthogobius_luridus";-1,59627883569917;0;Inf;0
"14";"Acanthogobius_stigmothonus";-1,59680762559573;0;Inf;0
"15";"Acanthopagrus_omanensis";-1,10755629775303;0;Inf;0
"16";"Acanthoplesiops_hiatti";-0,714944098153242;1;171,494409815324;0
"17";"Acanthurus_guttatus";3,16005179972048;1;-216,005179972048;0
"18";"Acanthurus_leucocheilus";3,16002683912219;1;-216,002683912219;0
"19";"Acanthurus_nigrofuscus";3,16339863651605;1;-216,339863651605;0
"20";"Acanthurus_nigroris";3,16003200625103;1;-216,003200625103;0
"21";"Acanthurus_tractus";3,21869498813275;1;-221,869498813275;0
"22";"Acanthurus_triostegus";3,17124296318655;1;-217,124296318655;0
"23";"Acentrogobius_audax";-1,11310852413912;0;Inf;0
"24";"Acentrogobius_masoni";-1,11297521093947;0;Inf;0
"25";"Acentrogobius_suluensis";-1,1124970222588;0;Inf;0
"26";"Acentronura_breviperula";-0,0208743497606537;1;102,087434976065;0
"27";"Acentronura_tentaculata";-0,0209717301720982;1;102,09717301721;0
"28";"Achirus_achirus";-2,580693518091;0;Inf;0
"29";"Acropoma_leobergi";-1,81022730055398;0;Inf;0
"30";"Acroteriobatus_annulatus";-1,30523132890155;0;Inf;0
"31";"Acroteriobatus_salalah";-1,30597459766478;0;Inf;0
"32";"Aetobatus_flagellum";0,898671269670561;1;10,1328730329439;0
