"";"label";"infered";"expected";"errorpercent";"Booleand_outliers"
"1";"Abantennarius_dorehensis";-3,43796496546206;0;Inf;0
"2";"Abudefduf_troschelii";-5,09367245974601;0;Inf;0
"3";"Abudefduf_vaigiensis";-5,07276653392123;0;Inf;0
"4";"Abyssoberyx_levisquamosus";-0,304882798283555;1;130,488279828356;1
"5";"Abyssobrotula_galatheae";-3,21357614561646;1;421,357614561646;1
"6";"Acanthemblemaria_aspera";-5,37317769599826;0;Inf;0
"7";"Acanthemblemaria_atrata";-5,37359158426368;0;Inf;0
"8";"Acanthemblemaria_exilispinus";-5,37396849007398;0;Inf;0
"9";"Acanthemblemaria_hancocki";-5,37409371892919;0;Inf;0
"10";"Acanthemblemaria_hastingsi";-5,37425468851726;0;Inf;0
"11";"Acanthistius_patachonicus";-1,9140468385189;0;Inf;0
"12";"Acanthoclinus_rua";-3,37016931680405;0;Inf;0
"13";"Acanthocybium_solandri";1,97739471885818;1;-97,739471885818;0
"14";"Acanthopagrus_akazakii";-1,67659614623004;0;Inf;0
"15";"Acanthopagrus_berda";-1,72943828602155;0;Inf;0
"16";"Acanthopagrus_bifasciatus";-1,72107555416676;0;Inf;0
"17";"Acanthosphex_leurynnis";-5,12509487723151;0;Inf;0
"18";"Acanthurus_lineatus";-5,20921741327891;0;Inf;0
"19";"Acanthurus_nigricans";-5,29199549384928;0;Inf;0
"20";"Acanthurus_tennentii";-5,21357433233922;0;Inf;0
"21";"Acanthurus_tractus";-5,12707727570734;0;Inf;0
"22";"Acentrogobius_moloanus";-4,80964197021471;0;Inf;0
"23";"Acentrogobius_simplex";-4,80667887341736;0;Inf;0
"24";"Acentrophryne_longidens";2,00630441170967;1;-100,630441170967;0
"25";"Achirus_scutum";-5,24855145001951;0;Inf;0
"26";"Acreichthys_tomentosus";-4,45900047753608;0;Inf;0
"27";"Acromycter_longipectoralis";-4,68684706627069;1;568,684706627069;1
"28";"Acroteriobatus_variegatus";-3,8969297142122;0;Inf;0
"29";"Acyrtus_pauciradiatus";-4,67871283754743;0;Inf;0
"30";"Aetheliparis_taurocanis";-2,58154610809203;1;358,154610809203;1
"31";"Aethotaxis_mitopteryx";-1,80313245934114;1;280,313245934114;1
"32";"Ahlia_egmontis";-4,36194914932217;0;Inf;0
"33";"Aidablennius_sphynx";-3,87282538232577;0;Inf;0
"34";"Alabes_brevis";-4,81217260427288;0;Inf;0
"35";"Alcockia_rostrata";-3,21410635532429;1;421,410635532429;1
"36";"Alepes_melanoptera";-1,29740744348483;1;229,740744348483;1
"37";"Alepocephalus_bicolor";-2,22369016665648;0;Inf;0
"38";"Alepocephalus_fundulus";-2,22329238146347;0;Inf;0
"39";"Alepocephalus_longiceps";-2,22326259703184;0;Inf;0
"40";"Alloblennius_parvus";-4,042097106922;0;Inf;0
"41";"Alosa_sphaerocephala";2,79769727077979;1;-179,769727077979;0
"42";"Ambassis_ambassis";-4,37217029480533;0;Inf;0
"43";"Amblychaeturichthys_sciistius";-4,23357110160402;0;Inf;0
"44";"Amblyeleotris_guttata";-4,8457616170249;0;Inf;0
"45";"Amblyeleotris_marquesas";-4,84536437487742;0;Inf;0
"46";"Amblyeleotris_ogasawarensis";-4,84567781445327;0;Inf;0
"47";"Amblyeleotris_rhyax";-4,84546932308464;0;Inf;0
"48";"Amblygobius_esakiae";-4,5683200391173;0;Inf;0
"49";"Ambophthalmos_angustus";-5,10530317657616;0;Inf;0
"50";"Amniataba_caudavittata";-2,86644374616072;0;Inf;0
"51";"Amphiarius_rugispinis";-5,14388021474653;0;Inf;0
"52";"Amphichthys_cryptocentrus";-4,67760620721883;0;Inf;0
"53";"Amphiprion_melanopus";-5,31023243437672;0;Inf;0
"54";"Amphiprion_sebae";-5,27104480798673;0;Inf;0
"55";"Anacanthus_barbatus";-4,36590212531043;0;Inf;0
"56";"Anchoa_delicatissima";3,30591315564471;1;-230,591315564471;0
"57";"Anchoa_januaria";3,30771206306137;1;-230,771206306137;0
"58";"Anchoa_mitchilli";3,1844800749238;1;-218,44800749238;0
"59";"Anchovia_macrolepidota";1,44656700349639;1;-44,656700349639;0
"60";"Anchoviella_perfasciata";3,40288619424469;1;-240,288619424469;0
"61";"Andamia_tetradactylus";-4,10889796864412;0;Inf;0
"62";"Anguilla_celebesensis";-4,16470237627805;0;Inf;0
"63";"Anguilla_interioris";-4,20530168239672;0;Inf;0
"64";"Anguilla_japonica";-4,15792799411085;0;Inf;0
"65";"Anguilla_luzonensis";-4,16414640870995;0;Inf;0
"66";"Anguilla_malgumora";-4,16389252625968;0;Inf;0
"67";"Anisotremus_caesius";-3,936845793145;0;Inf;0
"68";"Anisotremus_scapularis";-3,93766172472836;0;Inf;0
"69";"Anisotremus_taeniatus";-3,93962878175475;0;Inf;0
"70";"Antennarius_multiocellatus";-3,52877568056674;0;Inf;0
"71";"Antennarius_pardalis";-3,52756057896946;0;Inf;0
"72";"Anthias_anthias";-3,29746157151881;0;Inf;0
"73";"Anthias_helenensis";-3,29665098246189;0;Inf;0
"74";"Anthias_nicholsi";-3,29683598682076;0;Inf;0
"75";"Antigonia_hulleyi";-4,46731970828186;0;Inf;0
"76";"Antigonia_malayana";-4,46739241023374;0;Inf;0
"77";"Aphaniops_dispar";-2,93186628336321;0;Inf;0
"78";"Apionichthys_dumerili";-5,1910555302095;0;Inf;0
"79";"Apletodon_barbatus";-3,07748864644231;0;Inf;0
"80";"Apletodon_incognitus";-3,07770197712659;0;Inf;0
"81";"Aploactis_aspera";-5,12614470840415;0;Inf;0
"82";"Apocryptodon_madurensis";-3,10063370774077;0;Inf;0
"83";"Apogon_americanus";-2,92684091909469;0;Inf;0
"84";"Apogon_caudicinctus";-2,92695032491995;0;Inf;0
"85";"Apogonichthyoides_heptastygma";-2,27050602544074;0;Inf;0
"86";"Apogonichthyoides_pseudotaeniatus";-2,27170181531593;0;Inf;0
"87";"Apogonichthys_landoni";-3,76894221832393;1;476,894221832393;1
"88";"Apogon_lativittatus";-2,92684723185378;0;Inf;0
"89";"Apogon_latus";-2,9270521042651;0;Inf;0
"90";"Apogon_robbyi";-2,92631683988078;0;Inf;0
"91";"Apogon_talboti";-2,92758941386781;0;Inf;0
"92";"Apolemichthys_xanthopunctatus";-5,02448213104961;0;Inf;0
