"","Path","VarName","Estimate","StdErr","t.value","p.value"
"1",NA,"Intercept_habitatbenthopelagic",-1.26868070334617,1.13061657950118,1.12211400960165,0.261813967949342
"2",NA,"Intercept_habitatdemersal",-0.145479769329623,1.19970199795785,0.121263255022714,0.903482523435639
"3",NA,"Intercept_habitatpelagic",-2.18198102634094,1.58976033914492,1.37252199127987,0.169900997696659
"4",NA,"Intercept_c_m",28.6970748814603,3.02679420328415,9.48101289817567,0
"5",NA,"Intercept_tm",0.129999623990534,0.400607995566693,0.324505814734522,0.745555120725663
"6",NA,"Intercept_Lm",-0.572663129863903,0.166707059905638,3.4351462390858,0.000592234141468806
"7",NA,"Intercept_tmax",2.91561861845364,0.385280477432689,7.5675223356289,3.79696274421804e-14
"8",NA,"Intercept_K",-1.85291956251346,0.49287914779875,3.75937909077467,0.000170335572684976
"9",NA,"Intercept_Woo",-4.39042733365993,0.471872062131864,9.30427479394412,0
"10",NA,"Intercept_M",-1.36724246133589,0.56996656322005,2.3988117015349,0.0164483705742362
"11",NA,"Intercept_TLDiet",3.53631238563281,0.195003233907538,18.1346345635969,0
"12",NA,"Intercept_Loo",4.4800213944721,0.379509134592807,11.8047788211446,0
"13",NA,"Intercept_fecundity",1.5913558115955,1.08544002379809,1.46609280725354,0.142623004991955
"14",NA,"Intercept_Min_caudalpeduncle_depth",-1.51189816969252,0.272041731133502,5.55759648857171,2.73514790816165e-08
"15",NA,"Intercept_Lower_jaw_length",-1.10044149496081,0.229960285608492,4.78535453219219,1.70685771672119e-06
"16",NA,"Intercept_Max_body_depth",-0.279789245017376,0.132108888131908,2.11786844150873,0.0341862109747799
"17",NA,"Intercept_Max_body_width",-0.845056557155461,0.118960768545622,7.10365751236197,1.21502807814977e-12
"18",NA,"Intercept_Temperature",17.6895992687465,3.85961785582047,4.58325148487687,4.57800896169758e-06
"19","habitatbenthopelagic -> c_m","p0",0.223385777602578,0.14755006495234,1.51396597266652,0.130034469973796
"20","habitatdemersal -> c_m","p1",-0.321555783364413,0.148286052798888,2.16848299145518,0.0301219573389686
"21","habitatpelagic -> c_m","p2",0.112697426082574,0.100154608526761,1.12523455226189,0.260489655093747
"22","Temperature-> K","p3",0.0160908078392242,0.00331633612066677,4.85198340992923,1.22232850086057e-06
"23","Temperature-> M","p4",0.0321473350016619,0.00476573198714594,6.74551886013927,1.52480250648068e-11
"24","Temperature-> Loo","p5",-0.0163886438917396,0.00210792472301849,7.77477663826226,7.54951656745106e-15
"25","Loo -> K","p6",-0.510699687122433,0.0338173635443793,15.1017002390571,0
"26","Loo -> M","p7",-0.663987962155683,0.0495665288319825,13.3958939187859,0
"27","Loo -> Max_body_width","p8",-0.00478158398360768,0.00709465331356279,0.673970069047175,0.500330342866352
"28","Loo -> Max_body_depth","p9",-0.013907273717965,0.00792378326147186,1.75513050509431,0.079236987518102
"29","Loo -> Lower_jaw_length","p10",0.0544797363001231,0.0125786963608695,4.33111148700604,1.48358535709825e-05
"30","Loo -> Min_caudalpeduncle_depth","p11",-0.0464726559187144,0.0146636943917444,3.16923243741893,0.00152842110546203
"31","Loo -> Woo","p12",2.96237552364355,0.0300970864055026,98.4273189680561,0
"32","Max_body_depth-> c_m","p13",-0.371359819825097,1.28529720061265,0.288929143896124,0.772635600790616
"33","Max_body_width-> c_m","p14",-0.441642783406656,1.30898890195626,0.33739230542492,0.735821184349623
"34","Lower_jaw_length-> c_m","p15",1.40345521423514,0.642632402101899,2.18391604538577,0.028968417750882
"35","Min_caudalpeduncle_depth  -> c_m","p16",-0.0984787525255539,0.549754923623392,0.179132097401671,0.857833979525402
"36","Max_body_depth-> TLDiet","p17",0.0332459368928623,0.0276384966273294,1.20288514028611,0.229020771430561
"37","Max_body_width-> TLDiet","p18",0.0377490061558096,0.0304914213122721,1.23802054909839,0.215708441477157
"38","Lower_jaw_length-> TLDiet","p19",0.0791398267364561,0.0153121540871662,5.16843197148771,2.36066183489925e-07
"39","Min_caudalpeduncle_depth  -> TLDiet","p20",-0.00359269985871697,0.0130858480778158,0.274548492184287,0.783663143276805
"40","c_m -> K","p21",0.150065929758582,0.00799391565073893,18.772518539736,0
"41","c_m -> M","p22",0.156413802733386,0.00939148134617926,16.6548595442848,0
"42","c_m -> Woo","p23",-0.0117344922472328,0.00736975965841742,1.59224897298112,0.111328773325275
"43","K -> Lm","p24",0.189958494557375,0.0675030533946293,2.81407262345394,0.00489181755947876
"44","K -> tm","p25",-0.11346217218022,0.0398303950897689,2.84863285750747,0.00439075166468084
"45","M -> tmax","p26",-0.44597301132987,0.02198126817198,20.2887753263646,0
"46","M -> tm","p27",0.387298124471857,0.0414063051829073,9.35360261585802,0
"47","M -> Lm","p28",-0.0367071642893112,0.0346413370499749,1.0596347432074,0.289310801153141
"48","Woo -> TLDiet","p29",0.0312984896426597,0.0025621024377421,12.2159399958427,0
"49","Woo -> fecundity","p30",0.588083747085112,0.0288523380519191,20.3825335065348,0
"50","habitatbenthopelagic <-> habitatbenthopelagic","V[habitatbenthopelagic]",1.1076091411433,0.0359779531942686,30.7857741423641,0
"51","habitatdemersal <-> habitatdemersal","V[habitatdemersal]",1.17599528369386,0.0376366337765807,31.2460272264205,0
"52","habitatpelagic <-> habitatpelagic","V[habitatpelagic]",1.55574047592494,0.0803678785708749,19.3577397287271,0
"53","c_m <-> c_m","V[c_m]",2.33784475230042,0.123832472773533,18.8790928577831,0
"54","tm <-> tm","V[tm]",0.385657519256335,0.01245984037758,30.9520433303689,0
"55","Lm <-> Lm","V[Lm]",0.158212050242452,0.00693144734266311,22.8252545855259,0
"56","tmax <-> tmax","V[tmax]",0.374052273873319,0.0093358514438958,40.0662195752795,0
"57","K <-> K","V[K]",0.379558614390012,0.0153442411786577,24.7362257912068,0
"58","Woo <-> Woo","V[Woo]",0.398508604472875,0.00826148059278618,48.2369473603614,0
"59","M <-> M","V[M]",0.409396753401864,0.015659153225747,26.1442459563349,0
"60","TLDiet <-> TLDiet","V[TLDiet]",0.186545424626562,0.00110951643160486,168.132187422167,0
"61","Loo <-> Loo","V[Loo]",0.368759321938779,0.00640491542578455,57.5744248634804,0
"62","fecundity <-> fecundity","V[fecundity]",1.03673787490493,0.0241216678013184,42.9795270975526,0
"63","Min_caudalpeduncle_depth <-> Min_caudalpeduncle_depth","V[Min_caudalpeduncle_depth]",0.187497466016243,0.00225109221735697,83.2917747973851,0
"64","Lower_jaw_length <-> Lower_jaw_length","V[Lower_jaw_length]",0.158874913163355,0.00193560855680863,82.0800841185075,0
"65","Max_body_depth <-> Max_body_depth","V[Max_body_depth]",0.0906554280705831,0.00107834288487767,84.0692040925993,0
"66","Max_body_width <-> Max_body_width","V[Max_body_width]",0.0816592922395197,0.000963607586411159,84.7433056682854,0
"67","Temperature <-> Temperature","V[Temperature]",3.78994094631566,0.0241804020999521,156.736059667228,0
