"";"label";"infered";"expected";"errorpercent";"Booleand_outliers"
"1";"Abantennarius_dorehensis";0,946147092139637;1;5,3852907860363;0
"2";"Ablabys_taenianotus";0,572023443226704;1;42,7976556773296;0
"3";"Abudefduf_natalensis";3,47368845626178;1;-247,368845626178;0
"4";"Abudefduf_sexfasciatus";3,47368845626178;1;-247,368845626178;0
"5";"Acanthemblemaria_aspera";1,03249096748585;1;-3,249096748585;0
"6";"Acanthistius_brasilianus";0,234185083641149;1;76,5814916358851;0
"7";"Acanthistius_cinctus";0,234185083641149;1;76,5814916358851;0
"8";"Acanthochromis_polyacanthus";2,8412708302278;1;-184,12708302278;0
"9";"Acanthurus_auranticavus";3,21420372361683;1;-221,420372361683;0
"10";"Acanthurus_leucocheilus";3,21420372361683;1;-221,420372361683;0
"11";"Acanthurus_maculiceps";3,21420372361683;1;-221,420372361683;0
"12";"Acanthurus_nubilus";3,21420372361683;1;-221,420372361683;0
"13";"Acarobythites_larsonae";-0,876066318056696;1;187,60663180567;0
"14";"Acentrophryne_dolichonema";-3,17723659966172;0;Inf;0
"15";"Achiroides_leucorhynchos";-2,58204410876984;0;Inf;0
"16";"Achirus_achirus";-2,48173463294312;0;Inf;0
"17";"Achirus_scutum";-2,48173463294312;0;Inf;0
"18";"Acreichthys_radiatus";0,335952003922914;1;66,4047996077086;0
"19";"Acroteriobatus_stehmanni";-1,34728555031125;0;Inf;0
"20";"Acroteriobatus_variegatus";-1,34728555031125;0;Inf;0
"21";"Acyrtops_amplicirrus";-0,439386113688697;0;Inf;0
"22";"Acyrtus_lanthanum";-0,901336589811908;1;190,133658981191;0
"23";"Aethotaxis_mitopteryx";-1,20421334116698;0;Inf;0
"24";"Aetobatus_laticeps";1,13081243613997;1;-13,081243613997;0
"25";"Aetomylaeus_asperrimus";0,571410416150719;0;-Inf;0
"26";"Akko_rossi";-1,18744500817804;0;Inf;0
"27";"Alectis_ciliaris";0,445991516045505;1;55,4008483954495;0
"28";"Alectrias_benjamini";-2,15804407995244;0;Inf;0
"29";"Alepes_djedaba";-0,15700690201119;1;115,700690201119;0
"30";"Alepocephalus_bicolor";-2,80123553055931;0;Inf;0
"31";"Alionematichthys_piger";2,14705017882243;1;-114,705017882243;0
"32";"Alloblennius_frondiculus";-1,05516633841148;0;Inf;0
"33";"Allocareproctus_jordani";-3,84705474352949;0;Inf;0
"34";"Alosa_alabamae";-2,74375260265062;0;Inf;0
"35";"Altrichthys_alelia";2,90125591504443;1;-190,125591504443;0
"36";"Altrichthys_curatus";2,90125591504443;1;-190,125591504443;0
"37";"Amblyeleotris_ellipse";-0,348566923676429;0;Inf;0
"38";"Amblyeleotris_rhyax";-0,348566923676429;1;134,856692367643;0
"39";"Amblyglyphidodon_leucogaster";2,56274185280679;1;-156,274185280679;0
"40";"Amblygobius_cheraphilus";0,602391233110504;1;39,7608766889496;0
"41";"Amblypomacentrus_kuiteri";3,00514013912658;1;-200,514013912658;0
"42";"Amblyraja_doellojuradoi";-2,74563209139538;0;Inf;0
"43";"Ammodytoides_kanazawai";-0,370672566429601;0;Inf;0
"44";"Ammotretis_brevipinnis";-3,61005981453344;0;Inf;0
"45";"Ammotretis_rostratus";-3,61005981453344;0;Inf;0
"46";"Amphiprion_barberi";3,65448246040543;1;-265,448246040543;0
"47";"Amphiprion_latezonatus";3,65448246040543;1;-265,448246040543;0
"48";"Amphiprion_thiellei";3,65448246040543;1;-265,448246040543;0
"49";"Anampses_lennardi";2,58971092123998;1;-158,971092123998;0
"50";"Anarchias_leucurus";-0,158819165240097;1;115,88191652401;0
"51";"Anarchias_similis";-0,158819165240097;1;115,88191652401;0
"52";"Anchoa_cayorum";-3,1277797478813;0;Inf;0
"53";"Anchoa_marinii";-3,1277797478813;0;Inf;0
"54";"Andamia_amphibius";-0,232233219677801;0;Inf;0
"55";"Andamia_cyclocheilus";-0,232233219677801;1;123,22332196778;0
"56";"Anguilla_bicolor";-1,86339635973788;0;Inf;0
"57";"Anguilla_labiata";-1,86339635973788;0;Inf;0
"58";"Anodontostoma_chacunda";-2,2022791931565;0;Inf;0
"59";"Antennablennius_adenensis";-0,968486322435415;0;Inf;0
"60";"Antennablennius_velifer";-0,968486322435415;0;Inf;0
"61";"Antennarius_indicus";1,14739328460623;1;-14,739328460623;0
"62";"Antennarius_pictus";1,14739328460623;1;-14,739328460623;0
"63";"Antennatus_linearis";-0,46755586902881;0;Inf;0
"64";"Anthias_woodsi";0,653308121360539;1;34,6691878639461;0
"65";"Antigonia_rubescens";-1,84585488977879;1;284,585488977879;0
"66";"Aphia_minuta";-0,714185443596384;0;Inf;0
"67";"Aphos_porosus";-1,62792396445254;0;Inf;0
"68";"Aplodactylus_westralis";0,166586173606026;1;83,3413826393974;0
"69";"Apogon_atradorsatus";1,59607869690533;1;-59,607869690533;0
"70";"Apogon_gouldi";1,59607869690533;0;-Inf;1
"71";"Apogon_guadalupensis";1,59607869690533;0;-Inf;1
"72";"Apogonichthyoides_timorensis";0,911312470491245;1;8,8687529508755;0
"73";"Apogonichthyoides_uninotatus";0,911312470491245;0;-Inf;0
"74";"Apogon_nitidus";1,59607869690533;1;-59,607869690533;0
"75";"Apogon_robbyi";1,59607869690533;0;-Inf;1
"76";"Apogon_rubrifuscus";1,59607869690533;0;-Inf;1
"77";"Apolemichthys_arcuatus";3,38872511360344;1;-238,872511360344;0
"78";"Apolemichthys_griffisi";3,38872511360344;1;-238,872511360344;0
"79";"Apristurus_australis";-3,64150055843184;0;Inf;0
"80";"Apristurus_profundorum";-3,64150055843184;0;Inf;0
"81";"Apristurus_sibogae";-3,64150055843184;0;Inf;0
