"","Min_relative_sd","Max_relative_sd","Mean_relative_sd","Median_relative_sd"
"habitatbenthopelagic",0.0145653792732642,199855.856703373,32.9676904635119,0.390316010364061
"habitatdemersal",0.0136853611710187,82301.0701169107,22.3539175975472,0.422586687321271
"habitatpelagic",0.0185623637992965,76205.1297715758,7.35907808152795,0.507469607304096
"c_m",0.685121119231991,124.044554980744,17.5558150617164,11.5112516473282
"tm",0,962145.628732483,120.878749686642,7.47717277284867
"Lm",0,147.353526289511,2.6065538398648,1.76237557969408
"tmax",0,413660.528470543,110.807228802707,1.64607009809079
"K",0,244208.439411156,75.6355484031709,2.66240961482423
"Woo",0,1415.26775182793,4.9115844381539,0.788990661976547
"M",0,543607.782061451,99.6556987158833,5.83085598582686
"TLDiet",0,52.8203022448029,0.249521875396569,0
"Loo",0,76.543986395456,1.21170224301033,0.420350437267877
"fecundity",0,7775302.17366557,710.92302077035,0.433010352663519
"Min_caudalpeduncle_depth",0,142.630611220431,0.811798029830718,0.0721381934233855
"Lower_jaw_length",0,7200.16048125149,1.7615902691349,0.0892649726469814
"Max_body_depth",0,5142.05584394459,6.13872787214173,0.186515610449689
"Max_body_width",0,81.4214126349823,0.81761664560169,0.065294125737814
"Temperature",0,224.096236660148,0.915848811486038,0
"Standardised path coefficients",0.00811414679397155,1.61020798705787,0.272148550031552,0.081626753116936
"Not standardised path coefficients",0.00559173002507156,1.61126202440472,0.268035595027257,0.0657232561127706
