"","Min_sd","Max_sd","Mean_sd","Median_sd"
"habitatbenthopelagic",0.000375517779957957,1.98114925150533,0.0426881168062108,0.00557284675980901
"habitatdemersal",0.00047011756187545,1.9385603383216,0.0519442769574977,0.00555495395334195
"habitatpelagic",0.000853340106458129,3.29578303193629,0.0638317733420715,0.0169658446510685
"c_m",0.145636580431464,24.9212078193729,3.7674452634679,2.39319736037553
"tm",0,1.41149201265975,0.050616685075589,0.0272332131031548
"Lm",0,0.860735463956425,0.013931821861871,0.00960312348714102
"tmax",0,1.39655652969655,0.0511670058076733,0.0308832246906247
"K",0,2.12846895407296,0.0405042223824461,0.0221677855802625
"Woo",0,5.09913107696936,0.107651031395889,0.0374890525747334
"M",0,1.64272782522127,0.0591378726878344,0.0378721462531002
"TLDiet",0,1.82758247781952,0.00807651661593869,0
"Loo",0,2.08037307705065,0.0352800656296198,0.0136896154291692
"fecundity",0,4.58823440515023,0.0995622886228508,0.0368237939233203
"Min_caudalpeduncle_depth",0,2.03638398476432,0.0119251301033578,0.00113929921794153
"Lower_jaw_length",0,0.49447421709337,0.00991947963826044,0.000803105284127193
"Max_body_depth",0,0.663011948113155,0.00974308912553117,0.000607090507491914
"Max_body_width",0,0.408747850162509,0.00590220044090725,0.00052445239609143
"Temperature",0,19.4399290981676,0.143323762166722,0
"Standardised path coefficients",6.80653965398237e-05,1.1728270243494,0.0625147504321671,0.021220738501107
"Not standardised path coefficients",6.80653965398237e-05,1.7355614128465,0.13993177991781,0.0114430075168936
