"","path","Parameter","EstimateNotStd","EstimateStd","jack_ NA_NA_EstimateNotStd","jack_ NA_NA_EstimateStd","jack_001_Anoplogaster_EstimateNotStd","jack_001_Anoplogaster_EstimateStd","jack_002_Arnoglossus_EstimateNotStd","jack_002_Arnoglossus_EstimateStd","jack_003_Brevoortia_EstimateNotStd","jack_003_Brevoortia_EstimateStd","jack_004_Buglossidium_EstimateNotStd","jack_004_Buglossidium_EstimateStd","jack_005_Callionymus_EstimateNotStd","jack_005_Callionymus_EstimateStd","jack_006_Carcharhinus_EstimateNotStd","jack_006_Carcharhinus_EstimateStd","jack_007_Chaenocephalus_EstimateNotStd","jack_007_Chaenocephalus_EstimateStd","jack_008_Channa_EstimateNotStd","jack_008_Channa_EstimateStd","jack_009_Chelon_EstimateNotStd","jack_009_Chelon_EstimateStd","jack_010_Chiloscyllium_EstimateNotStd","jack_010_Chiloscyllium_EstimateStd","jack_011_Chromis_EstimateNotStd","jack_011_Chromis_EstimateStd","jack_012_Engraulis_EstimateNotStd","jack_012_Engraulis_EstimateStd","jack_013_Gadus_EstimateNotStd","jack_013_Gadus_EstimateStd","jack_014_Gasterosteus_EstimateNotStd","jack_014_Gasterosteus_EstimateStd","jack_015_Gillichthys_EstimateNotStd","jack_015_Gillichthys_EstimateStd","jack_016_Glossogobius_EstimateNotStd","jack_016_Glossogobius_EstimateStd","jack_017_Hippocampus_EstimateNotStd","jack_017_Hippocampus_EstimateStd","jack_018_Hippoglossoides_EstimateNotStd","jack_018_Hippoglossoides_EstimateStd","jack_019_Limanda_EstimateNotStd","jack_019_Limanda_EstimateStd","jack_020_Lipophrys_EstimateNotStd","jack_020_Lipophrys_EstimateStd","jack_021_Lutjanus_EstimateNotStd","jack_021_Lutjanus_EstimateStd","jack_022_Mugil_EstimateNotStd","jack_022_Mugil_EstimateStd","jack_023_Notothenia_EstimateNotStd","jack_023_Notothenia_EstimateStd","jack_024_Ophiodon_EstimateNotStd","jack_024_Ophiodon_EstimateStd","jack_025_Pleuronectes_EstimateNotStd","jack_025_Pleuronectes_EstimateStd","jack_026_Pomadasys_EstimateNotStd","jack_026_Pomadasys_EstimateStd","jack_027_Pseudopleuronectes_EstimateNotStd","jack_027_Pseudopleuronectes_EstimateStd","jack_028_Scomber_EstimateNotStd","jack_028_Scomber_EstimateStd","jack_029_Scophthalmus_EstimateNotStd","jack_029_Scophthalmus_EstimateStd","jack_030_Scyliorhinus_EstimateNotStd","jack_030_Scyliorhinus_EstimateStd","jack_031_Sebastolobus_EstimateNotStd","jack_031_Sebastolobus_EstimateStd","jack_032_Solea_EstimateNotStd","jack_032_Solea_EstimateStd","jack_033_Squalus_EstimateNotStd","jack_033_Squalus_EstimateStd","jack_034_Thunnus_EstimateNotStd","jack_034_Thunnus_EstimateStd","jack_035_Torpedo_EstimateNotStd","jack_035_Torpedo_EstimateStd","jack_036_Trematomus_EstimateNotStd","jack_036_Trematomus_EstimateStd","jack_037_Zoarces_EstimateNotStd","jack_037_Zoarces_EstimateStd","jack_038_Chanos_EstimateNotStd","jack_038_Chanos_EstimateStd","jack_039_Dorosoma_EstimateNotStd","jack_039_Dorosoma_EstimateStd","jack_040_Eleginus_EstimateNotStd","jack_040_Eleginus_EstimateStd","jack_041_Gilchristella_EstimateNotStd","jack_041_Gilchristella_EstimateStd","jack_042_Oncorhynchus_EstimateNotStd","jack_042_Oncorhynchus_EstimateStd","jack_043_Salmo_EstimateNotStd","jack_043_Salmo_EstimateStd"
"1","habitatbenthopelagic->c_m","p0",-0.0686244448397282,-0.0511213567508535,-0.0686244443760304,-0.0511213564004918,-0.0675659502133587,-0.0503722675901597,-0.089260490072385,-0.0650987450178635,-0.0790288914731761,-0.0594271309209215,-0.0685069621351999,-0.051042407878598,-0.0498913069491086,-0.0332490407522439,-0.0807330578301242,-0.0592671347737942,-0.0731213052759538,-0.0549770136810171,-0.0526097806199312,-0.0401353614935108,-0.0743377862328381,-0.0553577915463201,-0.0684411399254943,-0.0508231159849132,-0.0404726881731417,-0.0276584359675865,-0.0214771652119296,-0.0171160716145609,-0.0472528026516513,-0.035147485860127,-0.0892525651895788,-0.066544717269223,-0.0597602190056563,-0.0518659442899563,-0.0451766836924863,-0.0375176748205105,-0.0618149030779153,-0.0453183576370691,-0.0721853660204972,-0.0540728017134978,-0.067138263897686,-0.04988207403862,-0.0698160323972917,-0.052134883401079,-0.0404551078638961,-0.0277499000865411,-0.064768483173965,-0.0484523237927184,-0.0572248599059908,-0.0424614332355832,-0.0710240380038262,-0.052810530457973,-0.0723763024823934,-0.0541639367735468,-0.0795376300088174,-0.0592914149012966,-0.0566213831747271,-0.0455091050683118,-0.0617708721461512,-0.0458745948086615,-0.0670251577943859,-0.0497969698852867,-0.0985994224235827,-0.0743928637795651,-0.0512628521802671,-0.0380144327087121,-0.0673416329864332,-0.0497387593976036,-0.0659506648754182,-0.0488190746466565,-0.0698374537223337,-0.0515500042927588,-0.0660168275971727,-0.0486503614053627,-0.0903978197763911,-0.0673662868875693,-0.0532367081933829,-0.0399884320140776,-0.0756319825840536,-0.0565373244700595,-0.0715672891598595,-0.0531673006169849,-0.0668128545350713,-0.0496570951068867,-0.0731003825326862,-0.0545918402148405,-0.0733556178148266,-0.0543297409177224,-0.0761519718891219,-0.0548141813122367
"2","habitatdemersal->c_m","p1",-0.14992820982747,-0.11836469098594,-0.149928210046705,-0.118364691143877,-0.142619570382886,-0.112660346893027,-0.142916200827178,-0.110513280253443,-0.165634215010838,-0.132050652022496,-0.149162486914777,-0.117777524228168,-0.222805277972508,-0.157461769529294,-0.152823611054257,-0.118952464456614,-0.13866755571931,-0.11049263321761,-0.152447930050326,-0.123255032590877,-0.144589584638372,-0.114135662464843,-0.150800295589115,-0.118685106410643,-0.213459525565992,-0.15457774052929,-0.0873317442621943,-0.0737477092197095,-0.166131170075819,-0.131016136106287,-0.13641475700454,-0.107840460608225,-0.169230778656794,-0.155814466285755,-0.145284626112116,-0.127952299408185,-0.147919361595188,-0.114895843654368,-0.140199931407643,-0.111298530344129,-0.152259935277163,-0.119884331307672,-0.15816050797249,-0.125192091626126,-0.209606543272478,-0.152506810271485,-0.153473016375036,-0.121777128586066,-0.158849163960515,-0.124919476063222,-0.147371796660956,-0.116132962193112,-0.142770303289737,-0.113227567799551,-0.16665325790386,-0.131664800474185,-0.142652859587567,-0.121446157625468,-0.145357554897933,-0.114426359270507,-0.15398870103643,-0.12123827157658,-0.133498350395602,-0.106783533028073,-0.174250066434469,-0.136958056420843,-0.156543665828873,-0.122539274792315,-0.152690390155526,-0.119748603628531,-0.158628252804454,-0.124142121575203,-0.154911095880914,-0.120990708235003,-0.140794703336279,-0.111408471418024,-0.165821909533156,-0.131965275939942,-0.145134282585232,-0.114967230707395,-0.159999871876605,-0.125977456815429,-0.152136553625608,-0.119830229324947,-0.152586370417759,-0.120766704194421,-0.150530055675429,-0.118103179371141,-0.160053228272475,-0.122083755742338
"3","habitatpelagic->c_m","p2",0.134850964896771,0.141462745660544,0.134850964856798,0.141462745616367,0.123878784800497,0.129971718402978,0.130052116677654,0.133751871860021,0.155037235862459,0.164029330915674,0.13455667950489,0.141181990012361,0.165752089419261,0.155837987617452,0.137171581289742,0.142306973962753,0.120787091426636,0.127891244014344,0.128808165931838,0.138293934166984,0.137224886614958,0.144086414953022,0.135742298631777,0.141811438157671,0.144474034091725,0.139408408431653,0.0971379344197788,0.109091036614673,0.135596329134333,0.141941523372153,0.139806635233747,0.146863308131862,0.108403472726535,0.132496523901211,0.0811740082153157,0.0948025820346456,0.140365396914063,0.145187814273095,0.129733178933689,0.136852261623085,0.135959967974694,0.142247121979806,0.140894370225877,0.148165136633763,0.135515595424405,0.130740999930269,0.138137136796869,0.145843709438987,0.136513832012849,0.142600940243762,0.132376655073729,0.138617272195032,0.132145981965092,0.139258824780514,0.131865422397073,0.138580844256882,0.13093831860617,0.148143328962407,0.127059001599868,0.132873841075753,0.137574603179878,0.143925849925026,0.142217573962603,0.151326009054261,0.14057835648936,0.146770103772293,0.138173663307071,0.143745901430855,0.1271523233473,0.132950219331093,0.140005184981256,0.145429927314415,0.136588058875225,0.14156733826641,0.149204387564317,0.157085334285519,0.136587398304107,0.14435797731061,0.136408920195681,0.143624945002967,0.14135447023773,0.147829851407247,0.133773572679785,0.140024569753189,0.140302607027636,0.14753672093966,0.136909129891088,0.143042657473392,0.141996823944254,0.144301967079691
"4","Temperature->K","p3",0.0279073812619317,0.281229806523648,0.0279073812620024,0.281229806586518,0.0280062383261266,0.281818161280054,0.0280551976524391,0.282523886732513,0.0281333596190418,0.28439601458382,0.0278879100049453,0.280770370284954,0.0286405479440827,0.293222625209039,0.0277561808031803,0.282181337556897,0.0280350529730573,0.28244638088768,0.0277771656205588,0.279141310658706,0.0279199064923353,0.281151633766796,0.0279309861115761,0.281541385923446,0.0278100803238405,0.286894999318591,0.0273030857422127,0.278080896207362,0.0280936384508802,0.284866457331442,0.0279753715128874,0.281322344623603,0.0275117936652254,0.274177750822954,0.0272758994513778,0.272313023204854,0.0280662129062376,0.283055447006175,0.0280672746645056,0.282284268876689,0.0277586568348603,0.279698631922968,0.027859117863167,0.281074914187951,0.0280066400663629,0.287347332637839,0.0277390718061505,0.280115515058065,0.027884993034033,0.281802024362575,0.0279438807972991,0.281812491934012,0.0279032423081487,0.280520131247081,0.0279903119973857,0.283206110474807,0.0282929170121815,0.284301896621596,0.0278772429929344,0.281833241265335,0.0278772969665384,0.280919385280677,0.0282637022846494,0.286032464155612,0.0278345051728517,0.283392776444991,0.0280326928926706,0.282612229653143,0.0280582283943064,0.283544696335773,0.0280108411324546,0.282050908353102,0.0279279529807519,0.281925810016093,0.0280276955677459,0.282285844956589,0.0276641254479024,0.279557758142393,0.0278353756625582,0.280064263985566,0.0278864504718674,0.281270902201718,0.0278795516638769,0.281023912760189,0.0279330601821433,0.281284388230579,0.0281473885829007,0.284759522007375,0.0279320634649901,0.282849115415635
"5","Temperature->M","p4",0.0299488252986775,0.289520964165586,0.0299488252983054,0.289520964151359,0.0301418437206302,0.290991239906058,0.0301085764137662,0.291066161643234,0.029988748982447,0.290838149780043,0.0297986922999891,0.287841299575671,0.0304771896593078,0.29853719448133,0.030358754278226,0.293167944899955,0.0301621720373898,0.291522317196391,0.0297938830016036,0.287104225439604,0.0299500555998345,0.289331754085143,0.0299310810615673,0.289417389122374,0.0299470919525837,0.293842600853658,0.029933479268505,0.292327699020668,0.0302817273280118,0.295732326470977,0.0300669020430214,0.290415893359346,0.0295449954907821,0.281923330611717,0.0291948174408805,0.27955111962821,0.0303189256537489,0.293551359436776,0.0302216105244261,0.29203074887793,0.0298523360518226,0.288500121662143,0.0298641504958012,0.288701815408913,0.0314559375776763,0.323107644114521,0.0298694554945178,0.289065148901371,0.0300254791323232,0.291108637287337,0.0300272805819587,0.2907625825573,0.0299520636422174,0.288729379561875,0.030318132944612,0.294709586084439,0.0301037949803382,0.289593780626852,0.0291685813304356,0.283805277792526,0.0299197050088245,0.289435428535738,0.0305542396497546,0.297022716542584,0.0300642109119327,0.293025295820174,0.0304291463260426,0.294016283538352,0.0299019724024188,0.289556568888497,0.0303530727518776,0.293371996132549,0.0299839711578254,0.290261236799345,0.0300937053420122,0.289760908294667,0.0296634282761596,0.287270149944814,0.0299858562011856,0.289544715841006,0.0298893612048729,0.289293787164063,0.0298644920184038,0.288749926502666,0.0299859296662109,0.289664565928188,0.0300855845530706,0.291049214634086,0.0296245244326584,0.2893102754785
"6","Temperature->Loo","p5",-0.0173911363072487,-0.176948110172836,-0.0173911363127352,-0.176948110236965,-0.0174628160700392,-0.177741643994238,-0.0173374672184714,-0.176092502477794,-0.0172842863443087,-0.175710314571081,-0.0175078586146819,-0.178218819223372,-0.0172440940052395,-0.174814564924899,-0.0169640848758096,-0.172546761112688,-0.0173671652283878,-0.17670737959129,-0.0173910151478163,-0.176931766248609,-0.0173670080979345,-0.176638556596118,-0.0173247861882647,-0.176363264964446,-0.0173934181664387,-0.176701722178025,-0.0174633215131086,-0.177314691865492,-0.0173472032542694,-0.17657898923432,-0.0173902479346605,-0.177075122200013,-0.0173917217558125,-0.176955781878198,-0.0175195552135294,-0.178321908804019,-0.0174839253037112,-0.179368199470266,-0.0174592077874416,-0.177569335025142,-0.0174161272872472,-0.177095258282106,-0.017323219754909,-0.176222351791817,-0.0170894350505918,-0.174797855760882,-0.0174468691963105,-0.177492297912285,-0.0174730179852438,-0.177820711642691,-0.0173340770225196,-0.1765755335347,-0.0174087993292927,-0.177034791155262,-0.0173338144594587,-0.177141459901446,-0.0173807747717179,-0.176742556883543,-0.0175293132055524,-0.178340600310681,-0.017422702016767,-0.177105722988071,-0.0174530398750134,-0.177713746415585,-0.0173756538787687,-0.176899693381674,-0.0174596388208219,-0.177519775505478,-0.0173507359860915,-0.176246909789483,-0.0174581154580761,-0.177769121433274,-0.0173946735360968,-0.177120672887291,-0.0174194379870173,-0.177119745845851,-0.0173624818658548,-0.176665243807372,-0.0174496863844547,-0.177497523773778,-0.0173770540857915,-0.17687652467739,-0.0174114745426766,-0.177112689756084,-0.0173906589132511,-0.17694950089952,-0.0173841715331847,-0.17712335691625,-0.0174341493749734,-0.177785869501069
"7","Loo->K","p6",-0.790563285424531,-0.782998507372953,-0.790563285444833,-0.78299850752936,-0.789895484797892,-0.780924260629827,-0.790034119657554,-0.783307842972049,-0.790561257518262,-0.786125043982254,-0.790481785950457,-0.781819760089804,-0.790581717757311,-0.798409489661405,-0.786797014715571,-0.786420649502812,-0.79180854333124,-0.784023474191474,-0.790897419008881,-0.78122379662116,-0.790491128312039,-0.782642002753336,-0.790628562037671,-0.782867435085866,-0.787268187583136,-0.799443164845842,-0.791140349012834,-0.793587985383561,-0.792114221216564,-0.789062813410224,-0.791065287089363,-0.781247996907663,-0.793485592366115,-0.777195308842247,-0.792082809613338,-0.77692355854849,-0.78733437603641,-0.773999016397049,-0.78977040230943,-0.780987083272076,-0.790563334545566,-0.783381334599852,-0.790818167893311,-0.784330287425118,-0.78834607392448,-0.79077817437592,-0.791302100080858,-0.785462672233999,-0.79200992326162,-0.786483781475221,-0.792250417767916,-0.784343301439717,-0.790663963447307,-0.781648509962856,-0.795707045344588,-0.787810940205006,-0.790919462084083,-0.781559941729932,-0.792643565202657,-0.787653141854356,-0.79072164974426,-0.783858354395193,-0.788938405340313,-0.784114408247498,-0.788785257850974,-0.788820398924802,-0.789780065700647,-0.78310647597428,-0.79088784198766,-0.78681489344654,-0.791037668116526,-0.782239157420595,-0.792181739375447,-0.785357848759056,-0.790965518515959,-0.783477302753476,-0.789640558309508,-0.784232323825869,-0.791113921077326,-0.782519130831946,-0.790197438003761,-0.783020516086942,-0.790584179306761,-0.783414280079665,-0.790489381046904,-0.782329752736781,-0.793170967448851,-0.787562664983348,-0.794494760961897,-0.788944340409909
"8","Loo->M","p7",-0.7088654666406,-0.673513141223054,-0.708865466652579,-0.673513141178089,-0.707563413246083,-0.671120579667879,-0.708746341640066,-0.674585675281139,-0.70905134080013,-0.676433181261297,-0.710507076234866,-0.674223332019581,-0.708194466326834,-0.684287846329833,-0.700194235579155,-0.664775020100267,-0.71066164955468,-0.675066137583704,-0.709553132257973,-0.67207310818601,-0.708699938597849,-0.673132193365971,-0.708335959896299,-0.67282367007632,-0.706897096277025,-0.682748031976093,-0.710223500225693,-0.683108886899535,-0.711628708270417,-0.682750545416213,-0.711091811469082,-0.674536723146,-0.71377381186253,-0.669399710941513,-0.710682512421431,-0.668573983809339,-0.722263671628609,-0.681647039604559,-0.708576957413343,-0.673216215795221,-0.708970933265881,-0.673815141435592,-0.70937200126728,-0.674125901600993,-0.721968250539587,-0.725027204957227,-0.708519974894108,-0.673997863774005,-0.710399596644294,-0.676789217608755,-0.712786104417253,-0.677566514528813,-0.709259796199832,-0.672325783940388,-0.705663222989983,-0.671217417312431,-0.708851334579515,-0.670580843386052,-0.712818016157406,-0.681708179807799,-0.707328552901127,-0.6731292864501,-0.70532448396804,-0.673375333171128,-0.70774576543347,-0.677558284665489,-0.70779934452389,-0.672636277522187,-0.708800910272675,-0.675700503456457,-0.711026023046323,-0.67490481128666,-0.709036863892485,-0.674086662504034,-0.708676987976127,-0.671088225967554,-0.709768640809645,-0.675533132321076,-0.709111410046217,-0.673145567362815,-0.708531468754677,-0.673732617837459,-0.708989197972117,-0.673895012805625,-0.708687449702367,-0.672820617385138,-0.713973571277647,-0.677904126823662,-0.716070451650374,-0.685759365071506
"9","Loo->Max_body_width","p8",-0.00500845013479283,-0.0224889095694366,-0.00500844999882296,-0.0224889087790358,-0.00515850771492565,-0.0231502958507929,-0.00442356665387435,-0.0198965181328341,-0.00488244320690569,-0.0219395808788695,-0.00491626177484016,-0.0220589149272721,-0.00429304572803866,-0.0192744238507759,-0.00501087331541014,-0.0225119972668936,-0.0047859467309791,-0.0214897150628055,-0.00504076041967026,-0.022635991212038,-0.00497835489530105,-0.0223617203055504,-0.00501362201264064,-0.0225057277226588,-0.00532954714886677,-0.0239071083382468,-0.00546179409082321,-0.0245506515643789,-0.0053999817310017,-0.0242357196831239,-0.00596545341688161,-0.0267799210908747,-0.00551102835057006,-0.0247507134238004,-0.00559111155220476,-0.025089595751507,-0.00212591177462205,-0.009490100176327,-0.00563318642775605,-0.025303500322105,-0.00506682179636941,-0.0227563900328661,-0.00536305867141005,-0.0240841345733675,-0.00232824271068759,-0.0103874460984117,-0.00516090435494843,-0.0231772262527903,-0.00512600636260236,-0.0230012587361029,-0.00539668895979984,-0.0242025226429168,-0.00495042381777453,-0.0222342700952695,-0.00530007603816933,-0.0236875256054478,-0.00473980998958531,-0.0212940585904536,-0.00443263219075835,-0.0198945032576189,-0.0047711580113835,-0.0214437543272896,-0.00494810305190706,-0.0222066657025568,-0.00549055057441951,-0.0246412818762188,-0.00483692204822843,-0.0217207086764273,-0.00499247500410891,-0.0224435777084069,-0.00525540451948661,-0.0235478075139423,-0.00501694872564157,-0.0225075058603425,-0.00640377737493994,-0.0288288076724196,-0.00487879986605611,-0.0218957781784979,-0.00490738776621355,-0.0220365532354766,-0.00427514865035989,-0.019188542171063,-0.0050558866717021,-0.0227064976772512,-0.00493775763582716,-0.0221680288272709,-0.00482280713968702,-0.0216157270315157,-0.00443100224726959,-0.019842771413337
"10","Loo->Max_body_depth","p9",-0.0131253397271532,-0.0535543016673875,-0.0131253398933394,-0.0535543024957174,-0.0128158712618164,-0.0522716093226881,-0.0137742298998552,-0.0562443365506702,-0.0133152541515486,-0.0543925251270609,-0.0131593077899671,-0.0536514593276798,-0.0138651622353837,-0.0566515011895528,-0.0129462014141649,-0.0528509414506341,-0.013303547659742,-0.0542834525230846,-0.0130704707199247,-0.0533372665485653,-0.0131750140800532,-0.0537777363231603,-0.0131157158043797,-0.0534996360526432,-0.0127849978143374,-0.0521044158450501,-0.0126544030645331,-0.0517003947684,-0.0129830761029957,-0.0529354724968968,-0.0119543292348853,-0.0487714391834071,-0.012634214751487,-0.0515336296792603,-0.0125992416194117,-0.0513852760765511,-0.0173459798235026,-0.0706030412532622,-0.0125759648877048,-0.0513115089339658,-0.0130128088484828,-0.0531087066404008,-0.0127611085060001,-0.0520526297010973,-0.0162755121671359,-0.0659920870522884,-0.0130634200311542,-0.0533037125183788,-0.0132244147124698,-0.0539217073281725,-0.0126250162567187,-0.0514487188141544,-0.0132486717443637,-0.0540780338647999,-0.0126594381912215,-0.0514113660628752,-0.0134704493605721,-0.0549985414993393,-0.0136183154075081,-0.0555396507520139,-0.0134025398003621,-0.0547760983651373,-0.0130346174843601,-0.0531585493975949,-0.0126094354567181,-0.0514022721878128,-0.0132731180710209,-0.0541649978011951,-0.0130972272460137,-0.0535011599747358,-0.0136365371402873,-0.0555102416164976,-0.0131210258824423,-0.053490041041678,-0.0118390506358801,-0.0483082643260766,-0.0135064092069258,-0.0550669914003319,-0.0133086305418386,-0.0543213485054944,-0.0142341937164694,-0.0580720938929153,-0.013123371752348,-0.0535455041652665,-0.0133365259696238,-0.054417931358958,-0.0136214747103645,-0.0554939590824977,-0.0135880327915348,-0.0552959136981486
