"","genus","species","jack_ NA_NA_c_m","jack_001_Anoplogaster_c_m","jack_002_Arnoglossus_c_m","jack_003_Brevoortia_c_m","jack_004_Buglossidium_c_m","jack_005_Callionymus_c_m","jack_006_Carcharhinus_c_m","jack_007_Chaenocephalus_c_m","jack_008_Channa_c_m","jack_009_Chelon_c_m","jack_010_Chiloscyllium_c_m","jack_011_Chromis_c_m","jack_012_Engraulis_c_m","jack_013_Gadus_c_m","jack_014_Gasterosteus_c_m","jack_015_Gillichthys_c_m","jack_016_Glossogobius_c_m","jack_017_Hippocampus_c_m","jack_018_Hippoglossoides_c_m","jack_019_Limanda_c_m","jack_020_Lipophrys_c_m","jack_021_Lutjanus_c_m","jack_022_Mugil_c_m","jack_023_Notothenia_c_m","jack_024_Ophiodon_c_m","jack_025_Pleuronectes_c_m","jack_026_Pomadasys_c_m","jack_027_Pseudopleuronectes_c_m","jack_028_Scomber_c_m","jack_029_Scophthalmus_c_m","jack_030_Scyliorhinus_c_m","jack_031_Sebastolobus_c_m","jack_032_Solea_c_m","jack_033_Squalus_c_m","jack_034_Thunnus_c_m","jack_035_Torpedo_c_m","jack_036_Trematomus_c_m","jack_037_Zoarces_c_m","jack_038_Chanos_c_m","jack_039_Dorosoma_c_m","jack_040_Eleginus_c_m","jack_041_Gilchristella_c_m","jack_042_Oncorhynchus_c_m","jack_043_Salmo_c_m","full_params...trai."
"Abudefduf_abdominalis","Abudefduf","Abudefduf_abdominalis",16.5281746687715,16.4516223138861,16.49416738565,16.6377014787395,16.5366412959241,16.2941257471781,16.452274085163,16.5182107515683,16.7780441947581,16.5423433674335,16.5188740364882,18.7515981481874,16.6015071071686,16.6308936537543,16.3997110089605,16.6427682378105,16.9957428454114,16.5145079879324,16.5008493447142,16.5237955333967,16.4442340227556,16.5650404987191,16.5905221265325,16.5737292650122,16.5334441602426,16.5472257216836,16.3098049665364,16.4688057219901,16.4983590842562,16.490047154519,16.4655430447313,16.509875119598,16.4927743502846,16.5225918964447,16.5289210442377,16.50791755485,16.4707429212832,16.6646872062258,16.4346019111714,16.5739976936713,16.5258971756051,16.5276308569912,16.4611245146509,16.403963351359,20.427019636288
"Abudefduf_bengalensis","Abudefduf","Abudefduf_bengalensis",16.1866991205786,16.1151080491907,16.0939158112704,16.3051516861583,16.196561718281,15.8520482519349,16.1018685156177,16.1174299224592,16.4416814985361,16.1984079537009,16.1738400756222,18.3776514394359,16.4167898057937,16.2837682208999,16.0362547403312,16.3728893245543,16.6868770574542,16.1737228015258,16.1129402658455,16.1793988675641,16.0958244104199,16.1908946832793,16.2657453868264,16.2405598057498,16.1898017704044,16.2120210101145,15.9262183576694,16.0728880408337,16.1722098742658,16.1495711668735,16.1330085951615,16.1741073369029,16.1436709632182,16.1825984323814,16.1909565354256,16.1562600526132,16.1250998080617,16.3566108888315,16.0784586882679,16.2419723776779,16.1849447966724,16.1758605737494,16.1007793751856,16.0320127704127,20.0922733057236
"Abudefduf_concolor","Abudefduf","Abudefduf_concolor",16.2182397272068,16.1506367627237,16.0988942497503,16.3274582534059,16.2278344697295,15.8334075439815,16.1325029626009,16.1421949291321,16.4748654117045,16.2310107152908,16.2049271278397,18.406790015848,16.4442160072217,16.3158661157042,16.0786502705865,16.3525129820665,16.7792073199766,16.1593332791325,16.1265057662894,16.2117451698146,16.1116190465,16.2266734848642,16.310294548848,16.2854085282883,16.2218945169844,16.2362082915819,15.9510810394813,16.079992798181,16.2061440942523,16.193103866879,16.165917545641,16.1904177713852,16.1807274244511,16.214426897839,16.2238105600057,16.1864268628321,16.1522484551323,16.4066541507939,16.1075853297751,16.2674993149642,16.2154557240328,16.2079067470077,16.1312293876161,16.0606364601592,20.3789656211109
"Abudefduf_conformis","Abudefduf","Abudefduf_conformis",16.3134985100485,16.2415364303493,16.2292030505751,16.4251924741064,16.3228729799673,15.9910820227307,16.2314845931771,16.2613868198477,16.5675060458063,16.3262778751584,16.3016280490973,18.5135055290453,16.4901165958996,16.4130160540942,16.1748958848766,16.4549464471783,16.8253934000128,16.2834137255934,16.2483764302787,16.307584888755,16.2188031941826,16.3297846114399,16.3921297515225,16.3697391723697,16.3175738807712,16.3341880346976,16.0647150139826,16.2098759830939,16.2950689101274,16.2808245251567,16.2584531480511,16.2927715231713,16.2753589989179,16.308849596488,16.3174195679485,16.2858120022355,16.251670287067,16.4778437478864,16.2096018146043,16.363212221772,16.3112045342834,16.3059634355223,16.2337811185227,16.1677449926971,20.3825042050994
"Abudefduf_declivifrons","Abudefduf","Abudefduf_declivifrons",16.001274136406,15.9227022913992,15.8572659966617,16.1303667599907,16.0118038620944,15.5699270627027,15.9056180883381,15.910728426911,16.2641723580331,16.0101097472973,15.9854505235664,18.1600117957109,16.3076275260893,16.1020727304819,15.8496986782399,16.1943438927493,16.5518538700028,15.9294081904158,15.8995262270081,15.9935088708222,15.9006898799971,15.9898214976011,16.0910573786721,16.0669857106251,16.00205241362,16.025570542845,15.7098215500446,15.8561092441686,15.9971631329199,15.9680765115696,15.9520507976033,15.9743118261715,15.958593114552,15.9973840508231,16.0099430123914,15.9624151798353,15.9311737701322,16.2039441864399,15.8894197043893,16.0554691485587,16.000457462647,15.9817507663471,15.8992611533237,15.8253179507988,20.3764083079519
"Abudefduf_hoefleri","Abudefduf","Abudefduf_hoefleri",16.3150573762413,16.2433041359465,16.2310336793352,16.4264653230745,16.324447209997,15.9931527088299,16.2332008979528,16.2628206433794,16.5689566262857,16.3278682087491,16.3032099267469,18.5153555486879,16.4913342688999,16.4144867875457,16.1764104942565,16.4562956214214,16.8265775038852,16.2861199399242,16.2499921437096,16.3091531272882,16.2203433979332,16.3314621412669,16.3937643114548,16.371251215786,16.3191658144486,16.3358025479625,16.0665420637402,16.2116363269898,16.2965991252972,16.2824558688058,16.2601805173209,16.294483179661,16.2769369566246,16.3103918035848,16.3189948094314,16.2874408297752,16.2533290977925,16.4789637699315,16.2111621826332,16.3648547670026,16.3127427459833,16.3075964723152,16.235594911928,16.1694758879958,20.3737051951702
"Abudefduf_lorenzi","Abudefduf","Abudefduf_lorenzi",16.3501414463057,16.2801382055311,16.2821712250356,16.4598517111691,16.3593807231504,16.0531764424831,16.2711934626887,16.3022427664198,16.6020030751298,16.3639956470774,16.3389899805557,18.5594493458022,16.5035332759953,16.4454791961635,16.2119358394164,16.4826825408335,16.8513334802323,16.3150326581523,16.2926334413617,16.3442070114096,16.257513202504,16.3718642978387,16.4275606468719,16.4048644938781,16.3553479061584,16.3710804533411,16.1085831270911,16.2508372624086,16.3288739612774,16.3154746029994,16.2952475420558,16.3309564296829,16.311408449582,16.3454697563662,16.350979236535,16.324436836095,16.2904167543288,16.5197341989546,16.2458880044189,16.4013292111781,16.3476036536102,16.3458854878114,16.2740620159626,16.2084458785768,20.3760523904983
"Abudefduf_margariteus","Abudefduf","Abudefduf_margariteus",16.7434660102836,16.6605894965691,16.7355727565818,16.8483463338338,16.7510994398559,16.5521198426994,16.6709750905251,16.7735199866839,16.9921474451142,16.7584194771757,16.7359637830374,18.9808103424669,16.7194724666803,16.8534554592556,16.6327882222879,16.8025093612691,17.2036102339107,16.7157590985196,16.7425055141064,16.7413331226223,16.6609180120944,16.8008467033979,16.7963475895104,16.7866507240024,16.7493803727473,16.757095055185,16.5482997367218,16.7181843932787,16.7054627316091,16.7070242754226,16.6758383249633,16.7154083603229,16.714933509078,16.7366142336434,16.7440969676739,16.7283608060412,16.6861779815799,16.8590521918688,16.6609166429787,16.7806288513693,16.7410535016276,16.7475607732439,16.6864993363752,16.6365500290533,20.2996860395594
"Abudefduf_natalensis","Abudefduf","Abudefduf_natalensis",16.320899908555,16.2488210674083,16.2375406924955,16.4323381836467,16.3302998963618,16.0002429964627,16.2387341345568,16.2700632589328,16.5748234746207,16.3337024852395,16.3090654884565,18.5214357504306,16.4946495935891,16.420785314394,16.1825098937029,16.4612643328371,16.8321179121291,16.293444983524,16.2566114078108,16.3150169803871,16.2262348256017,16.3383837824558,16.3991376875409,16.3769827729943,16.3248033854424,16.341474840724,16.0727976949415,16.2186039975941,16.3022857654462,16.2883578018085,16.2655426820039,16.300043500004,16.2830205174323,16.3161908837684,16.3251256625741,16.2934204649021,16.2588977309163,16.4837927635644,16.2174897678052,16.3705952994292,16.3186053156768,16.3135478630944,16.2416881790417,16.175875643913,20.3754707602837
"Abudefduf_nigrimargo","Abudefduf","Abudefduf_nigrimargo",16.3141685300657,16.2420199942958,16.2299037225781,16.4260147032431,16.3235366249885,15.9918090832619,16.2320050146709,16.2624678351102,16.5682365261517,16.3269306019049,16.3022901718341,18.5140685212886,16.4903290468739,16.4138446610384,16.1756517101122,16.455504211507,16.8261759327622,16.2838770061199,16.2492101543459,16.3082553015987,16.2194959473825,16.3306657281917,16.392643865903,16.3704032165294,16.3181765816506,16.3347875674445,16.0653498764143,16.210724920812,16.2957127439952,16.2814730139462,16.2589176415187,16.2932947084947,16.2760785953393,16.3095178940181,16.3181530521388,16.2864803982699,16.2522216265026,16.4784837864551,16.210390743125,16.3638143427115,16.3118896424853,16.3066234561618,16.2343843591982,16.1684652282493,20.3872408415293
