,sd_sp_NotStd,PC_original,relative_standard_erro
habitatbenthopelagic->c_m,0.094038341,-0.068624445,137.0332997
habitatdemersal->c_m,0.137915188,-0.14992821,91.98748386
habitatpelagic->c_m,0.086121998,0.134850965,63.86457691
Temperature->K,0.001474809,0.027907381,5.284655622
Temperature->M,0.00231706,0.029948825,7.736730643
Temperature->Loo,0.000651076,-0.017391136,3.743721949
Loo->K,0.011024221,-0.790563285,1.394476698
Loo->M,0.023816978,-0.708865467,3.359872804
Loo->Max_body_width,0.004708526,-0.00500845,94.01163983
Loo->Max_body_depth,0.005909984,-0.01312534,45.02728242
Loo->Lower_jaw_length,0.006554801,0.049428991,13.26104456
Loo->Min_caudalpeduncle_depth,0.009662269,-0.043494823,22.21475593
Loo->Woo,0.016457845,2.943247451,0.559173003
Max_body_depth->c_m,1.735561413,-2.960409047,58.62572994
Max_body_width->c_m,1.652922877,-1.51781237,108.9016607
Lower_jaw_length->c_m,0.754204107,0.907276434,83.12836955
Min_caudalpeduncle_depth->c_m,0.619491634,-0.384476035,161.1262024
Max_body_depth->TLDiet,0.006766816,0.041189316,16.42857131
Max_body_width->TLDiet,0.008443522,0.035504799,23.78135495
Lower_jaw_length->TLDiet,0.00350608,0.078966271,4.439971802
Min_caudalpeduncle_depth->TLDiet,0.002823836,-0.004921485,57.37772467
c_m->K,0.025502428,0.05837916,43.68412976
c_m->M,0.027091286,0.061831212,43.81490381
c_m->Woo,0.022455201,-0.035634679,63.01502375
K->Lm,0.017264916,0.163315335,10.57152145
K->tm,0.042068367,-0.432515181,9.726448566
M->tmax,0.006115609,-0.80479829,0.75989333
M->tm,0.026212194,0.762354027,3.438323037
M->Lm,0.018452414,-0.099398255,18.56412236
Woo->TLDiet,0.000712224,0.033274438,2.1404546
Woo->fecundity,0.017860764,0.59879084,2.982805205
habitatbenthopelagic <->habitatbenthopelagic,0.011757951,1.222203217,0.962029132
habitatdemersal <->habitatdemersal,0.011694596,1.372694818,0.851944336
habitatpelagic <->habitatpelagic,0.049610155,2.42366403,2.046907261
c_m <->c_m,1.172827024,2.20240086,53.25220517
tm <->tm,0.003240861,0.103560006,3.129452731
Lm <->Lm,0.001124306,0.023820432,4.719921861
tmax <->tmax,0.002688677,0.057873662,4.645768961
K <->K,0.011443008,0.140418679,8.149206056
Woo <->Woo,0.010351364,0.157499263,6.572325611
M <->M,0.019445407,0.152583988,12.74406775
TLDiet <->TLDiet,0.000275342,0.033933571,0.811414679
Loo <->Loo,0.002984858,0.137744247,2.166956827
fecundity <->fecundity,0.036542472,1.082085453,3.377041237
Min_caudalpeduncle_depth <->Min_caudalpeduncle_depth,0.001285763,0.035227673,3.649866761
Lower_jaw_length <->Lower_jaw_length,0.000221432,0.025173777,0.879615466
Max_body_depth <->Max_body_depth,0.000124252,0.008273816,1.50174389
Max_body_width <->Max_body_width,6.81E-05,0.00683193,0.996283637
Temperature <->Temperature,0.1328629,14.25966783,0.931739097
