,sd_sp_Std,PC_original,relative_standard_erro
habitatbenthopelagic->c_m,0.070364896,-0.051121357,137.6428579
habitatdemersal->c_m,0.092848736,-0.118364691,78.44293394
habitatpelagic->c_m,0.07228172,0.141462746,51.09594046
Temperature->K,0.020671443,0.281229807,7.350374251
Temperature->M,0.03900695,0.289520964,13.4729276
Temperature->Loo,0.006927744,-0.17694811,3.915127295
Loo->K,0.030748201,-0.782998507,3.92698079
Loo->M,0.056340296,-0.673513141,8.365136913
Loo->Max_body_width,0.021220739,-0.02248891,94.36090459
Loo->Max_body_depth,0.023829789,-0.053554302,44.49649892
Loo->Lower_jaw_length,0.014547391,0.115623016,12.58174341
Loo->Min_caudalpeduncle_depth,0.019905009,-0.086006708,23.14355415
Loo->Woo,0.091107469,2.752480484,3.310013269
Max_body_depth->c_m,0.085033278,-0.181449788,46.86325538
Max_body_width->c_m,0.081394335,-0.084535981,96.28365914
Lower_jaw_length->c_m,0.075814463,0.096998637,78.16033863
Min_caudalpeduncle_depth->c_m,0.078296986,-0.048625387,161.0207987
Max_body_depth->TLDiet,0.003257469,0.020338678,16.01612976
Max_body_width->TLDiet,0.003799962,0.015931034,23.85257925
Lower_jaw_length->TLDiet,0.002924581,0.068014425,4.299941844
Min_caudalpeduncle_depth->TLDiet,0.002858846,-0.00501445,57.01214417
c_m->K,0.152146062,0.231203062,65.80624869
c_m->M,0.15858945,0.234909976,67.5107343
c_m->Woo,0.087145143,-0.133254465,65.3975405
K->Lm,0.037692835,0.39651954,9.505921136
K->tm,0.055997481,-0.503637159,11.11861595
M->tmax,0.084463311,-1.306775684,6.463489637
M->tm,0.075534902,0.925369426,8.162675312
M->Lm,0.04071797,-0.251569754,16.1855586
Woo->TLDiet,0.002449318,0.071686141,3.416724396
Woo->fecundity,0.006757561,0.228446039,2.958055811
habitatbenthopelagic <->habitatbenthopelagic,0.011757951,1.222203217,0.962029132
habitatdemersal <->habitatdemersal,0.011694596,1.372694818,0.851944336
habitatpelagic <->habitatpelagic,0.049610155,2.42366403,2.046907261
c_m <->c_m,1.172827024,2.20240086,53.25220517
tm <->tm,0.003240861,0.103560006,3.129452731
Lm <->Lm,0.001124306,0.023820432,4.719921861
tmax <->tmax,0.002688677,0.057873662,4.645768961
K <->K,0.011443008,0.140418679,8.149206056
Woo <->Woo,0.010351364,0.157499263,6.572325611
M <->M,0.019445407,0.152583988,12.74406775
TLDiet <->TLDiet,0.000275342,0.033933571,0.811414679
Loo <->Loo,0.002984858,0.137744247,2.166956827
fecundity <->fecundity,0.036542472,1.082085453,3.377041237
Min_caudalpeduncle_depth <->Min_caudalpeduncle_depth,0.001285763,0.035227673,3.649866761
Lower_jaw_length <->Lower_jaw_length,0.000221432,0.025173777,0.879615466
Max_body_depth <->Max_body_depth,0.000124252,0.008273816,1.50174389
Max_body_width <->Max_body_width,6.81E-05,0.00683193,0.996283637
Temperature <->Temperature,0.1328629,14.25966783,0.931739097
