"","habitatbenthopelagic","habitatdemersal","habitatpelagic","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Abudefduf_abdominalis",72852.4356988023,-45244.3931435684,-83740.3076085496,-70105.0778545095,-3405.33124448351,1942.94582995407,1718.29676763846,11904.1756256006,-39411.5364799251,-8873.66016895804,-6556.68208431248,-15756.4427501213,-53246.3360029886,17423.5507132693,7421.46812876651,1908.86580762017,-1459.84161690855,21855.6000000001
"Abudefduf_bengalensis",72846.1339365941,-64766.4247091896,-52151.908016334,-70304.226737237,-2715.62385360713,2134.73182138115,-212.152338742347,14535.7507174942,-49004.3758152838,-6475.45931139386,-10199.28,-18853.1391178008,-58991.8618443117,22772.4789047364,5083.17651371402,2651.84246663764,-684.907880166968,29140.8
"Abudefduf_concolor",42142.8418650659,-40097.289224443,-27557.4146722874,-75014.5145121653,-10197.7015394161,5179.17216069332,2518.94406653088,10032.431700436,-28989.0758042031,-5566.10791864104,-24041.16,-13421.374563724,-37811.2969585761,9391.540146071,-18154.8509849488,3884.90798482714,-5706.81164341405,-27319.5
"Abudefduf_conformis",42146.4455405091,-40088.0076795645,-27572.3168882895,-73280.3685808167,-9765.04278572005,5234.48732242455,1584.8623767361,11077.7513331017,-27999.2697470975,-4405.4832578925,-22584.1201736928,-13133.0998087913,-37217.9982083854,8797.20435652078,-16697.1710870558,4481.32801463542,-7018.38471734362,14570.4
"Abudefduf_declivifrons",42136.0460575719,-40114.060725138,-27527.0743931075,-78959.8349076041,-9530.96588071931,5335.83518482674,774.933582206634,12310.2845524527,-35242.7006196112,-3399.14129847565,-27137.3693052292,-15444.342481997,-41556.0509335247,8408.4022291417,-19103.7601530371,5140.68353738086,-5751.39845510351,5463.90000000001
"Abudefduf_hoefleri",42133.8972096077,-40119.4164872527,-27517.6420298615,-73090.6795725379,-9830.49749671092,5269.08371980793,1542.64039098326,11321.768034446,-33189.2639787406,-4352.96254646875,-27865.8894789219,-14627.7894161008,-40325.7073332876,8885.75522555462,-17064.4049771652,4445.58301599185,-7049.03492331009,-19419.1036759337
"Abudefduf_lorenzi",42130.9036925252,-40127.0863761593,-27505.1441999657,-72476.5101529112,-8954.1003683148,5439.63189681582,-598.512704508466,13984.1066271465,-37568.000946594,-1692.70931198039,-29140.8038212395,-16048.940262228,-42948.3713928089,9912.75502539968,-16858.4069629627,4488.32947600743,-7603.39415456941,34375.9608974544
"Abudefduf_margariteus",59946.0150606858,-60043.1336775135,-27671.7110610242,-63839.8024242244,-10689.8086330966,4935.56859023341,4351.96124382814,7156.15869929088,-10422.0555667046,-7843.57971135727,-12202.7119106196,-7534.6623489065,-26691.6209268723,8227.00401290431,-10301.4639418079,4282.78087661,-8132.79441969087,12471.6125335663
"Abudefduf_natalensis",42137.7127886439,-40109.7171903064,-27533.8097550406,-73014.8601775401,-10789.4903707626,5080.82437171078,3892.32510751703,8394.6566722692,-28174.8468227897,-7272.04915075853,-26226.72,-13000.393076691,-37303.5859314135,8807.80512933102,-16899.4403017009,4439.97711721015,-7046.12380856341,-78315.9
"Abudefduf_nigrimargo",42154.5954853139,-40067.5758081576,-27607.7360118513,-73354.574794084,-10085.3662326065,5145.92629219404,2479.42167747595,9859.48795271018,-23338.7519452313,-5516.91847150888,-19123.6491315364,-11722.8267725361,-34427.0090794663,8720.5413586637,-16437.7019344971,4498.57630055336,-7000.76214713864,11031.3830250423
