"","habitatbenthopelagic","habitatdemersal","habitatpelagic","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Abudefduf_abdominalis",1213.61262534383,-175.991067742548,-976.431016537169,18.8435611771276,304.91146369284,17.9702087005399,-4.32505229793646,56.5486619961924,30.2163144302707,-148.056297700319,10.6508905991699,22.9711969659925,24.5780536884672,47.9709760299461,21.4231233164039,-219.624717058966,-9.36236719894729,-5.02092050209206
"Abudefduf_bengalensis",1215.6500637148,-1048.81986287476,-129.789680151384,19.2119244999543,203.089819406359,19.7270246258778,0.538273943401965,69.6500482524004,36.1852503997848,-115.603352019069,15.3846153846154,26.9447061428212,26.8593141761644,54.3307076402175,14.0021860269654,-463.111997135616,-4.40496424311996,-5.9040590405904
"Abudefduf_concolor",-170.680179939084,-129.781795455366,-42.5950899639319,20.2107150323,112.80276938759,37.636191839356,-7.02048385381063,66.3503773612147,27.0576223706873,-100.946740576861,33,21.6123125917396,19.5411296338558,34.0788802792218,-136.807315672053,216.273764744345,-65.658001674982,5.20833333333333
"Abudefduf_conformis",-170.701448652696,-129.741643565129,-42.6209126197863,19.7400667492532,112.763797794197,37.8564410109431,-4.30954395018458,68.3717367564012,25.9038937663104,-66.4790060392875,31.1557789847803,21.0314254331548,19.1780839692834,31.9069967507351,-125.767950673072,248.256702016711,-80.7043439068453,-2.94117647058824
"Abudefduf_declivifrons",-170.594757945094,-129.923965365805,-42.5240400738632,21.276349193766,112.460304461913,38.3982798221041,-2.07381854126687,72.1113342510199,31.2322475860775,-46.1698130142355,35.4761895679293,24.1856037659993,21.1040260937318,30.4095223808671,-147.117093617552,288.480887115937,-66.3002902919918,-1.08303249097473
"Abudefduf_hoefleri",-170.571036961927,-129.964143794167,-42.5032059745276,19.6974721246811,114.196456730817,37.9624073127654,-4.15999491865826,67.5677315109593,29.2906284178168,-62.1099931461375,35.9999993268181,22.8667154791777,20.4500095933346,32.1254365389438,-131.991191128623,250.630807116091,-81.3164169579152,3.74113028498705
"Abudefduf_lorenzi",-170.550970418752,-130.001078223584,-42.4805897895139,19.5297074211862,109.731398656593,38.9487142159629,1.56782503982289,77.213305913229,32.5459170384404,-20.2349080709316,37.3831806396102,24.8181725286963,21.6406655241576,35.7964171961177,-131.02241979127,252.470529020254,-87.7119116756967,-7.01323452889948
"Abudefduf_margariteus",-870.290734719358,-548.348195009979,-42.847181212733,17.2671525394744,114.872031502109,36.2532178452811,-12.4970105108972,53.3174722106383,10.9998191627774,-186.667609802612,19.7640142823273,12.8949888332818,14.3444358304424,30.0811615714898,-73.2369548533435,229.766894220192,-92.9125340182196,-2.57430194939793
"Abudefduf_natalensis",-170.601415163822,-129.910035213145,-42.5344070270991,19.6753342361695,125.407426177097,36.6250534326218,-10.5028164447691,50.2832595930899,25.0703865266681,-104.184254660735,34.2857142857143,20.4082790201872,18.9726026887055,31.8617186306273,-130.07364546157,249.468560846496,-81.233857256145,15.2482269503546
"Abudefduf_nigrimargo",-170.784413411141,-129.599956882828,-42.6965631888795,19.7554652970199,114.619133679851,37.357926483424,-6.82535304136421,63.4420561356562,22.3488342256067,-90.9035609551125,27.5590542804645,19.1056749894677,17.9425183787985,31.699066334997,-121.754695648402,246.760408270538,-80.3469589631275,-2.26002728595581
"Abudefduf_notatus",-170.678170759257,-129.781311152139,-42.5999026504189,20.0144964067159,111.10308310987,38.4251886654842,-1.14317745021727,73.5868156397551,28.7445610003589,-39.6469708689705,32.2580680428841,22.724048510118,20.1757935512033,39.0500459428806,-130.342150601856,277.110181585227,-93.2263013844336,-7.57575757575758
"Abudefduf_saxatilis",-229.794565692798,-218.74831277233,-1.50858692500853,15.2682929964803,138.232877492948,3.90872893319884,-31.3727849976844,23.5286577236153,-61.3272872483763,-407.270063890469,-18.6335393185923,-12.6125662900683,-21.6482499452554,29.3864201167437,-48.8897593075342,183.684916567048,-22.2172945067103,-3.80227174944598
