"","habitatbenthopelagic","habitatdemersal","habitatpelagic","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Abudefduf_abdominalis",0.00957939844511833,0.0173124482762076,0.119678729909432,2.29076402965588,0.0383063899634671,0.0140022359384994,0.0221817152035762,0.0394840895101168,0.0554301452373143,0.0270269800621238,0,0.0258357793648352,0.17179811549348,0,0,0,0,0
"Abudefduf_bengalensis",0.00939371413965489,0.0172334112240914,0.119722629753679,2.31570373159822,0.0394761661855076,0.0142694162346698,0.0219520855483424,0.0445408919845397,0.0592792210523767,0.0281178265715943,0,0.0270725414670459,0.172815476608743,0,0,0,0,0
"Abudefduf_concolor",0.0103509520646349,0.0177605182605262,0.119577380895498,2.34026395220864,0.0405581774615919,0.0143764223682822,0.0232616983846935,0.04327572684651,0.04034963232583,0.0317455214494318,0,0.0210594630179701,0.17463346359021,0,0,0,0,0
"Abudefduf_conformis",0.0102104225817557,0.0176670681530232,0.119589333217562,2.31210138553703,0.0406581454744463,0.0143588978161963,0.0207473426861878,0.0406504212463117,0.0424053004880745,0.0264659522273239,0,0.0223842704696917,0.173148220365791,0.00045635408342288,0.000255205411946523,0.00018639618082135,0.000171606112911426,0
"Abudefduf_declivifrons",0.0102662741265243,0.0177036767498748,0.119584830214487,2.34567717941268,0.0403283940926603,0.0145283340264594,0.0252069728213648,0.0490691358010142,0.044039603031026,0.0349054381659506,0,0.0219807894818235,0.173902450353396,0,0,0,0,0
"Abudefduf_hoefleri",0.0102647893976942,0.0177022430495054,0.11958454821792,2.31198300720111,0.0403538328769013,0.0143302140271439,0.0208997343106297,0.0403518828324688,0.0419315466123565,0.0269240449318148,0,0.0222327897267802,0.173399012692278,0.000476824526760167,0.000271912691557346,0.000170886948252841,0.000159648010285236,0.00646410303277082
"Abudefduf_lorenzi",0.010363856633444,0.0177673891658823,0.119576622517654,2.30966185582132,0.0418147873594865,0.0145408987254542,0.0214552257816766,0.0404316401530221,0.0474300499196282,0.0257007313049295,0,0.0237848727975086,0.173304378550552,0,0,0,0,0
"Abudefduf_margariteus",0.0103449396004844,0.0177561251911692,0.119575595013578,2.2881417086995,0.0419188620072667,0.0140671477499863,0.0259868676655837,0.0387646112262154,0.0451006898509574,0.0297038563813144,0,0.0226249260925969,0.172055773209019,0,0,0,0,0.0146733312202733
"Abudefduf_natalensis",0.0101774539197482,0.0176453203424393,0.119592092701867,2.31136659102908,0.0381057977703704,0.0141544973967637,0.0221624960076893,0.0406990770507123,0.0432667684520951,0.0299608885784267,0,0.022621379543544,0.173188462667801,0.000468768248533404,0.000397484653952939,0.000294924960125592,0.000263914655910836,0
"Abudefduf_nigrimargo",0.0101618152412025,0.0176360783482484,0.119594047541965,2.31198814551718,0.0401794004763303,0.0142887498647303,0.0208543516645405,0.0404244433094986,0.0423934189579238,0.0269469887868162,0,0.0223743442496702,0.173220062907626,0.000304436676920534,0.000198003716632919,0.000117131491578413,0.000133181400097249,0.0057309337345306
"Abudefduf_notatus",0.0102207274333648,0.0176712346189308,0.119589107537952,2.31276741441139,0.0411590401458614,0.0146113242649998,0.0225689535017422,0.0431427177415447,0.0636961972720633,0.0272423582604749,0,0.0283983384556176,0.174200123772202,0,0,0,0,0
"Abudefduf_saxatilis",0.00839173489995755,0.0173382107893197,0.120319839212321,2.33339927220154,0.0364508874560501,0.013803484242826,0.0244193356507446,0.0486059347335438,0.070076162273381,0.0333852217140746,0,0.0299642260841692,0.171828494816176,0,0,0,0,0
"Abudefduf_septemfasciatus",0.00954053072335908,0.017297077979137,0.119687848214705,2.35152733117711,0.0402861696250631,0.0141873477132646,0.0241176765341365,0.0457496803906188,0.0451283948147447,0.0332231050917852,0,0.0221289681379492,0.173473006225744,0,0,0,0,0
"Abudefduf_sexfasciatus",0.0103445665943184,0.0177555040552519,0.119577077141175,2.29450657347162,0.0416752115519808,0.0143202594556754,0.0218123766196032,0.038699281933183,0.042569633992004,0.0253832734321707,0,0.0223866316787731,0.172586787096125,0,0,0,0,0
"Abudefduf_sordidus",0.00981570101001348,0.0174326080156504,0.119639002714882,2.350042082224,0.0400856352627579,0.0144737280075991,0.0249502402750717,0.0476115563860268,0.0483013583051699,0.0338386734420041,0,0.023510328324065,0.173908741096347,0,0,0,0,0
"Abudefduf_sparoides",0.00955221444272023,0.0173024096028061,0.119683792891137,2.30018536180566,0.0391848582973936,0.0138459607650582,0.0206655321267977,0.0385696628069616,0.04311335390005,0.0268281150980649,0,0.0222869117122312,0.171906863068936,0,0,0,0,0
"Abudefduf_taurus",0.0119429642220563,0.0190425154621687,0.119585359776224,2.34333610050978,0.0428419215810799,0.0150062558634382,0.0249410845580612,0.0447558827273948,0.0491332030283136,0.0336474108313388,0,0.0222578445196198,0.178789909143222,0,0,0,0,0
"Abudefduf_troschelii",0.00972490583867549,0.0173828966347284,0.119652350000997,2.28650871304649,0.0386711393500019,0.0141980466756346,0.0218625608861714,0.0428312625394666,0.0655287225960652,0.0265714871637911,0,0.0288306913574166,0.17266257544446,0,0,0,0,0
"Abudefduf_vaigiensis",0.0177763601464197,0.0391534733913637,0.11480121530371,2.40471113029321,0.0529827749138865,0.0163022603894223,0.0410943139228948,0,0,0.0492258659042967,0,0,0.197573232081986,0,0,0,0,0
"Abudefduf_whitleyi",0.0104730131847815,0.0178421349273721,0.119569457251985,2.31114629615391,0.039720236066605,0.0143971574113381,0.0215058707765943,0.0405612378844675,0.0457181997611247,0.0275712210163455,0,0.023222279556391,0.173730749012985,0,0,0,0,0
