"","habitatbenthopelagic","habitatdemersal","habitatpelagic","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Abudefduf_abdominalis",-72852.7652952352,45242.9816053102,83739.8367271909,70125.5048741458,3405.3925647626,-1943.5394739558,-1716.11541779881,-11905.3314597042,39418.6979204204,8873.33109431422,6560.06208442692,15760.2088606578,53258.2309018091,-17425.5449495883,-7423.37019463048,-1908.8180862729,1458.98548914282,-21831.7000000001
"Abudefduf_bengalensis",-72846.4629521585,64766.0856562358,52149.7017976802,70324.3190105427,2715.69727117168,-2135.32597705621,214.316367256978,-14536.8965854041,49011.8115141282,6475.15175931692,10202.92,18856.9808645553,59003.9209665195,-22774.7802589015,-5085.16974575634,-2651.81102680672,684.05417425691,-29113.7
"Abudefduf_concolor",-42141.4861786672,40095.5928577082,27553.8624720095,75034.8934777864,10198.1979042982,-5179.92772804993,-2516.9740494505,-10033.2618977559,28994.9583220176,5565.80517304517,24045.16,13424.7842488012,37821.92101628,-9393.0532543757,18154.1223636212,-3885.00661173311,5706.33441709131,27348.3
"Abudefduf_conformis",-42145.0899071118,40086.3111806345,27568.7649204181,73300.7510850218,9765.51825555435,-5235.24651662602,-1582.84317944927,-11078.6409305176,28005.2044661805,4405.11940356038,22588.1001737119,13136.5284105901,37228.6535237308,-8798.71818706944,16696.4421476554,-4481.42712618457,7017.9072334003,-14543.2
"Abudefduf_declivifrons",-42134.6899110624,40112.3655058973,27523.5201752038,78980.211315912,9531.43120549035,-5336.59815779208,-772.881889847399,-12311.2218620695,35248.896235064,3398.73706747674,27141.5693052292,15447.8486361176,41566.8624712266,-8409.92040608692,19103.0471781505,-5140.78137870843,5750.92215953711,-5436.20000000001
"Abudefduf_hoefleri",-42132.5409436718,40117.7215658248,27514.0872882384,73111.0532777331,9830.97014858089,-5269.84579858442,-1540.60433173975,-11322.6880463075,33195.485368993,4352.57774035669,27870.1394789219,14631.3017308214,40336.5343047034,-8887.27389697537,17063.6951302265,-4445.6804056372,7048.55896387485,19447.6036759337
"Abudefduf_lorenzi",-42129.5473633858,40125.3916123362,27501.5891811734,72496.8862053017,8954.54840085313,-5440.39871940677,600.608719041752,-13985.101027092,37574.3387692918,1692.25000858062,29145.0838214493,16052.4908076554,42959.2680829064,-9914.2754795379,16857.7004999484,-4488.42708561172,7602.91819787408,-34349.0483383427
"Abudefduf_margariteus",-59945.6368668283,60042.5324685535,27668.1651137765,63860.1021102639,10690.3195780823,-4936.31608669885,-4350.04920196615,-7156.89563385126,10427.2577583986,7843.34900271661,12206.1019107245,7537.87054818677,26701.8376115269,-8228.50565218132,10300.69163977,-4282.88321932013,8132.31381943027,-12445.0125335663
"Abudefduf_natalensis",-42136.3566414125,40108.021972866,27530.2555339711,73035.2356483004,10789.9627558615,-5081.58605500144,-3890.29030697525,-8395.5733106303,28181.0173041708,7271.66590864299,26230.92,13003.89066439,37314.3814170053,-8809.32293793977,16898.7269535797,-4440.07483720212,7045.64756216223,78344.1
"Abudefduf_nigrimargo",-42153.2402484508,40065.8783201192,27604.185782685,73374.9620349255,10085.8493504347,-5146.68260126734,-2477.42713271923,-9860.34124068094,23344.4857284133,5516.58524911325,19127.4591314792,11726.1956752853,34437.5440762346,-8722.05184043274,16436.9606688154,-4498.67639687616,7000.28374359143,-11004.5830250423
"Abudefduf_notatus",-42142.8513615672,40091.9133559223,27559.0129669485,74320.8506996052,9315.56798411416,-5336.23237078091,-426.270799989477,-12571.0304504636,31619.7737378983,2968.12347322036,23680.9338214493,14329.6317820136,39393.568224955,-10779.8543384317,17201.780810544,-4998.64686749779,8103.77565967226,-36399.6
"Abudefduf_saxatilis",-46606.6693197679,48619.0439901757,1369.41792726211,52956.0850883016,10011.5819446017,-368.643050536119,-10265.1826519845,-3514.63371735843,-39660.5205696545,13477.624450493,-10924.5794788933,-6326.00128262086,-30489.9041095404,-8043.8389415338,10273.6335120859,-6722.40288075159,2799.5065906944,-18186.65560837
