"","Min_sd","Max_sd","Mean_sd","Median_sd"
"habitatbenthopelagic",5.73607536320541e-05,0.783823854991401,0.00628683333434597,0.00171023458717555
"habitatdemersal",0.000193677427164942,1.55521862466794,0.0162036357362652,0.00280023554581221
"habitatpelagic",0.000580282416798376,2.32979095548023,0.0254688048181882,0.00772001827350955
"c_m",0.00351509902135842,25.0065070199728,3.7515991839233,2.37945285923158
"tm",0,0.506813949001652,0.020116581395311,0.0151168111796673
"Lm",0,0.0725635522470166,0.00239301317743897,0.00185379646562841
"tmax",0,1.11928165439423,0.0287380600305885,0.0232080933990892
"K",0,1.29256934799408,0.0212001856322251,0.0162044290510032
"Woo",0,0.567689994706422,0.0132859199322881,0.0100385837690754
"M",0,1.39175332253095,0.0365658356145488,0.029026551273262
"TLDiet",0,0,0,0
"Loo",0,0.116061674627966,0.00396632477478311,0.0025289812207382
"fecundity",0,0.191493857693878,0.00718446946207673,0.00519080529349273
"Min_caudalpeduncle_depth",0,0.183371685083428,0.00406926667606082,0.000176246179864462
"Lower_jaw_length",0,0.202834022322733,0.00448160870311134,0.000203273409217798
"Max_body_depth",0,0.187513341287826,0.00419802187242268,0.000178710950224258
"Max_body_width",0,0.0973374530466798,0.00220593069999208,0.000115264447201939
"Temperature",0,1.560296773123,0.00214441780190637,0
"Standardised path coefficients",6.60131122041723e-10,1.18588664357603,0.0509989476148829,0.00448995398894582
"Not standardised path coefficients",6.60131122041723e-10,1.71432705096181,0.129988851659264,0.00141809640848404
