"","Q10","Q25","Median","Q75","Q90"
"habitatbenthopelagic",0.0271567660911992,0.0513955199971886,0.12823711922623,0.416749384920047,1.38266067552824
"habitatdemersal",0.0514642559469952,0.0917153214155846,0.219345025769994,0.781660107900588,3.03763443402201
"habitatpelagic",0.0633840464911891,0.101448919290158,0.223915612405649,0.582483732173113,1.83717524464023
"c_m",7.66359358026876,9.07135495957117,11.5007839092231,16.7587696937182,45.9426520463917
"tm",0.877446834899179,1.88921475745764,4.06346729237392,9.09602154503302,20.7557462916402
"Lm",0.141161048717572,0.223431726607519,0.341509770609015,0.546298491467078,0.857299742955675
"tmax",0.292956611750324,0.646635926067803,1.24539212870253,2.29881831077247,4.15101403956226
"K",0,0.786388145009992,1.97235807187333,4.68870682684132,12.9374390385282
"Woo",0.0213810854897127,0.0886544022355733,0.202547944204954,0.405324704837936,0.825606581929634
"M",0.980260851153976,2.15603048797586,4.51426710554825,9.95510318597321,25.0981742349277
"TLDiet",0,0,0,0,0
"Loo",0.0144687638060624,0.0330271773337388,0.0784434467668562,0.155659413807154,0.286984450675867
"fecundity",0.00772199111077694,0.0263226528672723,0.0618535838751879,0.120259738393873,0.21471117737592
"Min_caudalpeduncle_depth",0,0.00240290412695042,0.0114291073417726,0.0356575047107585,0.286858078515792
"Lower_jaw_length",0,0.00470004810178627,0.0210414906771883,0.0689197288985926,0.575266057233787
"Max_body_depth",0,0.00962465987528082,0.0561822038930834,0.234657512746002,1.80905885811552
"Max_body_width",0,0.00324542079033052,0.0146569096112034,0.0464767724762734,0.331430923832033
"Temperature",0,0,0,0.000971438556498411,0.00587917783056637
"Standardised path coefficients",0.0831092951275938,0.327090474134481,3.7373955474743,10.4504991107274,72.5507206125989
"Not standardised path coefficients",0.0566915876545448,0.206304467373232,1.8300847423868,10.4272081831444,68.8546553642969
