"","Q10","Q25","Median","Q75","Q90"
"habitatbenthopelagic",0.000606999833906691,0.000925971383559752,0.00171023458717555,0.00414502179530676,0.0126284302623249
"habitatdemersal",0.00119642884781493,0.00168186486493746,0.00280023554581221,0.00804832967813608,0.0305799959531153
"habitatpelagic",0.00246631765140217,0.00366771734921969,0.00772001827350955,0.0176554754685186,0.0452498360169105
"c_m",1.6999193794678,1.96833584912325,2.37945285923158,3.44263786429725,12.0884939286294
"tm",0.00454342728458153,0.00851109752285174,0.0151168111796673,0.0253465064811413,0.0399334911055214
"Lm",0.000798433687769794,0.00124840241565851,0.00185379646562841,0.00291221330879924,0.00460100770605347
"tmax",0.00633631915446129,0.012821626208295,0.0232080933990892,0.0383355176587851,0.0542460010643547
"K",0,0.00794423929005282,0.0162044290510032,0.0298567103234696,0.0424605085079219
"Woo",0.0011594960418224,0.00479805426838965,0.0100385837690754,0.0171452318551326,0.0290252372703431
"M",0.0092404296709578,0.016749672775507,0.029026551273262,0.0489997648265509,0.0677936440350155
"TLDiet",0,0,0,0,0
"Loo",0.000481648802424387,0.00107373844444453,0.0025289812207382,0.00479468161201235,0.00877814306239067
"fecundity",0.000726350212368642,0.00235189483388394,0.00519080529349273,0.00939385090645789,0.0158491836084217
"Min_caudalpeduncle_depth",0,4.22900691468569e-05,0.000176246179864462,0.000535359931306417,0.0045655918199826
"Lower_jaw_length",0,4.61501424260758e-05,0.000203273409217798,0.000556748230772508,0.00488585679058608
"Max_body_depth",0,4.32945402064072e-05,0.000178710950224258,0.00049792697599137,0.00413441688726336
"Max_body_width",0,2.70668345645373e-05,0.000115264447201939,0.00033277617949396,0.00262559508283321
"Temperature",0,0,0,0.000175379468497601,0.000786577429454831
"Standardised path coefficients",3.32838120349039e-05,0.000619499194230707,0.00448995398894582,0.0455306635962882,0.0455306635962882
"Not standardised path coefficients",1.63057702020364e-05,0.000355111834689574,0.00141809640848404,0.0117460982532077,0.0117460982532077
