"","genus","species","jack_001_Anoplogaster_c_m","jack_002_Arnoglossus_c_m","jack_003_Brevoortia_c_m","jack_004_Buglossidium_c_m","jack_005_Callionymus_c_m","jack_006_Carcharhinus_c_m","jack_007_Chaenocephalus_c_m","jack_008_Channa_c_m","jack_009_Chelon_c_m","jack_010_Chiloscyllium_c_m","jack_011_Chromis_c_m","jack_012_Engraulis_c_m","jack_013_Gadus_c_m","jack_014_Gasterosteus_c_m","jack_015_Gillichthys_c_m","jack_016_Glossogobius_c_m","jack_017_Hippocampus_c_m","jack_018_Hippoglossoides_c_m","jack_019_Limanda_c_m","jack_020_Lipophrys_c_m","jack_021_Lutjanus_c_m","jack_022_Mugil_c_m","jack_023_Notothenia_c_m","jack_024_Ophiodon_c_m","jack_025_Pleuronectes_c_m","jack_026_Pomadasys_c_m","jack_027_Pseudopleuronectes_c_m","jack_028_Scomber_c_m","jack_029_Scophthalmus_c_m","jack_030_Scyliorhinus_c_m","jack_031_Sebastolobus_c_m","jack_032_Solea_c_m","jack_033_Squalus_c_m","jack_034_Thunnus_c_m","jack_035_Torpedo_c_m","jack_036_Trematomus_c_m","jack_037_Zoarces_c_m","jack_038_Chanos_c_m","jack_039_Dorosoma_c_m","jack_040_Eleginus_c_m","jack_041_Gilchristella_c_m","jack_042_Oncorhynchus_c_m","jack_043_Salmo_c_m","full_params...trai."
"Abudefduf_abdominalis","Abudefduf","Abudefduf_abdominalis",16.4589118311792,16.495807734463,16.6424520177844,16.5351376904112,16.3041549889684,16.4387365678775,16.5168668792697,16.7781081654931,16.5454756418471,16.5194354912459,18.7553469042116,16.6049100695523,16.6304315773503,16.3970687291007,16.6426641738779,16.9943267801198,16.5215394209946,16.4987399501392,16.5212595159679,16.4433294603732,16.6317065292521,16.5879447289113,16.5734311071708,16.5210853510954,16.548249552258,16.3151887424508,16.4710915460216,16.50147647533,16.4867419142317,16.4634758384753,16.5102138031602,16.4947209884518,16.5243294749405,16.5317912434783,16.5060130718037,16.4980970078178,16.6613180465357,16.4359972766444,16.5751639656364,16.527553163091,16.5283303353634,16.504253941152,16.4129279109907,20.427019636288
"Abudefduf_bengalensis","Abudefduf","Abudefduf_bengalensis",16.1226460987954,16.0972976022748,16.3109376213558,16.1945881907385,15.8633457715793,16.0849197094092,16.1152545149852,16.4417480529308,16.2012814839653,16.1743322828749,18.3737304487472,16.4245107194177,16.2852075024979,16.0322485867647,16.372912394407,16.6848097258679,16.1734085383402,16.1039337119857,16.1768419449208,16.0925449119174,16.2680957109384,16.2574590567315,16.2413487555572,16.170990914007,16.2128517822574,15.934393729709,16.0747788277195,16.1717316960659,16.1450998233637,16.1309979857499,16.1733906152589,16.1450727983574,16.1847139590128,16.1946357103797,16.154444522585,16.1563154804734,16.3527710724789,16.0810957706371,16.2423436171917,16.185919550092,16.1770349640243,16.1577414040892,16.0395658534433,20.0922733057236
"Abudefduf_concolor","Abudefduf","Abudefduf_concolor",16.1577065371457,16.1036992040218,16.3344495228047,16.2256211293216,15.8451346523531,16.1151216786017,16.1396869965351,16.4749337271348,16.2339397047753,16.2053479638323,18.4004142183708,16.4528990867541,16.3166908886874,16.0748351919319,16.3524010616663,16.7773935970545,16.1633722691258,16.1125813843397,16.2086687294978,16.106344022564,16.3018034308009,16.2979235593337,16.2869742169892,16.2051209787698,16.2372317210836,15.9608085590116,16.0807098989703,16.2018481160326,16.1879848695569,16.1637659261424,16.1856191304157,16.1815572590188,16.2165548568406,16.2277186729779,16.1846497102863,16.1880126902514,16.4021137089067,16.1100808776932,16.267633533953,16.2160987109524,16.2089001522032,16.1933129499054,16.06526142688,20.3789656211109
"Abudefduf_conformis","Abudefduf","Abudefduf_conformis",16.2488042881754,16.232637596403,16.4309559549929,16.3209305827793,16.00218702137,16.2158182151445,16.259352671602,16.5675724973959,16.3292895682303,16.3020925195996,18.5113227318995,16.4969076585772,16.4137991099386,16.1713436657822,16.4548579554232,16.8236279343417,16.2874002410131,16.2397840540185,16.3047247538855,16.2154703393998,16.4020056493192,16.3840612299936,16.3705094799784,16.3017666143285,16.3350919461451,16.0724927365745,16.2113978685104,16.294406152051,16.2765519131883,16.2563384841055,16.2907234648737,16.2766920436716,16.3108211503821,16.3209812615706,16.2839752208451,16.2834453465712,16.4740524561036,16.2116369897078,16.3636841483291,16.3122480677674,16.306969848908,16.2881114137079,16.174590480241,20.3825042050994
"Abudefduf_declivifrons","Abudefduf","Abudefduf_declivifrons",15.9321180750008,15.8624846319831,16.1373045864429,16.0092323182854,15.5835823687846,15.8851710749306,15.9080104863042,16.2642408580561,16.0127882742262,15.985860630111,18.1525855751018,16.3185196179784,16.1055145798454,15.8454471404926,16.1941743000338,16.5495778279688,15.9291790177271,15.8849593431077,15.9902030136832,15.8955676789523,16.0723413157996,16.0779551079353,16.069118885326,15.9819794646639,16.0265009082595,15.7218420068944,15.8570215765493,15.9933903137523,15.9627285040711,15.9499618007906,15.970201117377,15.9592571520037,15.9995182881326,16.0141229161415,15.9604593374997,15.9694953109358,16.199431864399,15.8918693173709,16.0553747813753,16.0009353597633,15.9832306615314,15.9700334300211,15.8288827129667,20.3764083079519
"Abudefduf_hoefleri","Abudefduf","Abudefduf_hoefleri",16.2505265358179,16.2344596152353,16.4321932468151,16.3224982705216,16.0042344829279,16.2176554560599,16.260793958793,16.569023076389,16.3308887376605,16.3036763519288,18.5131863835809,16.498125255786,16.4152625460529,16.1728793343867,16.4562121284026,16.8248223928704,16.2899232813111,16.2414223117373,16.3062870753546,16.2170060926883,16.4034630475547,16.3856855349643,16.3720093328486,16.3033785566319,16.3366890508503,16.0743037094715,16.2131593045851,16.2959462497509,16.2781860504845,16.2580585442208,16.2924559969971,16.2782628328507,16.3123662502406,16.3225353293072,16.2856091988154,16.2850616163157,16.4751867596654,16.2131697211793,16.3652721012537,16.3137811790676,16.3086012475099,16.2897780131202,16.1763593688357,20.3737051951702
"Abudefduf_lorenzi","Abudefduf","Abudefduf_lorenzi",16.2869200607333,16.2849644228281,16.4654566111722,16.3575902790818,16.0636391454015,16.2567673389511,16.3003188804327,16.6020689157612,16.3670610354344,16.3394421041031,18.5574870962309,16.5090781610913,16.4446136255776,16.208635765642,16.4826254904987,16.8496241671567,16.3211563199379,16.2859056213143,16.3417584216175,16.2545866466188,16.442946442252,16.4203310731188,16.4053079974347,16.3401683415567,16.3719333829698,16.1152974057747,16.2528447747178,16.3291941432911,16.3114291828049,16.2931218823421,16.3297119246511,16.3129236822427,16.3474272835212,16.3543057559395,16.3225995685867,16.3207190283187,16.5156718770251,16.2480990566086,16.4017809861729,16.348729527681,16.3467240211604,16.326312381258,16.2163939802764,20.3760523904983
"Abudefduf_margariteus","Abudefduf","Abudefduf_margariteus",16.6682649071455,16.736624859325,16.8526855737253,16.7497213513035,16.5619928156586,16.6591291144257,16.7726335053502,16.9922103089207,16.7617227732733,16.7365407667299,18.9894223207404,16.7208114848868,16.8527101796344,16.6311460653204,16.8022370805481,17.2026904703837,16.7276958209831,16.7436464391206,16.7384573964548,16.6612320286961,16.8595560581551,16.7965574795001,16.7859395901108,16.7419473424327,16.7582536229685,16.5527603183185,16.7202824733316,16.7100790611882,16.7043655427301,16.6736698786718,16.7151948232059,16.7169904848253,16.7380341759744,16.7464930028551,16.7263414173528,16.713225012635,16.8560405052023,16.6611837685057,16.7822082310594,16.7430594936422,16.7480306308258,16.7229678194025,16.6451123764631,20.2996860395594
"Abudefduf_natalensis","Abudefduf","Abudefduf_natalensis",16.2560892677493,16.2408934158388,16.4380954236286,16.3283064387614,16.0113666283543,16.2232857938052,16.2680870408071,16.5748898505992,16.3367289633873,16.3095685324234,18.5194386378793,16.5013922444386,16.4215987704777,16.1792536920792,16.461200283487,16.8304510008575,16.2960079421909,16.2481529591626,16.3121799773564,16.2230500633921,16.4097341707772,16.3911641056227,16.3776505703834,16.3092907851696,16.3423507711862,16.0807532974353,16.2201299334332,16.3015728190577,16.2840451768452,16.2634007044118,16.2980965525581,16.2842972829166,16.318175338603,16.3284509837572,16.2915882745562,16.2908146177032,16.4799346435545,16.2193951929474,16.3708148805319,16.3196538714264,16.3144999177367,16.2955556221252,16.1827083165417,20.3754707602837
"Abudefduf_nigrimargo","Abudefduf","Abudefduf_nigrimargo",16.2493225749381,16.2333223918364,16.4318025331881,16.3215876095432,16.0029325815056,16.2162954179996,16.2604425959168,16.5683029600851,16.3299387556653,16.3027623476612,18.511941781607,16.4971086417362,16.4146400610541,16.1721575602034,16.4554182756312,16.8244277214918,16.2876456311057,16.240635078817,16.3054055721127,16.2162020800022,16.4028335491644,16.3846077952814,16.3711591754715,16.3024273014415,16.3356977354541,16.0731872013388,16.2122465380289,16.2950318826853,16.2771882146813,16.2568029061137,16.2912561338715,16.2774038228957,16.3114897865137,16.3216718577442,16.2846414919783,16.2840641956607,16.474663653484,16.2124153642789,16.3642650063877,16.3129385462315,16.307617370903,16.2887111789752,16.1752809017223,20.3872408415293
