"","sd_sp_NotStd","PC_original","relative_standard_erro"
"habitatbenthopelagic->c_m",0.0934391867037874,-0.0686244448397282,136.160207812266
"habitatdemersal->c_m",0.13962627027371,-0.14992820982747,93.1287517101582
"habitatpelagic->c_m",0.0862664058259467,0.134850964896771,63.9716637489277
"Temperature->K",0.00116862633349715,0.0279073812619317,4.18751699605463
"Temperature->M",0.00141809640848404,0.0299488252986775,4.73506521321443
"Temperature->Loo",6.13258815336096e-05,-0.0173911363072487,0.352627226020009
"Loo->K",0.00533206091154436,-0.790563285424531,0.674463513528971
"Loo->M",0.00864081201596698,-0.7088654666406,1.21896360065568
"Loo->Max_body_width",0.000522241522303823,-0.00500845013479283,10.4272081831444
"Loo->Max_body_depth",0.000757074997649081,-0.0131253397271532,5.76804115845376
"Loo->Lower_jaw_length",0.00103184352175927,0.0494289911884392,2.08752696939647
"Loo->Min_caudalpeduncle_depth",0.00079599211885635,-0.043494822967499,1.8300847423868
"Loo->Woo",0.00607205097670912,2.94324745073211,0.206304467373232
"Max_body_depth->c_m",1.71432705096181,-2.96040904666539,57.9084519719609
"Max_body_width->c_m",1.64011754781431,-1.51781236951841,108.057990615447
"Lower_jaw_length->c_m",0.754424440468995,0.907276433813606,83.1526547314671
"Min_caudalpeduncle_depth->c_m",0.581010904703516,-0.38447603470341,151.11758660113
"Max_body_depth->TLDiet",0.00240098934437484,0.041189316093958,5.82915564535687
"Max_body_width->TLDiet",0.00310469221794696,0.0355047985652241,8.74442988950771
"Lower_jaw_length->TLDiet",0.000758668543323216,0.0789662709640547,0.960750120350193
"Min_caudalpeduncle_depth->TLDiet",0.000565660339351892,-0.00492148475588843,11.4936928063242
"c_m->K",0.0264628724776707,0.0583791597132914,45.3293137613385
"c_m->M",0.0291534629705036,0.0618312116083245,47.1500755236351
"c_m->Woo",0.0232623737957987,-0.0356346788845797,65.2801555225043
"K->Lm",0.00499874740046775,0.163315334928056,3.06079487432691
"K->tm",1.56987617576913e-09,-0.432515181178447,3.62964410056494e-07
"M->tmax",0.000959957060249601,-0.804798290263745,0.119279212178123
"M->tm",1.56741650335623e-09,0.762354026611257,2.05602180698587e-07
"M->Lm",0.00520502750905544,-0.099398254719131,5.23653813013442
"Woo->TLDiet",7.5469405954804e-05,0.0332744376336485,0.226808960036296
"Woo->fecundity",0.000394469353359354,0.598790840306772,0.0658776532315123
"habitatbenthopelagic <->habitatbenthopelagic",0.00263691164707332,1.22220321692668,0.215750671455769
"habitatdemersal <->habitatdemersal",0.00448995398894582,1.37269481810094,0.327090474134481
"habitatpelagic <->habitatpelagic",0.0117460982532077,2.42366402997982,0.484642182576166
"c_m <->c_m",1.18588664357603,2.20240085962741,53.8451771117019
"tm <->tm",6.60131122041723e-10,0.10356000560091,6.37438283448606e-07
"Lm <->Lm",8.56762498403726e-05,0.023820431680028,0.359675471004193
"tmax <->tmax",6.46984231167079e-05,0.057873661777263,0.111792516889135
"K <->K",0.0116578451296692,0.140418679286962,8.30220394385355
"Woo <->Woo",0.00483893776495488,0.157499263001396,3.07235581471387
"M <->M",0.0139087736834555,0.152583987783797,9.11548707401954
"TLDiet <->TLDiet",6.76883984858307e-06,0.033933571197863,0.0199473253466743
"Loo <->Loo",0.000355111834689574,0.137744247079584,0.257805202190697
"fecundity <->fecundity",0.000902191353476612,1.08208545298072,0.0833752409286558
"Min_caudalpeduncle_depth <->Min_caudalpeduncle_depth",2.85861989417238e-05,0.0352276726929958,0.0811469982443873
"Lower_jaw_length <->Lower_jaw_length",3.44582153081989e-05,0.0251737766164362,0.136881389841605
"Max_body_depth <->Max_body_depth",1.86900027903998e-05,0.00827381592776559,0.225893384063321
"Max_body_width <->Max_body_width",5.60529160427947e-06,0.00683192958746657,0.0820455119233457
"Temperature <->Temperature",0.000432455195146177,14.2596678251951,0.00303271577183643
