"","habitatbenthopelagic","habitatdemersal","habitatpelagic","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Abudefduf_abdominalis",72845.8426801347,-45250.6301862568,-83670.1852524506,-70016.7182293272,-3412.32566448239,1940.57083870418,1709.38189301626,11920.459277503,-39419.7707926367,-8865.1645308363,-6556.68208431248,-15762.2344762995,-53170.1459240626,17423.5507132693,7421.46812876651,1908.86580762017,-1459.84161690855,21855.6000000001
"Abudefduf_bengalensis",72839.4884484843,-64772.6520057027,-52081.7050335332,-70221.0511369724,-2727.86663923756,2132.39714496864,-213.613297495469,14549.2376607096,-49008.1598203195,-6475.92606030389,-10199.28,-18857.4480408485,-58911.5893094839,22772.4789047364,5083.17651371402,2651.84246663764,-684.907880166968,29140.8
"Abudefduf_concolor",42136.4418744042,-40103.5572032213,-27487.5930163898,-74937.0052579342,-10209.7561276963,5176.79641058172,2516.69303266091,10047.4323030662,-29005.0437948048,-5565.48657096689,-24041.16,-13429.5015562547,-37735.7301769669,9391.540146071,-18154.8509849488,3884.90798482714,-5706.81164341405,-27319.5
"Abudefduf_conformis",42140.012668539,-40094.2711163515,-27502.4432996434,-73197.7282692922,-9777.09968076687,5232.16933649019,1582.47278845787,11093.152411939,-28010.9133981905,-4404.67906874555,-22584.1201736928,-13139.7942720771,-37140.4521960982,8796.89985325506,-16697.0265573238,4481.3159934044,-7018.3766492065,14570.4
"Abudefduf_declivifrons",42129.6269557687,-40120.3248790272,-27457.2236899326,-78876.4299418248,-9544.62464501681,5333.37409404384,775.556167690292,12322.8833920317,-35253.7593596912,-3402.05781867694,-27137.3693052292,-15450.6582153567,-41477.4043903806,8408.4022291417,-19103.7601530371,5140.68353738086,-5751.39845510351,5463.90000000001
"Abudefduf_hoefleri",42127.4770633373,-40125.6821792952,-27447.7880684647,-73008.2623986307,-9842.15177212176,5266.71138809248,1539.91113573531,11336.8094872111,-33200.8052250906,-4351.77281788358,-27865.8894789219,-14634.4276175164,-40248.1118583301,8885.43645332027,-17064.2645457601,4445.58916019743,-7049.02598051701,-19421.2965537118
"Abudefduf_lorenzi",42124.5059343908,-40133.3573991229,-27435.3233769691,-72393.1082093409,-8967.32381903516,5437.3012322406,-599.288021506987,13999.1134755618,-37576.4596473984,-1693.80189173032,-29140.8038212395,-16054.5073270005,-42868.2151236017,9912.75502539968,-16858.4069629627,4488.32947600743,-7603.39415456941,34375.9608974544
"Abudefduf_margariteus",59939.6131980393,-60049.4024001549,-27601.8857198171,-63748.3087534037,-10698.2534392812,4933.54724414054,4342.89945479905,7177.34226842041,-10440.811509557,-7834.58300979149,-12202.7119106196,-7543.7964792503,-26619.6324091439,8227.00401290431,-10301.4639418079,4282.78087661,-8132.79441969087,12474.4354690316
"Abudefduf_natalensis",42131.272250528,-40115.9792097137,-27463.9244489273,-72932.9537930887,-10797.6341653967,5078.20748401408,3885.82145307314,8408.440198586,-28186.0216739275,-7266.49022710732,-26226.72,-13006.9203731309,-37227.0518947925,8807.87216065244,-16899.4950268066,4440.13681497754,-7046.19355756274,-78315.9
"Abudefduf_nigrimargo",42148.1511352275,-40073.8372543361,-27537.8446938095,-73271.9419709824,-10096.8030189776,5143.565438834,2476.38847472073,9874.60375153232,-23350.1702909706,-5515.37580583078,-19123.6491315364,-11729.4585259477,-34349.6411762991,8720.33732314318,-16437.601146917,4498.59251561394,-7000.7745221424,11029.2955548253
