"","habitatbenthopelagic","habitatdemersal","habitatpelagic","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Abudefduf_abdominalis",1213.50279551292,-176.015328512249,-975.613373929887,18.8198109716694,305.537740165355,17.9482425253823,-4.30261304314839,56.626014578719,30.2226275711486,-147.91454866971,10.6508905991699,22.9796406791403,24.5428849991086,47.9709760299461,21.4231233164039,-219.624717058966,-9.36236719894729,-5.02092050209206
"Abudefduf_bengalensis",1215.5391643766,-1048.92070698194,-129.614967029085,19.1891952356314,204.005404648186,19.7054499162952,0.54198069504021,69.7146727952939,36.1880445414804,-115.611684669458,15.3846153846154,26.9508644098655,26.8227656563305,54.3307076402175,14.0021860269654,-463.111997135616,-4.40496424311996,-5.9040590405904
"Abudefduf_concolor",-170.654259723232,-129.802082850236,-42.4871676588188,20.1898321743649,112.936112272413,37.6189276542337,-7.01421005553599,66.4495851779109,27.0725264629266,-100.935471836947,33,21.6253994109898,19.5020762187599,34.0788802792218,-136.807315672053,216.273764744345,-65.658001674982,5.20833333333333
"Abudefduf_conformis",-170.675394247629,-129.761914679364,-42.5129029763392,19.7178053264838,112.903027217449,37.8396770582609,-4.30304620258264,68.4667920141307,25.9146660437194,-66.4668707769277,31.1557789847803,21.0421459871337,19.1381252394559,31.905892333432,-125.76686203308,248.256036064306,-80.7042511314078,-2.94117647058824
"Abudefduf_declivifrons",-170.568769148783,-129.944254104922,-42.4161341606311,21.2538750690608,112.621470581978,38.3805690703144,-2.07548465736918,72.1851358864077,31.2420478937184,-46.2094274875751,35.4761895679293,24.1954941077025,21.0640858525055,30.4095223808671,-147.117093617552,288.480887115937,-66.3002902919918,-1.08303249097473
"Abudefduf_hoefleri",-170.545046225743,-129.98444108094,-42.3953109264651,19.6752612217982,114.331839193213,37.945315266472,-4.15263501285681,67.6574981303491,29.3008139512632,-62.0930175729544,35.9999993268181,22.8770925675227,20.4106593050889,32.1242840542169,-131.99010490801,250.631153510973,-81.3163137954399,3.74155274740364
"Abudefduf_lorenzi",-170.525071523578,-130.02139466867,-42.3727543344834,19.5072337182878,109.893450418683,38.9320262506382,1.56985600991747,77.2961662923994,32.5532449815753,-20.2479689376991,37.3831806396102,24.826781469333,21.6002766815701,35.7964171961177,-131.02241979127,252.470529020254,-87.7119116756967,-7.01323452889948
"Abudefduf_margariteus",-870.197793066096,-548.405444566005,-42.7390628878001,17.2424056713692,114.962778874243,36.2383704576082,-12.4709888470084,53.4753019075255,11.019614871818,-186.453499302152,19.7640142823273,12.9106211872389,14.3057482334653,30.0811615714898,-73.2369548533435,229.766894220192,-92.9125340182196,-2.57488463974787
"Abudefduf_natalensis",-170.575339592931,-129.930317060505,-42.4264477551392,19.6532629004683,125.502082392476,36.6061896332248,-10.4852673739804,50.3658217107505,25.0803300709636,-104.104613791248,34.2857142857143,20.4185257016688,18.9336774799698,31.8619611125023,-130.074066676348,249.477533769362,-81.2346613834083,15.2482269503546
"Abudefduf_nigrimargo",-170.758304880466,-129.620209746606,-42.5884732290274,19.7332110630643,114.74911156223,37.3407873754666,-6.81700323953805,63.5393205536472,22.3597682599826,-90.8781420905368,27.5590542804645,19.1164833147761,17.9021961126005,31.6983246682548,-121.753949110888,246.761297715265,-80.3471009896523,-2.25959962066322
