"","habitatbenthopelagic","habitatdemersal","habitatpelagic","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Abudefduf_abdominalis",0.00439964042717685,0.0184309373471214,0.0199367403869024,2.28848826139858,0.0268157802600604,0.00402410170976232,0.0306220371494313,0.00814405082210297,0.0056307660782097,0.0376353558126319,0,0.00278971119321847,0.00550696190487644,0,0,0,0,0
"Abudefduf_bengalensis",0.00414668343852493,0.0182407230191279,0.020003383302947,2.30563945195155,0.0270753188522726,0.00383172002727921,0.0285575660561306,0.00844545506925695,0.00737524806901461,0.037244425979203,0,0.00347924430418786,0.00268554487813166,0,0,0,0,0
"Abudefduf_concolor",0.00545838292337176,0.0192443897084189,0.0200008837630052,2.32826225003342,0.0274045844830788,0.00387457023713654,0.0295347347868042,0.0131717846903549,0.012100537849072,0.0386773870516383,0,0.00223653873198013,0.00511733484089292,0,0,0,0,0
"Abudefduf_conformis",0.00526650447029291,0.0190935391445461,0.0199564058814412,2.30386933973723,0.0267261371625801,0.00390622240221355,0.0283199128879033,0.00521550976909464,0.00537740505832535,0.0363395285979236,0,0.00277018979358001,0.00177876180515162,1.38197925165789e-05,1.69768565127012e-05,2.06620192421456e-05,1.26082609588399e-05,0
"Abudefduf_declivifrons",0.0053426811642154,0.0191536282057753,0.0199729413545086,2.3317156791127,0.0282880374099325,0.00384715687945213,0.0309107416530655,0.0203505816612317,0.0173194521994905,0.0417466827206296,0,0.00298456410123283,0.00820778318096613,0,0,0,0,0
"Abudefduf_hoefleri",0.00534077846383599,0.0191516446171802,0.0199720416202468,2.30377900596275,0.0268348937688517,0.00390120888269857,0.0284811555759242,0.00573271360593806,0.0053437599119467,0.0365860512153751,0,0.00278764558804502,0.00174591066840435,1.75571104697371e-05,1.86084880071278e-05,2.25303469990085e-05,1.25413498177427e-05,0.0002744246297778
"Abudefduf_lorenzi",0.00547545379161255,0.0192576705476864,0.0200052460351087,2.30162137504881,0.0266018676805194,0.0039587750508756,0.028505662075435,0.003448444246449,0.0034881436518229,0.0361619430088798,0,0.0031771817364214,0.00200182655322367,0,0,0,0,0
"Abudefduf_margariteus",0.00545088303629613,0.0192377633516132,0.0199982608818944,2.29085377745729,0.0265478800917926,0.00432638175254137,0.0337246305772382,0.0178846219251219,0.010299946411182,0.0400939416184679,0,0.00206951197289464,0.00851486811460331,0,0,0,0,0.00243637330394476
"Abudefduf_natalensis",0.00522160132295732,0.0190583990355717,0.0199477002453756,2.30333581224188,0.0275506775029775,0.00386062142646042,0.0297690883404235,0.00923872605003218,0.00550995317939886,0.0383789658108886,0,0.00275597881398861,0.00160948767982432,5.52810611852265e-05,6.36327154542936e-05,4.70439595667035e-05,2.95722028742745e-05,0
"Abudefduf_nigrimargo",0.00520001134926721,0.0190417130051377,0.0199440285160743,2.30380399242818,0.0268294389783415,0.0038974044671632,0.0284925985791266,0.00579500078812872,0.00541548277418702,0.036588162584213,0,0.0027544026424325,0.00175423162700209,1.03485697775184e-05,1.24139400540612e-05,1.40749604410538e-05,6.9507301731345e-06,0.000175172089597543
