"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Acanthopagrus_butcheri",-1.31354544687633,-1.53255326310464,-1.31354544687633,0,0,"0"
"2","Acanthopagrus_latus",-1.31354544687633,-0.845715779204552,-1.31354544687633,0,0,"0"
"3","Acanthurus_dussumieri",-0.511993084469592,-1.21739582465808,-0.511993084469592,0,0,"0"
"4","Alopias_pelagicus",-2.22721979158293,-2.18520707761891,-2.22721979158293,0,0,"0"
"5","Ammodytes_marinus",-0.853670898016477,-0.615517381610699,-0.853670898016477,0,0,"0"
"6","Aphanopus_carbo",-1.43897090640245,-1.73676005100945,-1.43897090640245,0,0,"0"
"7","Aphanopus_intermedius",-1.43897090640245,-1.86706508134322,-1.43897090640245,0,0,"0"
"8","Aphia_minuta",0.0622424886195538,0.43439847208552,0.0622424886195538,0,0,"0"
"9","Argyrops_spinifer",-1.53907633990388,-1.90860794172466,-1.53907633990388,0,0,"0"
"10","Argyrosomus_japonicus",-1.46817713143866,-1.95369033637428,-1.46817713143866,0,0,"0"
"11","Argyrosomus_regius",-1.46817713143866,-2.06883795889564,-1.46817713143866,0,0,"0"
"12","Aspidophoroides_monopterygius",-1.26404062407901,-1.20954384937539,-1.26404062407901,0,0,"0"
"13","Bathysolea_profundicola",-1.16262782339298,-0.555125882662571,-1.16262782339298,0,0,"0"
"14","Bellator_gymnostethus",-1.02517521591527,-0.132389188045746,-1.02517521591527,0,0,"0"
"15","Bovichtus_diacanthus",-1.22564053855689,-0.713349887877465,-1.22564053855689,0,0,"0"
"16","Brama_brama",-1.32987470912346,-2.47693848013882,-1.32987470912346,0,0,"0"
"17","Branchiostegus_argentatus",-1.37607336607312,-1.16475209117265,-1.37607336607312,0,0,"0"
"18","Calotomus_spinidens",-0.789671862542709,-0.0253178079842899,-0.789671862542709,0,0,"0"
"19","Canthidermis_sufflamen",-0.95709594028805,-1.02165124753198,-0.95709594028805,0,0,"0"
"20","Capros_aper",-0.696471365642881,-1.30268877726509,-0.696471365642881,0,0,"0"
"21","Caranx_bucculentus",-1.25311791856447,-1.18744350237473,-1.25311791856447,0,0,"0"
"22","Caranx_crysos",-1.25311791856447,-0.861565832184909,-1.25311791856447,0,0,"0"
"23","Caranx_tille",-1.25311791856447,-1.23787435600162,-1.25311791856447,0,0,"0"
"24","Carcharhinus_dussumieri",-1.81793224514302,-1.19347256969207,-1.81793224514302,0,0,"0"
"25","Carcharhinus_limbatus",-1.81793224514302,-1.52828812549133,-1.81793224514302,0,0,"0"
"26","Carcharhinus_obscurus",-1.81793224514302,-3.11355102413386,-1.81793224514302,0,0,"0"
"27","Caulolatilus_affinis",-1.74479301211305,-2.01966433764398,-1.74479301211305,0,0,"0"
"28","Centroberyx_affinis",-2.22953738794567,-1.652171455021,-2.22953738794567,0,0,"0"
"29","Centropomus_undecimalis",-0.920913762336511,-0.976394655943861,-0.920913762336511,0,0,"0"
"30","Cephalopholis_argus",-1.21386589344216,-1.30933331998376,-1.21386589344216,0,0,"0"
"31","Cetorhinus_maximus",-2.13829212903956,-2.78062089393705,-2.13829212903956,0,0,"0"
"32","Chaetodon_fasciatus",0.085068615220672,-0.0382212128201977,0.085068615220672,0,0,"0"
"33","Chelidonichthys_lastoviza",-1.08189601524025,-0.908663078346971,-1.08189601524025,0,0,"0"
"34","Chelidonichthys_lucerna",-1.08189601524025,-1.11201976858046,-1.08189601524025,0,0,"0"
"35","Cherublemma_emmelas",-1.41264740188067,-0.510825623765991,-1.41264740188067,0,0,"0"
"36","Chionodraco_rastrospinosus",-1.92574865411137,-1.66073120682165,-1.92574865411137,0,0,"0"
"37","Chlorurus_spilurus",-0.719920837329413,-0.454322424532259,-0.719920837329413,0,0,"0"
"38","Chromis_viridis",-0.1930900638873,0.832909122935104,-0.1930900638873,0,0,"0"
"39","Clupea_harengus",-0.398141469779093,-1.0344868278282,-0.398141469779093,0,0,"0"
"40","Clupeonella_cultriventris",-0.47469273209133,-0.84614452573338,-0.47469273209133,0,0,"0"
"41","Coelorinchus_labiatus",-1.93896887452589,-0.988861424708991,-1.93896887452589,0,0,"0"
"42","Ctenosciaena_gracilicirrhus",-1.06780610738212,-1.10866262452161,-1.06780610738212,0,0,"0"
"43","Cynoglossus_semifasciatus",-0.976649791283854,0.62057648772511,-0.976649791283854,1,1,"Cynoglossus_semifasciatus"
"44","Cynoscion_acoupa",-1.22469352807865,-1.30933331998376,-1.22469352807865,0,0,"0"
"45","Cynoscion_analis",-1.22469352807865,-1.74296930505862,-1.22469352807865,0,0,"0"
"46","Dascyllus_aruanus",-0.127690931833054,1.06471073699243,-0.127690931833054,0,0,"0"
"47","Dascyllus_reticulatus",-0.127690931833054,-0.653926467406664,-0.127690931833054,0,0,"0"
"48","Dasyatis_chrysonota",-2.30703912504692,-2.09964424899736,-2.30703912504692,0,0,"0"
"49","Decapterus_punctatus",-0.194493938231133,0.853989705676776,-0.194493938231133,0,0,"0"
"50","Decapterus_tabl",-0.194493938231133,-0.0304592074847086,-0.194493938231133,0,0,"0"
