"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Acanthopagrus_butcheri",3.88064582433529,3.66724076729159,3.88064582433529,0,0,"0"
"2","Acanthopagrus_latus",3.88064582433529,3.52929738428947,3.88064582433529,0,0,"0"
"3","Alopias_pelagicus",5.95342314451019,5.88026558033963,5.95342314451019,1,1,"Alopias_pelagicus"
"4","Ammodytes_marinus",3.14829070271549,2.95001550665701,3.14829070271549,0,0,"0"
"5","Aphanopus_intermedius",4.2846311168251,5.02058562494942,4.2846311168251,0,0,"0"
"6","Aphia_minuta",2.30752088114818,1.97296929716932,2.30752088114818,0,0,"0"
"7","Argyrosomus_japonicus",4.39080681489438,5.01285505083457,4.39080681489438,0,0,"0"
"8","Argyrosomus_regius",4.39080681489438,5.09121630301352,4.39080681489438,0,0,"0"
"9","Aspidophoroides_monopterygius",3.06367437624946,2.7636951245141,3.06367437624946,0,0,"0"
"10","Bovichtus_diacanthus",3.5037377059423,3.03013370027132,3.5037377059423,0,0,"0"
"11","Brama_brama",3.99040149397444,4.25561270981822,3.99040149397444,0,0,"0"
"12","Branchiostegus_argentatus",3.93386424716084,3.67376581630389,3.93386424716084,0,0,"0"
"13","Calotomus_spinidens",3.46727897059815,3.10009228887823,3.46727897059815,0,0,"0"
"14","Capros_aper",3.16630399693378,2.59151638484626,3.16630399693378,0,0,"0"
"15","Carcharhinus_dussumieri",5.34165663924302,4.76870526569699,5.34165663924302,1,2,"Carcharhinus_dussumieri"
"16","Carcharhinus_limbatus",5.34165663924302,5.25201161367153,5.34165663924302,1,3,"Carcharhinus_limbatus"
"17","Carcharhinus_obscurus",5.34165663924302,6.04292970172672,5.34165663924302,0,0,"0"
"18","Centropomus_undecimalis",3.97632627615293,4.70048036579242,3.97632627615293,0,0,"0"
"19","Cetorhinus_maximus",5.29598147192149,6.90775527898214,5.29598147192149,1,4,"Cetorhinus_maximus"
"20","Chaetodon_fasciatus",2.50516705949201,2.75684036527164,2.50516705949201,0,0,"0"
"21","Chelidonichthys_lastoviza",3.6695913654101,3.49814258771863,3.6695913654101,0,0,"0"
"22","Cherublemma_emmelas",3.90351679189836,3.49650756146648,3.90351679189836,0,0,"0"
"23","Chionodraco_rastrospinosus",3.93039654081393,3.93182563272433,3.93039654081393,0,0,"0"
"24","Clupea_harengus",2.92005622546579,3.42472019117042,2.92005622546579,0,0,"0"
"25","Clupeonella_cultriventris",3.13375375227873,2.53897387105828,3.13375375227873,0,0,"0"
"26","Cynoscion_acoupa",4.08428001826656,4.66343909411207,4.08428001826656,0,0,"0"
"27","Cynoscion_analis",4.08428001826656,4.12390336446365,4.08428001826656,0,0,"0"
"28","Decapterus_punctatus",3.39175500100956,3.47506723022861,3.39175500100956,0,0,"0"
"29","Decapterus_tabl",3.39175500100956,3.48431228837266,3.39175500100956,0,0,"0"
"30","Dentex_angolensis",3.91978686954644,3.83729945923221,3.91978686954644,0,0,"0"
"31","Diplodus_annularis",3.69441228587533,3.05437846898672,3.69441228587533,0,0,"0"
"32","Dipturus_oxyrinchus",4.87718510673657,5.54517744447956,4.87718510673657,0,0,"0"
"33","Encrasicholina_purpurea",2.53587381722773,2.43361335540045,2.53587381722773,0,0,"0"
"34","Eopsetta_grigorjewi",4.04018879137729,3.89079936897652,4.04018879137729,0,0,"0"
"35","Epinephelus_bleekeri",4.17994560467263,4.22317743406507,4.17994560467263,0,0,"0"
"36","Epinephelus_polyphekadion",4.17994560467263,4.02356438016105,4.17994560467263,0,0,"0"
"37","Equulites_leuciscus",2.53203384729075,2.48768057667073,2.53203384729075,0,0,"0"
"38","Equulites_lineolatus",2.53203384729075,2.40048930797542,2.53203384729075,0,0,"0"
"39","Erythrocles_schlegelii",3.48264094332904,3.42751468997953,3.48264094332904,0,0,"0"
"40","Eubleekeria_splendens",2.54999744140283,2.71524646797281,2.54999744140283,0,0,"0"
"41","Eviota_queenslandica",1.23289079813019,1.09192330051731,1.23289079813019,1,5,"Eviota_queenslandica"
"42","Favonigobius_lentiginosus",1.97510528758366,1.70474809223843,1.97510528758366,0,0,"0"
"43","Glossogobius_giuris",3.61872662363977,3.17708113521115,3.61872662363977,0,0,"0"
"44","Gobius_niger",2.62789600349575,2.7684133508293,2.62789600349575,0,0,"0"
"45","Gymnocanthus_detrisus",3.52376898973959,3.73289633953071,3.52376898973959,0,0,"0"
"46","Hipposcarus_longiceps",3.79971041056561,3.78191432008113,3.79971041056561,0,0,"0"
"47","Hoplostethus_mediterraneus",3.7324841798913,3.34286180464919,3.7324841798913,0,0,"0"
"48","Hyporthodus_cifuentesi",4.68206838325134,4.79579054559674,4.68206838325134,0,0,"0"
"49","Jaydia_lineata",2.72416576149695,2.32197914010068,2.72416576149695,0,0,"0"
"50","Johnius_macrorhynus",3.25525989001797,3.54385368206368,3.25525989001797,0,0,"0"
"51","Karalepis_stewarti",2.59644005101051,2.86789890204411,2.59644005101051,0,0,"0"
"52","Labrus_bergylta",3.5616805916886,3.95954252139612,3.5616805916886,0,0,"0"
"53","Labrus_merula",3.5616805916886,3.63142687936585,3.5616805916886,0,0,"0"
"54","Leiognathus_brevirostris",2.64736129033397,2.62466859216316,2.64736129033397,0,0,"0"
"55","Lepidopus_caudatus",4.16438841435224,5.2091880408496,4.16438841435224,0,0,"0"
"56","Lepidotrigla_cavillone",3.55960029301266,2.77008559202166,3.55960029301266,0,0,"0"
"57","Leptomelanosoma_indicum",3.59725772877577,5.01063529409626,3.59725772877577,1,6,"Leptomelanosoma_indicum"
"58","Lophius_vomerinus",4.62448662854433,4.52341768411583,4.62448662854433,0,0,"0"
"59","Lopholatilus_chamaeleonticeps",4.38187042512347,4.5959402206094,4.38187042512347,0,0,"0"
"60","Lumpenus_lampretaeformis",3.35162768608126,3.86283276123737,3.35162768608126,0,0,"0"
"61","Lutjanus_bohar",4.03515030929042,4.43855464151575,4.03515030929042,0,0,"0"
"62","Macruronus_magellanicus",4.41781715084362,4.68270976344351,4.41781715084362,0,0,"0"
"63","Mallotus_villosus",3.0588951367934,3.03013370027132,3.0588951367934,0,0,"0"
"64","Melanogrammus_aeglefinus",3.73564856768862,4.24119108046945,3.73564856768862,0,0,"0"
"65","Menidia_menidia",2.55617678113241,2.56302442905195,2.55617678113241,0,0,"0"
"66","Menticirrhus_americanus",3.74753211547034,3.58746945820046,3.74753211547034,0,0,"0"
"67","Menticirrhus_undulatus",3.74753211547034,3.79323946943818,3.74753211547034,0,0,"0"
"68","Merluccius_hubbsi",4.26153985012366,4.16667227099324,4.26153985012366,0,0,"0"
"69","Merluccius_productus",4.26153985012366,4.45543972259432,4.26153985012366,0,0,"0"
"70","Micropogonias_undulatus",3.98248500256528,3.35340671782581,3.98248500256528,0,0,"0"
"71","Monochirus_hispidus",3.03199851458555,2.5687881337687,3.03199851458555,0,0,"0"
"72","Mullus_barbatus",3.28864782088808,3.2116423186211,3.28864782088808,0,0,"0"
"73","Myctophum_punctatum",2.20241934237442,2.27726728500976,2.20241934237442,0,0,"0"
"74","Myoxocephalus_stelleri",3.70685558837567,3.83837646525985,3.70685558837567,0,0,"0"
"75","Nelusetta_ayraud",2.86151298601817,3.85449981918448,2.86151298601817,0,0,"0"
"76","Nematalosa_vlaminghi",3.14227274261774,3.64021428213266,3.14227274261774,0,0,"0"
"77","Nibea_maculata",3.79561402440459,3.34638914516716,3.79561402440459,0,0,"0"
"78","Nuchequula_nuchalis",2.54530081108087,2.484906649788,2.54530081108087,0,0,"0"
"79","Oneirodes_acanthias",3.51351042541355,2.99573227355399,3.51351042541355,0,0,"0"
"80","Orectolobus_ornatus",5.03590858572821,4.60416968565451,5.03590858572821,0,0,"0"
"81","Orthopristis_rubra",3.7881552235593,3.5470278298737,3.7881552235593,0,0,"0"
"82","Osmerus_mordax",3.19541620356683,3.35805788900154,3.19541620356683,0,0,"0"
