"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Ablabys_taenianotus",-0.286932735221791,-0.135595379163509,-0.286932735221791,0,0,"0"
"2","Abudefduf_bengalensis",0.14688096205891,0.177041459791962,0.14688096205891,0,0,"0"
"3","Abudefduf_lorenzi",0.14688096205891,0.148825880035088,0.14688096205891,0,0,"0"
"4","Abudefduf_septemfasciatus",0.14688096205891,0.121087573115895,0.14688096205891,0,0,"0"
"5","Acanthopagrus_butcheri",0.0590874379806244,0.00600744035130637,0.0590874379806244,0,0,"0"
"6","Acanthurus_dussumieri",0.156166271759066,0.199473930591592,0.156166271759066,0,0,"0"
"7","Acanthurus_nigroris",0.156166271759066,0.111424796377465,0.156166271759066,0,0,"0"
"8","Alepocephalus_bicolor",-0.445291844890103,-0.501516444510958,-0.445291844890103,0,0,"0"
"9","Allosmerus_elongatus",-0.403759467179078,-0.538952533884877,-0.403759467179078,0,0,"0"
"10","Amblyeleotris_periophthalma",-0.503632769080131,-0.477551441346338,-0.503632769080131,0,0,"0"
"11","Amphiprion_chrysogaster",0.0615100978826713,0.0450848539055395,0.0615100978826713,0,0,"0"
"12","Amphiprion_mccullochi",0.0615100978826713,0.142952646145439,0.0615100978826713,0,0,"0"
"13","Amphiprion_percula",0.0615100978826713,-0.0251095575122405,0.0615100978826713,0,0,"0"
"14","Amphiprion_sandaracinos",0.0615100978826713,-0.0113663719150403,0.0615100978826713,0,0,"0"
"15","Anampses_twistii",-0.0994955365692257,-0.161874436304474,-0.0994955365692257,0,0,"0"
"16","Anarhichas_orientalis",-0.432334533838004,-0.386562592899168,-0.432334533838004,0,0,"0"
"17","Anchoa_choerostoma",-0.24169480299046,-0.364368830153882,-0.24169480299046,0,0,"0"
"18","Anchoa_parva",-0.24169480299046,-0.284541389611926,-0.24169480299046,0,0,"0"
"19","Anisotremus_surinamensis",0.00955252745679199,-0.0165062170779926,0.00955252745679199,0,0,"0"
"20","Antennarius_striatus",-0.0310258465516198,-0.339971403169877,-0.0310258465516198,1,1,"Antennarius_striatus"
"21","Aphanopus_carbo",-0.557274689651644,-0.800149131717956,-0.557274689651644,1,2,"Aphanopus_carbo"
"22","Aphanopus_intermedius",-0.557274689651644,-0.994720372420589,-0.557274689651644,1,3,"Aphanopus_intermedius"
"23","Aphia_minuta",-0.482241007362971,-0.516052139437716,-0.482241007362971,0,0,"0"
"24","Aplodactylus_punctatus",-0.178887589644039,-0.174130768593082,-0.178887589644039,0,0,"0"
"25","Apogon_doryssa",-0.160856130072072,-0.154527345127755,-0.160856130072072,0,0,"0"
"26","Apogon_planifrons",-0.160856130072072,-0.240350509523701,-0.160856130072072,0,0,"0"
"27","Arenigobius_bifrenatus",-0.48179246321191,-0.548100780182742,-0.48179246321191,0,0,"0"
"28","Argyropelecus_olfersii",0.153025349734752,0.390219105635288,0.153025349734752,1,4,"Argyropelecus_olfersii"
"29","Argyrops_spinifer",0.1182778236285,0.119066152631703,0.1182778236285,0,0,"0"
"30","Ariosoma_anago",-0.864862970563563,-0.856269548933202,-0.864862970563563,0,0,"0"
"31","Aristostomias_polydactylus",-0.380256897630278,-0.0812599223100872,-0.380256897630278,1,5,"Aristostomias_polydactylus"
"32","Arius_arius",-0.487987848718474,-0.590558902513911,-0.487987848718474,0,0,"0"
"33","Arius_subrostratus",-0.487987848718474,-0.500509526126654,-0.487987848718474,0,0,"0"
"34","Arothron_immaculatus",-0.362366942646282,-0.425962789612318,-0.362366942646282,0,0,"0"
