"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Ablabys_taenianotus",-0.661692085647036,-0.714252995788323,-0.661692085647036,0,0,"0"
"2","Abudefduf_bengalensis",-0.864390525522246,-0.891311350137226,-0.864390525522246,0,0,"0"
"3","Abudefduf_lorenzi",-0.864390525522246,-0.893427411553657,-0.864390525522246,0,0,"0"
"4","Abudefduf_septemfasciatus",-0.864390525522246,-0.774419677179464,-0.864390525522246,0,0,"0"
"5","Acanthopagrus_butcheri",-0.907061705282224,-0.861197517162566,-0.907061705282224,0,0,"0"
"6","Acanthurus_dussumieri",-0.949288592118486,-1.00145031215383,-0.949288592118486,0,0,"0"
"7","Acanthurus_nigroris",-0.949288592118486,-0.872338041366477,-0.949288592118486,0,0,"0"
"8","Alepocephalus_bicolor",-0.832699093709677,-0.910064155861753,-0.832699093709677,0,0,"0"
"9","Allosmerus_elongatus",-0.964140352679858,-0.930338827498551,-0.964140352679858,0,0,"0"
"10","Amblyeleotris_periophthalma",-0.688682047329376,-0.795541122424016,-0.688682047329376,0,0,"0"
"11","Amphiprion_chrysogaster",-0.796754277205982,-0.786475287323948,-0.796754277205982,0,0,"0"
"12","Amphiprion_mccullochi",-0.796754277205982,-0.858994792231909,-0.796754277205982,0,0,"0"
"13","Amphiprion_percula",-0.796754277205982,-0.757183846562975,-0.796754277205982,0,0,"0"
"14","Amphiprion_sandaracinos",-0.796754277205982,-0.819796272493532,-0.796754277205982,0,0,"0"
"15","Anampses_twistii",-0.908186677699262,-0.924149024782764,-0.908186677699262,0,0,"0"
"16","Anarhichas_orientalis",-0.867706002212063,-0.880961096850377,-0.867706002212063,0,0,"0"
"17","Anchoa_choerostoma",-1.06567171254865,-1.01966215169109,-1.06567171254865,0,0,"0"
"18","Anchoa_parva",-1.06567171254865,-1.01001906713574,-1.06567171254865,0,0,"0"
"19","Anisotremus_surinamensis",-0.82732794883196,-0.752206686340722,-0.82732794883196,0,0,"0"
"20","Antennarius_striatus",-0.47939583603752,-0.32174405035321,-0.47939583603752,0,0,"0"
"21","Aphanopus_carbo",-1.40169940017592,-1.14868291807299,-1.40169940017592,1,1,"Aphanopus_carbo"
"22","Aphanopus_intermedius",-1.40169940017592,-1.20657514228367,-1.40169940017592,1,2,"Aphanopus_intermedius"
"23","Aphia_minuta",-0.629743467629618,-0.838876003031683,-0.629743467629618,0,0,"0"
"24","Aplodactylus_punctatus",-0.790111526642632,-0.800499564380019,-0.790111526642632,0,0,"0"
"25","Apogon_doryssa",-0.72108063237222,-0.703422880186097,-0.72108063237222,0,0,"0"
"26","Apogon_planifrons",-0.72108063237222,-0.707666319192636,-0.72108063237222,0,0,"0"
"27","Arenigobius_bifrenatus",-0.629540075630101,-0.604970599374354,-0.629540075630101,0,0,"0"
"28","Argyropelecus_olfersii",-1.02539172009572,-1.15841294873757,-1.02539172009572,0,0,"0"
"29","Argyrops_spinifer",-0.951714982047424,-0.900454984275393,-0.951714982047424,0,0,"0"
