"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Ablabys_taenianotus",-1.55543323386233,-1.46572185933791,-1.55543323386233,0,0,"0"
"2","Abudefduf_bengalensis",-1.03982310771761,-1.05101216190912,-1.03982310771761,0,0,"0"
"3","Abudefduf_lorenzi",-1.03982310771761,-0.976186031629474,-1.03982310771761,0,0,"0"
"4","Abudefduf_septemfasciatus",-1.03982310771761,-0.980885042523256,-1.03982310771761,0,0,"0"
"5","Acanthopagrus_butcheri",-1.23320179894495,-1.32535386042287,-1.23320179894495,0,0,"0"
"6","Acanthurus_dussumieri",-1.389438555144,-1.32191489378717,-1.389438555144,0,0,"0"
"7","Acanthurus_nigroris",-1.389438555144,-1.38491333666683,-1.389438555144,0,0,"0"
"8","Alepocephalus_bicolor",-1.42360907323935,-1.45517634103829,-1.42360907323935,0,0,"0"
"9","Allosmerus_elongatus",-1.47236559704139,-1.48884293910561,-1.47236559704139,0,0,"0"
"10","Amblyeleotris_periophthalma",-1.09627098601552,-1.08221946745448,-1.09627098601552,0,0,"0"
"11","Amphiprion_chrysogaster",-1.06295043864135,-1.10140068271767,-1.06295043864135,0,0,"0"
"12","Amphiprion_mccullochi",-1.06295043864135,-1.04536564784133,-1.06295043864135,0,0,"0"
"13","Amphiprion_percula",-1.06295043864135,-0.949207921052118,-1.06295043864135,0,0,"0"
"14","Amphiprion_sandaracinos",-1.06295043864135,-0.951361624098903,-1.06295043864135,0,0,"0"
"15","Anampses_twistii",-0.998199817387593,-0.964649227157856,-0.998199817387593,0,0,"0"
"16","Anarhichas_orientalis",-2.06318705429967,-2.10050582201186,-2.06318705429967,0,0,"0"
"17","Anchoa_choerostoma",-1.11023103940738,-1.23930264804648,-1.11023103940738,0,0,"0"
"18","Anchoa_parva",-1.11023103940738,-1.0210528048799,-1.11023103940738,0,0,"0"
"19","Anisotremus_surinamensis",-1.36745058099464,-1.32131885275183,-1.36745058099464,0,0,"0"
"20","Antennarius_striatus",-1.44022796971909,-1.65519701023308,-1.44022796971909,0,0,"0"
"21","Aphanopus_carbo",-3.29953969440492,-3.70977870621854,-3.29953969440492,0,0,"0"
"22","Aphanopus_intermedius",-3.29953969440492,-3.83135569708844,-3.29953969440492,1,1,"Aphanopus_intermedius"
"23","Aphia_minuta",-1.13928851044965,-1.2014628903446,-1.13928851044965,0,0,"0"
"24","Aplodactylus_punctatus",-1.12227895413661,-1.10055504133512,-1.12227895413661,0,0,"0"
"25","Apogon_doryssa",-1.12680291332642,-1.42355868045968,-1.12680291332642,0,0,"0"
"26","Apogon_planifrons",-1.12680291332642,-1.17081898243141,-1.12680291332642,0,0,"0"
"27","Arenigobius_bifrenatus",-1.14035996142963,-1.13075527304601,-1.14035996142963,0,0,"0"
"28","Argyropelecus_olfersii",-1.48044786426128,-1.40542495612837,-1.48044786426128,0,0,"0"
"29","Argyrops_spinifer",-1.29908667048461,-1.27876856306995,-1.29908667048461,0,0,"0"
"30","Ariosoma_anago",-2.83787204587686,-2.80625302337615,-2.83787204587686,0,0,"0"
"31","Aristostomias_polydactylus",-2.16028540729228,-2.34099651407977,-2.16028540729228,0,0,"0"
"32","Arius_arius",-1.5507398481229,-1.65884087953524,-1.5507398481229,0,0,"0"
"33","Arius_subrostratus",-1.5507398481229,-1.59600168745852,-1.5507398481229,0,0,"0"
"34","Arothron_immaculatus",-1.37678750510294,-1.10575677423058,-1.37678750510294,0,0,"0"
"35","Arothron_manilensis",-1.37678750510294,-1.14391448745798,-1.37678750510294,0,0,"0"
"36","Artedius_fenestralis",-1.67350774024025,-1.82867710678676,-1.67350774024025,0,0,"0"
