"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Ablabys_taenianotus",25.1096565252638,28.1,25.1096565252638,0,0,"0"
"2","Abudefduf_bengalensis",27.0904963216659,28.7,27.0904963216659,0,0,"0"
"3","Abudefduf_lorenzi",27.0904963216659,28.8,27.0904963216659,0,0,"0"
"4","Abudefduf_septemfasciatus",27.0904963216659,28.6,27.0904963216659,0,0,"0"
"5","Acanthaluteres_brownii",19.7228306752401,17.1,19.7228306752401,0,0,"0"
"6","Acanthopagrus_butcheri",25.6013519364159,17.6,25.6013519364159,0,0,"0"
"7","Acanthopagrus_latus",25.6013519364159,27.4,25.6013519364159,0,0,"0"
"8","Acanthostracion_notacanthus",24.2412167701526,26.2,24.2412167701526,0,0,"0"
"9","Acanthurus_dussumieri",27.6600420696884,27.2,27.6600420696884,0,0,"0"
"10","Acanthurus_leucocheilus",27.6600420696884,28.5,27.6600420696884,0,0,"0"
"11","Acanthurus_maculiceps",27.6600420696884,28.6,27.6600420696884,0,0,"0"
"12","Acanthurus_nigroris",27.6600420696884,27.4,27.6600420696884,0,0,"0"
"13","Acreichthys_hajam",27.2228306752401,28.6,27.2228306752401,0,0,"0"
"14","Agonomalus_jordani",8.34362847061738,11.6,8.34362847061738,0,0,"0"
"15","Alabes_bathys",18.0841808772888,11.9,18.0841808772888,0,0,"0"
"16","Alcockia_rostrata",9.16965260770326,1.7,9.16965260770326,0,0,"0"
"17","Aldrovandia_gracilis",4.65732438445076,5.4,4.65732438445076,0,0,"0"
"18","Alepocephalus_bicolor",4.36869081995425,7.2,4.36869081995425,0,0,"0"
"19","Alionematichthys_crassiceps",27.8363557156773,28.4,27.8363557156773,0,0,"0"
"20","Alloblennius_parvus",26.9412638780506,27.1,26.9412638780506,0,0,"0"
"21","Allosmerus_elongatus",9.41737671089101,11.6,9.41737671089101,0,0,"0"
"22","Alopias_pelagicus",23.6860236237584,26.7,23.6860236237584,0,0,"0"
"23","Alticus_saliens",27.5647583268303,28.5,27.5647583268303,0,0,"0"
"24","Amblyeleotris_downingi",27.7247123636471,28,27.7247123636471,0,0,"0"
"25","Amblyeleotris_novaecaledoniae",27.7247123636471,27,27.7247123636471,0,0,"0"
"26","Amblyeleotris_periophthalma",27.7247123636471,28,27.7247123636471,0,0,"0"
"27","Amblygobius_buanensis",28.0458177697112,29,28.0458177697112,0,0,"0"
"28","Amblygobius_esakiae",28.0458177697112,28.8,28.0458177697112,0,0,"0"
"29","Amblygobius_stethophthalmus",28.0458177697112,28.8,28.0458177697112,0,0,"0"
"30","Amblyraja_jenseni",4.07576702537927,3.6,4.07576702537927,0,0,"0"
"31","Ammodytes_marinus",10.597193744547,9.7,10.597193744547,0,0,"0"
"32","Amphiprion_biaculeatus",27.7662977929995,28.7,27.7662977929995,0,0,"0"
"33","Amphiprion_chrysogaster",27.7662977929995,25.5,27.7662977929995,0,0,"0"
"34","Amphiprion_mccullochi",27.7662977929995,21.4,27.7662977929995,0,0,"0"
"35","Amphiprion_percula",27.7662977929995,27.3,27.7662977929995,0,0,"0"
"36","Amphiprion_sandaracinos",27.7662977929995,28.7,27.7662977929995,0,0,"0"
"37","Anampses_cuvier",26.8515619584052,25.3,26.8515619584052,0,0,"0"
"38","Anampses_lennardi",26.8515619584052,28.2,26.8515619584052,0,0,"0"
"39","Anampses_melanurus",26.8515619584052,28,26.8515619584052,0,0,"0"
"40","Anampses_twistii",26.8515619584052,28.2,26.8515619584052,0,0,"0"
"41","Anarchias_euryurus",27.759413395459,19.1,27.759413395459,0,0,"0"
"42","Anarchias_similis",27.759413395459,24.8,27.759413395459,0,0,"0"
"43","Anarhichas_orientalis",5.73986901191271,2.3,5.73986901191271,0,0,"0"
"44","Anchoa_curta",25.1073320641406,26.9,25.1073320641406,0,0,"0"
"45","Anchoa_eigenmannia",25.1073320641406,27.8,25.1073320641406,0,0,"0"
"46","Anchoa_parva",25.1073320641406,27.7,25.1073320641406,0,0,"0"
"47","Anchoa_spinifer",25.1073320641406,27.4,25.1073320641406,0,0,"0"
"48","Ancistrogobius_yoshigoui",27.3478906667454,28.7,27.3478906667454,0,0,"0"
"49","Ancylopsetta_antillarum",21.2827041802621,10.1,21.2827041802621,1,1,"Ancylopsetta_antillarum"
"50","Ancylopsetta_dendritica",21.2827041802621,20.9,21.2827041802621,0,0,"0"
"51","Anisochromis_straussi",26.7774084288765,27.5,26.7774084288765,0,0,"0"
"52","Anisotremus_surinamensis",25.4078658076994,25.5,25.4078658076994,0,0,"0"
"53","Anoplagonus_occidentalis",6.61544270592607,8.9,6.61544270592607,0,0,"0"
"54","Antennablennius_hypenetes",26.8539652723586,27.1,26.8539652723586,0,0,"0"
"55","Antennarius_biocellatus",27.0374455745264,28.8,27.0374455745264,0,0,"0"
"56","Antennarius_striatus",27.0374455745264,27,27.0374455745264,0,0,"0"
"57","Aphanopus_carbo",6.70934847688909,7.1,6.70934847688909,0,0,"0"
"58","Aphanopus_intermedius",6.70934847688909,9.4,6.70934847688909,0,0,"0"
"59","Aphia_minuta",25.3436720002362,10.8,25.3436720002362,1,2,"Aphia_minuta"
"60","Aploactis_aspera",25.4809899116121,26.7,25.4809899116121,0,0,"0"
"61","Aploactisoma_milesii",25.4809899116121,17.2,25.4809899116121,0,0,"0"
"62","Aplodactylus_punctatus",19.9110683412519,19.5,19.9110683412519,0,0,"0"
"63","Aplodactylus_westralis",19.9110683412519,17.8,19.9110683412519,0,0,"0"
"64","Apogon_doryssa",26.9063965741958,28.3,26.9063965741958,0,0,"0"
"65","Apogon_gouldi",26.9063965741958,21.8,26.9063965741958,0,0,"0"
"66","Apogonichthyoides_chrysurus",27.7120468654444,27.7,27.7120468654444,0,0,"0"
"67","Apogonichthyoides_niger",27.7120468654444,28.7,27.7120468654444,0,0,"0"
"68","Apogonichthyoides_opercularis",27.7120468654444,27.6,27.7120468654444,0,0,"0"
"69","Apogonichthyoides_regani",27.7120468654444,27.5,27.7120468654444,0,0,"0"
"70","Apogonichthyoides_timorensis",27.7120468654444,28.3,27.7120468654444,0,0,"0"
"71","Apogon_planifrons",26.9063965741958,27.4,26.9063965741958,0,0,"0"
"72","Apolemichthys_xanthotis",24.8286825584419,27,24.8286825584419,0,0,"0"
"73","Apristurus_australis",6.17977724071919,6.7,6.17977724071919,0,0,"0"
"74","Apristurus_fedorovi",6.17977724071919,1.8,6.17977724071919,0,0,"0"
"75","Apterichtus_equatorialis",22.1067468471934,12.9,22.1067468471934,0,0,"0"
"76","Arenigobius_bifrenatus",21.7718360001181,17.9,21.7718360001181,0,0,"0"
"77","Argentina_kagoshimae",12.7888885947399,12.9,12.7888885947399,0,0,"0"
"78","Argyropelecus_olfersii",11.5202216343851,8.5,11.5202216343851,0,0,"0"
"79","Argyrops_spinifer",25.1036051637756,27.9,25.1036051637756,0,0,"0"
"80","Argyrosomus_japonicus",23.6062366197808,25.3,23.6062366197808,0,0,"0"
"81","Argyrosomus_regius",23.6062366197808,15.3,23.6062366197808,0,0,"0"
"82","Argyrosomus_thorpei",23.6062366197808,24.7,23.6062366197808,0,0,"0"
"83","Ariomma_brevimanus",16.2290022159187,13.9,16.2290022159187,0,0,"0"
"84","Ariosoma_anago",18.679451038551,28.5,18.679451038551,1,3,"Ariosoma_anago"
"85","Ariosoma_obud",18.679451038551,27.4,18.679451038551,0,0,"0"
"86","Aristostomias_polydactylus",10.9041196018293,13.1,10.9041196018293,0,0,"0"
"87","Arius_arius",28.2954500462514,28.5,28.2954500462514,0,0,"0"
"88","Arius_subrostratus",28.2954500462514,28.7,28.2954500462514,0,0,"0"
"89","Arothron_firmamentum",26.6302443270531,16,26.6302443270531,1,4,"Arothron_firmamentum"
"90","Arothron_immaculatus",26.6302443270531,28.5,26.6302443270531,0,0,"0"
"91","Arothron_manilensis",26.6302443270531,28.5,26.6302443270531,0,0,"0"
"92","Arotrolepis_filicauda",24.4684920257204,27.6,24.4684920257204,0,0,"0"
"93","Arrhamphus_sclerolepis",24.2460538321088,27.9,24.2460538321088,0,0,"0"
"94","Artediellichthys_nigripinnis",7.59875697867355,1.7,7.59875697867355,0,0,"0"
"95","Artediellus_ingens",4.46987569786736,2.1,4.46987569786736,0,0,"0"
"96","Artediellus_scaber",4.46987569786736,-1,4.46987569786736,0,0,"0"
"97","Artedius_fenestralis",11.6397513957347,9.8,11.6397513957347,0,0,"0"
"98","Aseraggodes_borehami",24.6423408718805,25.3,24.6423408718805,0,0,"0"
"99","Aseraggodes_heemstrai",24.6423408718805,23.9,24.6423408718805,0,0,"0"
"100","Aseraggodes_kaianus",24.6423408718805,17.2,24.6423408718805,0,0,"0"
"101","Aseraggodes_orientalis",24.6423408718805,23.3,24.6423408718805,0,0,"0"
