"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Achirus_mazatlanus",2.9564981329747,3.01798288248881,2.9564981329747,0,0,"0"
"2","Ammodytes_hexapterus",3.21537046209294,3.44998754583159,3.21537046209294,0,0,"0"
"3","Anchoa_nasus",2.52349747954947,2.14593128294867,2.52349747954947,0,0,"0"
"4","Antimora_microlepis",4.29324984843786,4.26127043353808,4.29324984843786,0,0,"0"
"5","Argyrosomus_regius",4.55816639038503,5.09121630301352,4.55816639038503,0,0,"0"
"6","Arripis_georgiana",4.10112736068508,3.24610181112179,4.10112736068508,0,0,"0"
"7","Arripis_trutta",4.10112736068508,4.53742653390157,4.10112736068508,0,0,"0"
"8","Atractoscion_nobilis",4.17788471202842,4.98360662170834,4.17788471202842,0,0,"0"
"9","Atrobucca_nibe",3.7258756825953,3.87027465604776,3.7258756825953,0,0,"0"
"10","Bathyraja_maculata",4.65212751621583,5.04985600724954,4.65212751621583,0,0,"0"
"11","Beringraja_rhina",4.62301023846749,4.7721665766793,4.62301023846749,0,0,"0"
"12","Brachydeuterus_auritus",3.78679400542885,3.17148468161248,3.78679400542885,0,0,"0"
"13","Caranx_hippos",4.31428264962656,4.3333614626926,4.31428264962656,0,0,"0"
"14","Carcharhinus_longimanus",5.26786048047974,5.73534574557185,5.26786048047974,0,0,"0"
"15","Carcharhinus_obscurus",5.26786048047974,6.04292970172672,5.26786048047974,0,0,"0"
"16","Centropomus_armatus",4.42469687918305,3.90399083373088,4.42469687918305,0,0,"0"
"17","Centropyge_bicolor",3.35428024915848,1.98100146886658,3.35428024915848,1,1,"Centropyge_bicolor"
"18","Cheilopogon_cyanopterus",3.36614020425539,3.39785848039664,3.36614020425539,0,0,"0"
"19","Chelidonichthys_lastoviza",3.6606767411578,3.49814258771863,3.6606767411578,0,0,"0"
"20","Cololabis_saira",3.40184861314271,3.59273559356103,3.40184861314271,0,0,"0"
"21","Coryphaenoides_mediterraneus",3.8547658564629,3.16547504814109,3.8547658564629,0,0,"0"
"22","Coryphaenoides_rupestris",3.8547658564629,4.52592403597825,3.8547658564629,0,0,"0"
"23","Cyclopsetta_chittendeni",3.55842623762784,3.49650756146648,3.55842623762784,0,0,"0"
"24","Cynoglossus_lida",3.47990852309222,3.51898041731854,3.47990852309222,0,0,"0"
"25","Cynoscion_othonopterus",4.0605538388685,4.63981312943163,4.0605538388685,0,0,"0"
"26","Cynoscion_xanthulus",4.0605538388685,3.80220813942094,4.0605538388685,0,0,"0"
"27","Dactylopterus_volitans",3.24295099176867,3.51393065164939,3.24295099176867,0,0,"0"
"28","Decapterus_punctatus",3.42910890001272,3.47506723022861,3.42910890001272,0,0,"0"
"29","Deltentosteus_quadrimaculatus",2.29481194466472,2.30008196277593,2.29481194466472,0,0,"0"
"30","Dentex_macrophthalmus",3.96122892162016,3.51472445998637,3.96122892162016,0,0,"0"
"31","Dicentrarchus_punctatus",4.05627579097907,4.26969744969996,4.05627579097907,0,0,"0"
"32","Elops_machnata",3.84110752379451,3.58905911883173,3.84110752379451,0,0,"0"
"33","Engraulis_australis",2.86131171076451,2.65973492415599,2.86131171076451,0,0,"0"
"34","Epinephelus_costae",4.161836591488,4.28358656186063,4.161836591488,0,0,"0"
"35","Epinephelus_itajara",4.161836591488,5.30330490805908,4.161836591488,1,2,"Epinephelus_itajara"
"36","Epinephelus_labriformis",4.161836591488,3.5945687746427,4.161836591488,0,0,"0"
"37","Epinephelus_polylepis",4.161836591488,4.26619481914876,4.161836591488,0,0,"0"
"38","Equulites_lineolatus",2.5433519848376,2.40048930797542,2.5433519848376,0,0,"0"
"39","Eviota_melasma",1.26925220169563,1.01523067972906,1.26925220169563,1,3,"Eviota_melasma"
"40","Evynnis_tumifrons",3.70887431613119,3.99083418585244,3.70887431613119,0,0,"0"
"41","Facciolella_gilbertii",4.12389000967618,4.0943445622221,4.12389000967618,0,0,"0"
"42","Genypterus_capensis",4.43561071758071,4.88552548305341,4.43561071758071,0,0,"0"
"43","Glaucosoma_buergeri",4.30025204049457,4.00320345751214,4.30025204049457,0,0,"0"
"44","Hippocampus_zosterae",2.98069903249563,0.693147180559945,2.98069903249563,1,4,"Hippocampus_zosterae"
"45","Hyperoplus_lanceolatus",3.53620748662549,3.39450839351136,3.53620748662549,0,0,"0"
"46","Hypomesus_olidus",3.13640692744618,2.4423470353692,3.13640692744618,0,0,"0"
"47","Knipowitschia_longecaudata",2.25698127702195,1.65822807660353,2.25698127702195,0,0,"0"
"48","Labrus_bergylta",3.60803815641434,3.95954252139612,3.60803815641434,0,0,"0"
"49","Lepidorhombus_boscii",3.81345718377876,3.65057420414927,3.81345718377876,0,0,"0"
"50","Lepturacanthus_savala",4.54591127847886,4.47903990884388,4.54591127847886,0,0,"0"
"51","Leucoraja_naevus",4.32945495527186,4.41067482826243,4.32945495527186,0,0,"0"
"52","Lithognathus_lithognathus",3.85532143596725,4.85203026391962,3.85532143596725,0,0,"0"
"53","Macrodon_atricauda",3.80427326017543,3.6183228606508,3.80427326017543,0,0,"0"
"54","Macruronus_magellanicus",4.41682830482248,4.68270976344351,4.41682830482248,0,0,"0"
"55","Menticirrhus_americanus",3.79834920335898,3.58746945820046,3.79834920335898,0,0,"0"
"56","Merluccius_capensis",4.20353322845047,4.81030914474632,4.20353322845047,0,0,"0"
"57","Merluccius_paradoxus",4.20353322845047,4.46992303658007,4.20353322845047,0,0,"0"
"58","Micrometrus_aurora",2.80172476747931,2.74727091425549,2.80172476747931,0,0,"0"
"59","Mugil_incilis",3.62130041553125,3.76584049525006,3.62130041553125,0,0,"0"
"60","Muraena_helena",4.67621724726014,5.17906451060986,4.67621724726014,0,0,"0"
"61","Mycteroperca_venenosa",4.52367206955329,4.47449186234598,4.52367206955329,0,0,"0"
"62","Nemadactylus_macropterus",4.10969848079784,3.95124371858143,4.10969848079784,0,0,"0"
"63","Nemipterus_bipunctatus",3.34943190153081,3.36901848329792,3.34943190153081,0,0,"0"
"64","Nemipterus_marginatus",3.34943190153081,3.26830070819572,3.34943190153081,0,0,"0"
"65","Neoniphon_sammara",3.43261690394144,3.25809653802148,3.43261690394144,0,0,"0"
"66","Nezumia_liolepis",3.19784043778809,3.19867311755068,3.19784043778809,0,0,"0"
"67","Notolychnus_valdiviae",2.39464784836067,1.02961941718116,2.39464784836067,1,5,"Notolychnus_valdiviae"
"68","Notorynchus_cepedianus",4.99968463025676,5.57031455938203,4.99968463025676,0,0,"0"
"69","Nuchequula_nuchalis",2.56859705540839,2.484906649788,2.56859705540839,0,0,"0"
"70","Ophiodon_elongatus",3.7261278586292,4.93913922078359,3.7261278586292,1,6,"Ophiodon_elongatus"
"71","Orthopristis_rubra",3.68423119833673,3.5470278298737,3.68423119833673,0,0,"0"
"72","Pachycara_brachycephalum",3.61866758537824,3.58351893845611,3.61866758537824,0,0,"0"
"73","Pagellus_acarne",3.74665780424671,3.33992020322696,3.74665780424671,0,0,"0"
"74","Pagellus_natalensis",3.74665780424671,3.8177123259569,3.74665780424671,0,0,"0"
"75","Pagothenia_borchgrevinki",3.75368872580896,3.19867311755068,3.75368872580896,0,0,"0"
"76","Paralichthys_woolmani",4.38785513602714,3.65842024662923,4.38785513602714,0,0,"0"
"77","Parapercis_clathrata",3.18863267285718,2.92154737536461,3.18863267285718,0,0,"0"
"78","Pegusa_lascaris",3.2773516467032,3.3724549127965,3.2773516467032,0,0,"0"
"79","Pelates_octolineatus",3.65622678294311,3.21486780347066,3.65622678294311,0,0,"0"
"80","Pennahia_aneus",3.54021656977641,3.35372453127199,3.54021656977641,0,0,"0"
"81","Pennahia_macrocephalus",3.54021656977641,3.15700042115011,3.54021656977641,0,0,"0"
"82","Pentaprion_longimanus",3.35273154144741,2.92622906778702,3.35273154144741,0,0,"0"
"83","Photopectoralis_bindus",2.6441861729174,2.41463745394144,2.6441861729174,0,0,"0"
"84","Planiliza_klunzingeri",3.32358143696297,3.25424296870549,3.32358143696297,0,0,"0"
"85","Platycephalus_richardsoni",3.9018786922063,4.14998948563399,3.9018786922063,0,0,"0"
"86","Platycephalus_westraliae",3.9018786922063,3.85410253659215,3.9018786922063,0,0,"0"
"87","Plicofollis_dussumieri",4.15886938843882,4.63472898822964,4.15886938843882,0,0,"0"
"88","Pogonias_cromis",3.81866209362895,4.69902476145972,3.81866209362895,0,0,"0"
"89","Pollachius_pollachius",4.30695581243495,4.4496852831477,4.30695581243495,0,0,"0"
"90","Polydactylus_sextarius",3.66411734241037,2.92316158071916,3.66411734241037,0,0,"0"
"91","Pomadasys_argyreus",3.44344281104243,2.69192081917233,3.44344281104243,0,0,"0"
"92","Priacanthus_tayenus",3.73867294232687,3.37673390948378,3.73867294232687,0,0,"0"
"93","Prionace_glauca",4.86546813432565,5.82788276578603,4.86546813432565,0,0,"0"
"94","Pseudanthias_squamipinnis",3.47262483348706,2.82137888640921,3.47262483348706,0,0,"0"
"95","Pseudorhombus_javanicus",3.65789598915437,3.27714473299218,3.65789598915437,0,0,"0"
"96","Pseudupeneus_prayensis",3.39970928697103,3.45631668088323,3.39970928697103,0,0,"0"
"97","Raja_microocellata",4.50874651930143,4.91998092582813,4.50874651930143,0,0,"0"
"98","Raja_miraletus",4.50874651930143,4.49869794147757,4.50874651930143,0,0,"0"
"99","Rastrelliger_kanagurta",3.5937884959924,3.36194225931473,3.5937884959924,0,0,"0"
"100","Rhinecanthus_aculeatus",3.8283580082517,3.34286180464919,3.8283580082517,0,0,"0"
