"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_concolor",-1.61881329368624,-1.72542860727574,-1.61881329368624,0,0,"0"
"2","Abudefduf_saxatilis",-1.61881329368624,-1.71805984170853,-1.61881329368624,0,0,"0"
"3","Abudefduf_taurus",-1.61881329368624,-1.76110484018906,-1.61881329368624,0,0,"0"
"4","Acanthurus_achilles",-1.92149766140591,-2.20994804022751,-1.92149766140591,0,0,"0"
"5","Acanthurus_nigrofuscus",-1.92149766140591,-1.90428555313713,-1.92149766140591,0,0,"0"
"6","Ahlia_egmontis",-0.878209927425644,-1.09375684072056,-0.878209927425644,0,0,"0"
"7","Aidablennius_sphynx",-1.31183951785931,-1.92623985376827,-1.31183951785931,1,1,"Aidablennius_sphynx"
"8","Akarotaxis_nudiceps",-0.551713852996442,-0.469902730922855,-0.551713852996442,0,0,"0"
"9","Aluterus_heudelotii",-2.11857999189186,-1.85644489300594,-2.11857999189186,1,2,"Aluterus_heudelotii"
"10","Amblyeleotris_fasciata",-0.860341853388933,-0.702721619946833,-0.860341853388933,0,0,"0"
"11","Amblyeleotris_wheeleri",-0.860341853388933,-0.784390359924299,-0.860341853388933,0,0,"0"
"12","Amphiprion_bicinctus",-1.46554770385628,-1.43683535716141,-1.46554770385628,0,0,"0"
"13","Anchoa_cayorum",-0.409985943283481,-0.335473359783526,-0.409985943283481,0,0,"0"
"14","Anchoa_nasus",-0.409985943283481,-0.30051340340531,-0.409985943283481,0,0,"0"
"15","Antennarius_commerson",-0.792209894392153,-0.956716921983452,-0.792209894392153,0,0,"0"
"16","Anthias_anthias",-0.837070994438853,-0.839103303909338,-0.837070994438853,0,0,"0"
"17","Antigonia_rubescens",-1.61456079953153,-1.60149249467443,-1.61456079953153,0,0,"0"
"18","Antimora_microlepis",-0.776774055604116,-0.813877996230176,-0.776774055604116,0,0,"0"
"19","Apogon_doryssa",-0.585241573216004,-0.697559785715168,-0.585241573216004,0,0,"0"
"20","Aptocyclus_ventricosus",-1.09936530292181,-0.974226780643874,-1.09936530292181,0,0,"0"
"21","Arripis_trutta",-0.794796809356115,-0.828744316741466,-0.794796809356115,0,0,"0"
"22","Assessor_macneilli",-1.11590366207231,-0.875699087796378,-1.11590366207231,0,0,"0"
"23","Atrobucca_nibe",-0.922339318454881,-0.694860977707403,-0.922339318454881,0,0,"0"
"24","Atypichthys_strigatus",-1.40893922743379,-1.49299491272109,-1.40893922743379,0,0,"0"
"25","Avocettina_infans",-0.302507937403354,0.0350970326597089,-0.302507937403354,0,0,"0"
"26","Awaous_melanocephalus",-0.951927137191644,-0.963476021081585,-0.951927137191644,0,0,"0"
"27","Bagre_bagre",-0.96048629842174,-1.11291531220082,-0.96048629842174,0,0,"0"
"28","Bagre_marinus",-0.96048629842174,-0.860039091441307,-0.96048629842174,0,0,"0"
"29","Bajacalifornia_burragei",-0.580972199384901,-0.467315716324064,-0.580972199384901,0,0,"0"
"30","Balistoides_conspicillum",-1.57955774971288,-1.82168645294196,-1.57955774971288,0,0,"0"
"31","Bassanago_albescens",-0.924273496702201,-0.985613076293171,-0.924273496702201,0,0,"0"
"32","Bathygadus_macrops",-0.633718997425668,-0.76501959158707,-0.633718997425668,0,0,"0"
"33","Bathygadus_melanobranchus",-0.633718997425668,-0.666976680908078,-0.633718997425668,0,0,"0"
"34","Bathygobius_cocosensis",-1.01504013619,-1.01095135102293,-1.01504013619,0,0,"0"
"35","Bathygobius_ramosus",-1.01504013619,-1.101777667783,-1.01504013619,0,0,"0"
"36","Bathylagus_euryops",-1.2377067311822,-1.10158423753478,-1.2377067311822,0,0,"0"
"37","Bembrops_heterurus",-0.854069214251369,-0.419387160790164,-0.854069214251369,1,3,"Bembrops_heterurus"
"38","Benthodesmus_simonyi",-0.313870351869179,-0.0237090263511065,-0.313870351869179,0,0,"0"
"39","Bodianus_mesothorax",-0.985987349439104,-0.902815740088462,-0.985987349439104,0,0,"0"
"40","Bodianus_rufus",-0.985987349439104,-0.921042239828203,-0.985987349439104,0,0,"0"
"41","Bothus_lunatus",-1.28865661062307,-0.855002041748943,-1.28865661062307,0,0,"0"
"42","Brachydeuterus_auritus",-1.18584690542618,-0.924874964370584,-1.18584690542618,0,0,"0"
"43","Brachyistius_frenatus",-1.31377691752503,-1.38066022965819,-1.31377691752503,0,0,"0"
"44","Butis_butis",-0.666103453269834,-0.724362516561579,-0.666103453269834,0,0,"0"
"45","Caesio_xanthonota",-1.29042936428992,-1.16730829440251,-1.29042936428992,0,0,"0"
"46","Callionymus_schaapii",-1.16441449108942,-0.755612023563844,-1.16441449108942,0,0,"0"
"47","Callionymus_valenciennei",-1.16441449108942,-1.60372560648541,-1.16441449108942,1,4,"Callionymus_valenciennei"
"48","Calloplesiops_altivelis",-1.10334287488264,-0.921110679438432,-1.10334287488264,0,0,"0"
"49","Canthigaster_coronata",-1.8644962399173,-2.02724177654724,-1.8644962399173,0,0,"0"
"50","Canthigaster_natalensis",-1.8644962399173,-1.99358778503409,-1.8644962399173,0,0,"0"
"51","Carangoides_chrysophrys",-1.00967186487241,-0.919384012077869,-1.00967186487241,0,0,"0"
"52","Caranx_hippos",-0.943780177127886,-0.962162356440871,-0.943780177127886,0,0,"0"
"53","Caranx_ignobilis",-0.943780177127886,-0.876888667464417,-0.943780177127886,0,0,"0"
"54","Cataetyx_rubrirostris",-0.854893158441086,-0.765447909837542,-0.854893158441086,0,0,"0"
"55","Caulolatilus_affinis",-0.938025846928527,-0.988257239898778,-0.938025846928527,0,0,"0"
"56","Caulolatilus_princeps",-0.938025846928527,-0.877589495389025,-0.938025846928527,0,0,"0"
"57","Centropomus_armatus",-0.534031372794057,-0.625568588217607,-0.534031372794057,0,0,"0"
"58","Centropomus_poeyi",-0.534031372794057,-0.401118018917056,-0.534031372794057,0,0,"0"
"59","Centropyge_bicolor",-1.76625972393367,-2.16571557192636,-1.76625972393367,1,5,"Centropyge_bicolor"
"60","Centropyge_flavissima",-1.76625972393367,-2.05700482039943,-1.76625972393367,0,0,"0"
"61","Cepola_schlegelii",-1.06404412838302,-0.851776391741802,-1.06404412838302,0,0,"0"
"62","Ceratoscopelus_townsendi",-0.310551898755505,-0.346113028121645,-0.310551898755505,0,0,"0"
"63","Chaetodon_bennetti",-1.566341188697,-1.66062200403545,-1.566341188697,0,0,"0"
"64","Chaetodon_capistratus",-1.566341188697,-1.25329413004306,-1.566341188697,0,0,"0"
"65","Chaetodon_fremblii",-1.566341188697,-1.99088232263141,-1.566341188697,1,6,"Chaetodon_fremblii"
"66","Chaetodon_lunula",-1.566341188697,-1.31466360122248,-1.566341188697,0,0,"0"
"67","Chaetodon_meyeri",-1.566341188697,-1.40463677164306,-1.566341188697,0,0,"0"
"68","Chaetodon_ornatissimus",-1.566341188697,-1.86011992737279,-1.566341188697,0,0,"0"
"69","Chaetodon_oxycephalus",-1.566341188697,-0.910011677635023,-1.566341188697,1,7,"Chaetodon_oxycephalus"
"70","Chaetodon_pelewensis",-1.566341188697,-1.7589845584976,-1.566341188697,0,0,"0"
"71","Chaetodon_reticulatus",-1.566341188697,-1.60686196519307,-1.566341188697,0,0,"0"
"72","Channichthys_rhinoceratus",-0.277804488053095,-0.272063656918437,-0.277804488053095,0,0,"0"
"73","Cheilinus_chlorourus",-1.0157360694961,-1.12108995190683,-1.0157360694961,0,0,"0"
"74","Cheilodipterus_quinquelineatus",-0.538292741748201,-0.533852913037812,-0.538292741748201,0,0,"0"
"75","Cheilopogon_cyanopterus",-1.0549780968595,-1.06864695446004,-1.0549780968595,0,0,"0"
"76","Cheilopogon_furcatus",-1.0549780968595,-1.11012747465237,-1.0549780968595,0,0,"0"
"77","Cheimerius_nufar",-1.1765487147414,-1.08257587264709,-1.1765487147414,0,0,"0"
"78","Chitonotus_pugetensis",-0.907459569208269,-0.662241755604673,-0.907459569208269,0,0,"0"
"79","Chlorurus_microrhinos",-1.43488978048525,-1.73672326970487,-1.43488978048525,0,0,"0"
"80","Chlorurus_oedema",-1.43488978048525,-1.78608641707859,-1.43488978048525,0,0,"0"
"81","Chromis_limbata",-1.50445826604451,-1.50583007212783,-1.50445826604451,0,0,"0"
"82","Chromis_opercularis",-1.50445826604451,-1.50674788768728,-1.50445826604451,0,0,"0"
"83","Chromis_punctipinnis",-1.50445826604451,-1.52487922324512,-1.50445826604451,0,0,"0"
"84","Chromis_xanthochira",-1.50445826604451,-1.36126961949664,-1.50445826604451,0,0,"0"
"85","Chrysiptera_galba",-1.47574491486976,-1.35945986015964,-1.47574491486976,0,0,"0"
"86","Cirrhitus_rivulatus",-0.976414044290148,-1.10096803262956,-0.976414044290148,0,0,"0"
"87","Citharichthys_xanthostigma",-1.1293798997535,-0.910696109544206,-1.1293798997535,0,0,"0"
"88","Clepticus_parrae",-1.1522380299248,-1.3486988205013,-1.1522380299248,0,0,"0"
"89","Clidoderma_asperrimum",-1.17659191532226,-1.08420692064838,-1.17659191532226,0,0,"0"
"90","Clinocottus_globiceps",-1.08743068782172,-1.07903714965663,-1.08743068782172,0,0,"0"
"91","Cociella_heemstrai",-0.486583609507605,-0.408914727016239,-0.486583609507605,0,0,"0"
"92","Coelorinchus_marinii",-1.11788721252049,-1.22825234260669,-1.11788721252049,0,0,"0"
"93","Cololabis_saira",-0.32458345558531,-0.605605038124864,-0.32458345558531,0,0,"0"
"94","Coris_aygula",-1.28897018411814,-1.34161094846282,-1.28897018411814,0,0,"0"
"95","Coryphaenoides_rupestris",-1.050319906395,-1.10204854362399,-1.050319906395,0,0,"0"
"96","Coryphopterus_dicrus",-0.976123707985171,-1.11280266551549,-0.976123707985171,0,0,"0"
"97","Cosmocampus_elucens",-2.07816051338849,-2.00382893090624,-2.07816051338849,1,8,"Cosmocampus_elucens"
"98","Cottoperca_gobio",-0.921259978720629,-0.422212285180745,-0.921259978720629,1,9,"Cottoperca_gobio"
"99","Ctenogobiops_feroculus",-1.02328591018369,-0.928494100787493,-1.02328591018369,0,0,"0"
"100","Cyclopsetta_chittendeni",-1.1308522214037,-0.702295025104081,-1.1308522214037,0,0,"0"
"101","Cynoglossus_zanzibarensis",-1.4082129880854,-1.25900680049741,-1.4082129880854,0,0,"0"
"102","Cynoscion_microlepidotus",-0.669090555155428,-0.639869716446976,-0.669090555155428,0,0,"0"
"103","Cynoscion_othonopterus",-0.669090555155428,-0.596567039539261,-0.669090555155428,0,0,"0"
"104","Cynoscion_virescens",-0.669090555155428,-0.687838190910486,-0.669090555155428,0,0,"0"
"105","Cypselurus_poecilopterus",-1.11723371615055,-1.19284448760235,-1.11723371615055,0,0,"0"
"106","Cyttopsis_cypho",-0.693254364610399,-0.616364716285444,-0.693254364610399,0,0,"0"
"107","Dactyloptena_peterseni",-1.15084599566738,-1.16463042280538,-1.15084599566738,0,0,"0"
"108","Dactylopterus_volitans",-1.16430627264929,-1.2913768716911,-1.16430627264929,0,0,"0"
"109","Dascyllus_melanurus",-1.61019194581757,-1.63902516864124,-1.61019194581757,0,0,"0"
"110","Decapterus_akaadsi",-1.00147828741654,-0.944233583382877,-1.00147828741654,0,0,"0"
"111","Decapterus_punctatus",-1.00147828741654,-1.05629409397034,-1.00147828741654,0,0,"0"
"112","Dentex_macrophthalmus",-1.03753923162652,-0.916660780609169,-1.03753923162652,0,0,"0"
"113","Diancistrus_fuscus",-0.864962164653802,-0.782225992139343,-0.864962164653802,0,0,"0"
"114","Diaphus_effulgens",-0.374698848889894,-0.520446635002719,-0.374698848889894,0,0,"0"
"115","Diapterus_auratus",-0.908695860797978,-0.865546564565374,-0.908695860797978,0,0,"0"
"116","Dicentrarchus_punctatus",-0.833080764857385,-0.521271656779322,-0.833080764857385,0,0,"0"
"117","Diplodus_holbrookii",-1.35592106763151,-1.32890413308557,-1.35592106763151,0,0,"0"
"118","Diploprion_bifasciatum",-0.69035825713743,-0.733212492154346,-0.69035825713743,0,0,"0"
"119","Dorosoma_petenense",-1.30358328496211,-1.04244464086958,-1.30358328496211,0,0,"0"
"120","Drombus_ocyurus",-0.988812564360427,-1.04192902086903,-0.988812564360427,0,0,"0"
"121","Echidna_nebulosa",-0.750110481650424,-0.942959117917247,-0.750110481650424,0,0,"0"
"122","Elacatinus_xanthiprora",-0.987612715215285,-1.0056259748172,-0.987612715215285,0,0,"0"
"123","Elates_ransonnettii",-0.490401589346691,-0.350554369485454,-0.490401589346691,0,0,"0"
"124","Elops_affinis",-0.560491134419915,-0.490905831091117,-0.560491134419915,0,0,"0"
"125","Elops_machnata",-0.560491134419915,-0.545465026487423,-0.560491134419915,0,0,"0"
"126","Enchelycore_nigricans",-0.505730404398727,-0.744398470813827,-0.505730404398727,0,0,"0"
"127","Engraulis_australis",-0.318278980140728,-0.207889236711448,-0.318278980140728,0,0,"0"
"128","Epinephelus_amblycephalus",-0.639989217782952,-0.555609712130726,-0.639989217782952,0,0,"0"
"129","Epinephelus_costae",-0.639989217782952,-0.648082536036565,-0.639989217782952,0,0,"0"
"130","Epinephelus_fasciatomaculosus",-0.639989217782952,-0.736922681643647,-0.639989217782952,0,0,"0"
"131","Epinephelus_itajara",-0.639989217782952,-0.784534731564044,-0.639989217782952,0,0,"0"
"132","Epinephelus_labriformis",-0.639989217782952,-0.711821188193265,-0.639989217782952,0,0,"0"
"133","Epinephelus_merra",-0.639989217782952,-0.59257784935603,-0.639989217782952,0,0,"0"
"134","Epinephelus_sexfasciatus",-0.639989217782952,-0.761039813074285,-0.639989217782952,0,0,"0"
"135","Equulites_laterofenestra",-1.10111650207757,-1.10596214831607,-1.10111650207757,0,0,"0"
"136","Eustomias_acinosus",-0.193718749590659,-0.194655480087511,-0.193718749590659,0,0,"0"
"137","Eustomias_jimcraddocki",-0.193718749590659,-0.223354991923739,-0.193718749590659,0,0,"0"
"138","Evorthodus_lyricus",-0.989249618884117,-1.12939209793585,-0.989249618884117,0,0,"0"
