"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_concolor",-0.876336203194643,-0.790563589710077,-0.876336203194643,0,0,"0"
"2","Abudefduf_saxatilis",-0.876336203194643,-0.845763310261449,-0.876336203194643,0,0,"0"
"3","Abudefduf_taurus",-0.876336203194643,-0.758194629984984,-0.876336203194643,0,0,"0"
"4","Acanthurus_achilles",-0.947796861488773,-0.998091864989738,-0.947796861488773,0,0,"0"
"5","Acanthurus_nigrofuscus",-0.947796861488773,-0.919330771842125,-0.947796861488773,0,0,"0"
"6","Ahlia_egmontis",-1.27645738221537,-1.34534073959009,-1.27645738221537,0,0,"0"
"7","Aidablennius_sphynx",-0.734574296584026,-0.558095945788703,-0.734574296584026,0,0,"0"
"8","Akarotaxis_nudiceps",-0.651492137102067,-0.622287196455102,-0.651492137102067,0,0,"0"
"9","Aluterus_heudelotii",-1.17860478258915,-1.20070747182481,-1.17860478258915,0,0,"0"
"10","Amblyeleotris_fasciata",-0.689513701034217,-0.844694028434635,-0.689513701034217,0,0,"0"
"11","Amblyeleotris_wheeleri",-0.689513701034217,-0.635123900741007,-0.689513701034217,0,0,"0"
"12","Amphiprion_bicinctus",-0.800285461224439,-0.769641448413752,-0.800285461224439,0,0,"0"
"13","Anchoa_cayorum",-1.05219991229579,-1.10902511612914,-1.05219991229579,0,0,"0"
"14","Anchoa_nasus",-1.05219991229579,-1.1210559183298,-1.05219991229579,0,0,"0"
"15","Antennarius_commerson",-0.438751018410104,-0.552370651808455,-0.438751018410104,0,0,"0"
"16","Anthias_anthias",-0.81100116636875,-0.853753407382757,-0.81100116636875,0,0,"0"
"17","Antigonia_rubescens",-1.07466226128922,-1.04227017522616,-1.07466226128922,0,0,"0"
"18","Antimora_microlepis",-0.717555426179575,-0.733477448209273,-0.717555426179575,0,0,"0"
"19","Apogon_doryssa",-0.720711860540594,-0.703422880186097,-0.720711860540594,0,0,"0"
"20","Aptocyclus_ventricosus",-0.524279036856566,-0.276680965153231,-0.524279036856566,1,1,"Aptocyclus_ventricosus"
