"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_concolor",-1.03312718392155,-0.997457937045753,-1.03312718392155,0,0,"0"
"2","Abudefduf_saxatilis",-1.03312718392155,-1.06106573147325,-1.03312718392155,0,0,"0"
"3","Abudefduf_taurus",-1.03312718392155,-1.04173990528887,-1.03312718392155,0,0,"0"
"4","Acanthurus_achilles",-1.39014716651468,-1.39699089596424,-1.39014716651468,0,0,"0"
"5","Acanthurus_nigrofuscus",-1.39014716651468,-1.31033815969305,-1.39014716651468,0,0,"0"
"6","Ahlia_egmontis",-2.82461538990977,-2.97364118477182,-2.82461538990977,0,0,"0"
"7","Aidablennius_sphynx",-1.37710158080161,-1.32793463252034,-1.37710158080161,0,0,"0"
"8","Akarotaxis_nudiceps",-1.9413628293982,-2.18698749678644,-1.9413628293982,0,0,"0"
"9","Aluterus_heudelotii",-1.26452526582322,-1.39239374380453,-1.26452526582322,0,0,"0"
"10","Amblyeleotris_fasciata",-1.09772731485269,-1.03126623872482,-1.09772731485269,0,0,"0"
"11","Amblyeleotris_wheeleri",-1.09772731485269,-1.14825427432468,-1.09772731485269,0,0,"0"
"12","Amphiprion_bicinctus",-1.04768601989271,-1.13459776783918,-1.04768601989271,0,0,"0"
"13","Anchoa_cayorum",-1.12269271464493,-1.02966259718234,-1.12269271464493,0,0,"0"
"14","Anchoa_nasus",-1.12269271464493,-1.05155893703149,-1.12269271464493,0,0,"0"
"15","Antennarius_commerson",-1.47976971403224,-1.42788419670255,-1.47976971403224,0,0,"0"
"16","Anthias_anthias",-1.18895139968103,-1.08425124073215,-1.18895139968103,0,0,"0"
"17","Antigonia_rubescens",-1.37694856689442,-1.41425435226321,-1.37694856689442,0,0,"0"
"18","Antimora_microlepis",-2.39007094815886,-2.32350960449865,-2.39007094815886,0,0,"0"
"19","Apogon_doryssa",-1.12993946555251,-1.42355868045968,-1.12993946555251,0,0,"0"
"20","Aptocyclus_ventricosus",-1.74442485270147,-1.60475685164443,-1.74442485270147,0,0,"0"
"21","Arripis_trutta",-1.98242743043067,-1.4725889314418,-1.98242743043067,0,0,"0"
"22","Assessor_macneilli",-1.21306941569482,-0.79347607677871,-1.21306941569482,0,0,"0"
"23","Atrobucca_nibe",-1.37783361759894,-1.5227123586465,-1.37783361759894,0,0,"0"
"24","Atypichthys_strigatus",-1.34909183395741,-1.2407553428577,-1.34909183395741,0,0,"0"
"25","Avocettina_infans",-3.13872147777951,-3.01455252422001,-3.13872147777951,1,1,"Avocettina_infans"
"26","Awaous_melanocephalus",-1.15631243241137,-1.15541319962034,-1.15631243241137,0,0,"0"
"27","Bagre_bagre",-1.57946134996202,-1.3864391138133,-1.57946134996202,0,0,"0"
"28","Bagre_marinus",-1.57946134996202,-1.58897216109441,-1.57946134996202,0,0,"0"
"29","Bajacalifornia_burragei",-1.46262146700524,-1.22477855060087,-1.46262146700524,0,0,"0"
"30","Balistoides_conspicillum",-1.65780037858651,-1.82929497882604,-1.65780037858651,0,0,"0"
"31","Bassanago_albescens",-2.91962670730193,-3.01518162531853,-2.91962670730193,0,0,"0"
"32","Bathygadus_macrops",-3.47895137965606,-3.93583934557378,-3.47895137965606,0,0,"0"
"33","Bathygadus_melanobranchus",-3.47895137965606,-3.18419474007052,-3.47895137965606,1,2,"Bathygadus_melanobranchus"
"34","Bathygobius_cocosensis",-1.0661424142618,-1.11461776040324,-1.0661424142618,0,0,"0"
"35","Bathygobius_ramosus",-1.0661424142618,-1.07409008528,-1.0661424142618,0,0,"0"
"36","Bathylagus_euryops",-1.4888991936106,-1.84564583594258,-1.4888991936106,0,0,"0"
"37","Bembrops_heterurus",-1.75207569756961,-1.60781085432733,-1.75207569756961,0,0,"0"
"38","Benthodesmus_simonyi",-3.52722687574519,-3.709403448636,-3.52722687574519,0,0,"0"
"39","Bodianus_mesothorax",-0.931857153740219,-0.842289348654477,-0.931857153740219,0,0,"0"
"40","Bodianus_rufus",-0.931857153740219,-0.806179887966057,-0.931857153740219,0,0,"0"
"41","Bothus_lunatus",-1.21588093826419,-1.18475119671169,-1.21588093826419,0,0,"0"
"42","Brachydeuterus_auritus",-1.34099702508991,-1.41557961121541,-1.34099702508991,0,0,"0"
"43","Brachyistius_frenatus",-1.18592534870349,-0.958553975518173,-1.18592534870349,0,0,"0"
