"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abalistes_filamentosus",3.5083986566171,3.38000011444092,3.5083986566171,0,0,"0"
"2","Abantennarius_analis",3.92272454788394,4,3.92272454788394,0,0,"0"
"3","Abantennarius_drombus",3.92272454788394,4.28000020980835,3.92272454788394,0,0,"0"
"4","Abantennarius_nummifer",3.92272454788394,4.2,3.92272454788394,0,0,"0"
"5","Abantennarius_sanguineus",3.92272454788394,4.03000020980835,3.92272454788394,0,0,"0"
"6","Ablabys_macracanthus",3.21266848321544,3.25,3.21266848321544,0,0,"0"
"7","Ablabys_pauciporus",3.21266848321544,3.11999988555908,3.21266848321544,0,0,"0"
"8","Abudefduf_concolor",2.80649274413863,2.68,2.80649274413863,0,0,"0"
"9","Abudefduf_saxatilis",2.80649274413863,3.82,2.80649274413863,1,1,"Abudefduf_saxatilis"
"10","Abudefduf_taurus",2.80649274413863,2.14,2.80649274413863,1,2,"Abudefduf_taurus"
"11","Acanthaphritis_grandisquamis",3.33926514332152,3.34999990463257,3.33926514332152,0,0,"0"
"12","Acanthaphritis_unoorum",3.33926514332152,3.34999990463257,3.33926514332152,0,0,"0"
"13","Acanthemblemaria_macrospilus",3.29816243277181,3.4,3.29816243277181,0,0,"0"
"14","Acanthemblemaria_maria",3.29816243277181,3.36999988555908,3.29816243277181,0,0,"0"
"15","Acanthistius_fuscus",3.98656222692643,4.03000020980835,3.98656222692643,0,0,"0"
"16","Acanthoplesiops_psilogaster",3.22909384112815,3.27999997138977,3.22909384112815,0,0,"0"
"17","Acanthurus_achilles",2.31890864070462,2,2.31890864070462,0,0,"0"
"18","Acanthurus_leucocheilus",2.31890864070462,2,2.31890864070462,0,0,"0"
"19","Acanthurus_leucosternon",2.31890864070462,2,2.31890864070462,0,0,"0"
"20","Acanthurus_maculiceps",2.31890864070462,2,2.31890864070462,0,0,"0"
"21","Acanthurus_nigrofuscus",2.31890864070462,2,2.31890864070462,0,0,"0"
"22","Acentrogobius_caninus",3.35724468821351,3.5,3.35724468821351,0,0,"0"
"23","Acentrogobius_cenderawasih",3.35724468821351,3.20000004768372,3.35724468821351,0,0,"0"
"24","Acentrogobius_griseus",3.35724468821351,3.35999989509583,3.35724468821351,0,0,"0"
"25","Achirus_mazatlanus",3.41732863304605,3.2,3.41732863304605,0,0,"0"
"26","Acreichthys_hajam",2.95164875362531,2.91000008583069,2.95164875362531,0,0,"0"
"27","Acromycter_nezumi",3.72305275612966,3.8199999332428,3.72305275612966,0,0,"0"
"28","Acromycter_perturbator",3.72305275612966,3.73000001907349,3.72305275612966,0,0,"0"
"29","Acroteriobatus_blochii",3.48952731123097,3.49000000953674,3.48952731123097,0,0,"0"
"30","Acroteriobatus_ocellatus",3.48952731123097,3.46000003814697,3.48952731123097,0,0,"0"
"31","Acroteriobatus_stehmanni",3.48952731123097,3.4300000667572,3.48952731123097,0,0,"0"
