"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Acanthurus_leucosternon",6.2611529806042,5.05210814876109,6.2611529806042,0,0,"0"
"2","Acanthurus_nigrofuscus",6.2611529806042,4.69299789635361,6.2611529806042,0,0,"0"
"3","Achirus_mazatlanus",4.48779142504678,5.04102517484459,4.48779142504678,0,0,"0"
"4","Ammodytes_hexapterus",4.057164901692,3.45389524473668,4.057164901692,0,0,"0"
"5","Anchoa_nasus",2.61745035017496,1.48688037194775,2.61745035017496,0,0,"0"
"6","Antimora_microlepis",7.35787251763786,9.39243102628088,7.35787251763786,0,0,"0"
"7","Argyrosomus_regius",9.22622566492585,10.9754925514834,9.22622566492585,0,0,"0"
"8","Arripis_georgiana",7.54644456011791,5.13409839868594,7.54644456011791,0,0,"0"
"9","Arripis_trutta",7.54644456011791,6.82599974943302,7.54644456011791,0,0,"0"
"10","Arripis_truttacea",7.54644456011791,8.30714855351719,7.54644456011791,0,0,"0"
"11","Atractoscion_nobilis",8.2572263847593,10.2363819678095,8.2572263847593,0,0,"0"
"12","Atrobucca_nibe",6.81393519658563,6.68897718517757,6.81393519658563,0,0,"0"
"13","Bathyraja_maculata",8.87408454678633,9.99908746309172,8.87408454678633,0,0,"0"
"14","Beringraja_rhina",9.11694173804225,9.68380705308616,9.11694173804225,0,0,"0"
"15","Beryx_decadactylus",7.36607759856517,7.98735442123201,7.36607759856517,0,0,"0"
"16","Brachydeuterus_auritus",7.21450663780978,5.27645440421856,7.21450663780978,0,0,"0"
"17","Calamus_proridens",7.24469403460337,5.72710826739489,7.24469403460337,0,0,"0"
"18","Carangoides_chrysophrys",6.95336438639087,8.36935925975003,6.95336438639087,0,0,"0"
"19","Caranx_hippos",8.66630154433804,9.13501049976039,8.66630154433804,0,0,"0"
"20","Caranx_ignobilis",8.66630154433804,11.6794811381874,8.66630154433804,0,0,"0"
"21","Caranx_senegallus",8.66630154433804,7.75027458021997,8.66630154433804,0,0,"0"
"22","Carcharhinus_longimanus",10.9089616415043,12.7709970854621,10.9089616415043,0,0,"0"
"23","Carcharhinus_obscurus",10.9089616415043,13.5987872252654,10.9089616415043,0,0,"0"
"24","Carlarius_parkii",8.07916105174969,8.23547390616183,8.07916105174969,0,0,"0"
"25","Caulolatilus_affinis",8.4887921379485,7.39673688493144,8.4887921379485,0,0,"0"
"26","Centropomus_armatus",8.39297921644106,7.11277305038543,8.39297921644106,0,0,"0"
"27","Centropyge_bicolor",6.34186755380636,2.27764772545362,6.34186755380636,1,1,"Centropyge_bicolor"
"28","Cheilopogon_cyanopterus",5.0173774986639,5.14419164474266,5.0173774986639,0,0,"0"
"29","Cheimerius_nufar",7.40884500182063,9.22888464439546,7.40884500182063,0,0,"0"
