"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abalistes_filamentosus",-3.67911248602193,1,-3.67911248602193,1,1,"Abalistes_filamentosus"
"2","Abantennarius_analis",-3.17711858646162,0,-3.17711858646162,0,0,"0"
"3","Abantennarius_drombus",-3.17711858646162,0,-3.17711858646162,0,0,"0"
"4","Abantennarius_nummifer",-3.17711858646162,0,-3.17711858646162,0,0,"0"
"5","Abantennarius_sanguineus",-3.17711858646162,0,-3.17711858646162,0,0,"0"
"6","Ablabys_macracanthus",-4.80768273510058,0,-4.80768273510058,0,0,"0"
"7","Ablabys_pauciporus",-4.80768273510058,0,-4.80768273510058,0,0,"0"
"8","Abudefduf_concolor",-5.05406202580152,0,-5.05406202580152,0,0,"0"
"9","Abudefduf_saxatilis",-5.05406202580152,0,-5.05406202580152,0,0,"0"
"10","Abudefduf_taurus",-5.05406202580152,0,-5.05406202580152,0,0,"0"
"11","Acanthaphritis_grandisquamis",-3.24968777683278,0,-3.24968777683278,0,0,"0"
"12","Acanthaphritis_unoorum",-3.24968777683278,0,-3.24968777683278,0,0,"0"
"13","Acanthemblemaria_macrospilus",-5.3652047029789,0,-5.3652047029789,0,0,"0"
"14","Acanthemblemaria_maria",-5.3652047029789,0,-5.3652047029789,0,0,"0"
"15","Acanthistius_fuscus",-2.64479163856164,1,-2.64479163856164,1,2,"Acanthistius_fuscus"
"16","Acanthoplesiops_psilogaster",-1.56374287836122,0,-1.56374287836122,0,0,"0"
"17","Acanthurus_achilles",-5.28219062989838,0,-5.28219062989838,0,0,"0"
"18","Acanthurus_leucocheilus",-5.28219062989838,0,-5.28219062989838,0,0,"0"
"19","Acanthurus_leucosternon",-5.28219062989838,0,-5.28219062989838,0,0,"0"
"20","Acanthurus_maculiceps",-5.28219062989838,0,-5.28219062989838,0,0,"0"
"21","Acanthurus_nigrofuscus",-5.28219062989838,0,-5.28219062989838,0,0,"0"
"22","Acentrogobius_caninus",-4.60479706270082,0,-4.60479706270082,0,0,"0"
"23","Acentrogobius_cenderawasih",-4.60479706270082,0,-4.60479706270082,0,0,"0"
"24","Acentrogobius_griseus",-4.60479706270082,0,-4.60479706270082,0,0,"0"
"25","Achirus_mazatlanus",-5.10059659495331,0,-5.10059659495331,0,0,"0"
"26","Acreichthys_hajam",-4.28078322707795,0,-4.28078322707795,0,0,"0"
"27","Acromycter_nezumi",-2.71332766436861,0,-2.71332766436861,0,0,"0"
"28","Acromycter_perturbator",-2.71332766436861,0,-2.71332766436861,0,0,"0"
"29","Acroteriobatus_blochii",-3.48642184422333,0,-3.48642184422333,0,0,"0"
"30","Acroteriobatus_ocellatus",-3.48642184422333,0,-3.48642184422333,0,0,"0"
"31","Acroteriobatus_stehmanni",-3.48642184422333,0,-3.48642184422333,0,0,"0"
"32","Adelosebastes_latens",-4.03291133587701,0,-4.03291133587701,0,0,"0"
"33","Aetobatus_narinari",-3.7872888139564,0,-3.7872888139564,0,0,"0"
"34","Aetomylaeus_caeruleofasciatus",-4.10451019739647,1,-4.10451019739647,1,3,"Aetomylaeus_caeruleofasciatus"
"35","Aetomylaeus_maculatus",-4.10451019739647,0,-4.10451019739647,0,0,"0"
"36","Ahlia_egmontis",-4.38343570429309,0,-4.38343570429309,0,0,"0"
"37","Aidablennius_sphynx",-4.00226737425735,0,-4.00226737425735,0,0,"0"
"38","Akarotaxis_nudiceps",-4.43405651029504,0,-4.43405651029504,0,0,"0"
"39","Alabes_parvula",-4.71434738799487,0,-4.71434738799487,0,0,"0"
"40","Alcichthys_elongatus",-4.97592699284632,0,-4.97592699284632,0,0,"0"
"41","Aldrovandia_gracilis",0.0805456344582136,1,0.0805456344582136,0,0,"0"
"42","Alepes_vari",-1.23952559973874,1,-1.23952559973874,1,4,"Alepes_vari"
"43","Alionematichthys_ceylonensis",-4.54725779841267,0,-4.54725779841267,0,0,"0"
"44","Allocareproctus_kallaion",-2.97242512729598,0,-2.97242512729598,0,0,"0"
"45","Alticus_arnoldorum",-4.24342329314728,0,-4.24342329314728,0,0,"0"
"46","Aluterus_heudelotii",-4.46772415905179,0,-4.46772415905179,0,0,"0"
"47","Amblyeleotris_fasciata",-4.70831939918338,0,-4.70831939918338,0,0,"0"
"48","Amblyeleotris_harrisorum",-4.70831939918338,0,-4.70831939918338,0,0,"0"
"49","Amblyeleotris_randalli",-4.70831939918338,0,-4.70831939918338,0,0,"0"
"50","Amblyeleotris_wheeleri",-4.70831939918338,0,-4.70831939918338,0,0,"0"
"51","Amblyotrypauchen_arctocephalus",-4.02999406747161,0,-4.02999406747161,0,0,"0"
"52","Ammodytes_hexapterus",-3.02957175477094,0,-3.02957175477094,0,0,"0"
"53","Ammodytoides_pylei",-1.74513683390085,0,-1.74513683390085,0,0,"0"
"54","Amphiprion_bicinctus",-5.16453806513334,0,-5.16453806513334,0,0,"0"
"55","Amphiprion_ephippium",-5.16453806513334,0,-5.16453806513334,0,0,"0"
"56","Anampses_lennardi",-4.3316717403203,0,-4.3316717403203,0,0,"0"
"57","Anchoa_analis",3.33406961915027,1,3.33406961915027,1,5,"Anchoa_analis"
"58","Anchoa_belizensis",3.33406961915027,1,3.33406961915027,1,6,"Anchoa_belizensis"
"59","Anchoa_cayorum",3.33406961915027,1,3.33406961915027,1,7,"Anchoa_cayorum"
