"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Argyrosomus_inodorus",4.02592932743934,3.62434093297637,4.02592932743934,0,0,"0"
"2","Bathyraja_maculata",4.21316906013746,4.55912624748668,4.21316906013746,0,0,"0"
"3","Boops_boops",3.17692878136519,2.64546532591059,3.17692878136519,0,0,"0"
"4","Branchiostegus_japonicus",3.21926464376818,3.32323584019244,3.21926464376818,0,0,"0"
"5","Dentex_macrophthalmus",3.33867589348786,2.74406063862524,3.33867589348786,0,0,"0"
"6","Dentex_maroccanus",3.33867589348786,2.76000994003292,3.33867589348786,0,0,"0"
"7","Dicologlossa_cuneata",2.7217915754981,2.82435065679837,2.7217915754981,0,0,"0"
"8","Glyptocephalus_cynoglossus",3.03961928072042,3.36729582998647,3.03961928072042,0,0,"0"
"9","Lepidopus_caudatus",3.76258475443624,4.64439089914137,3.76258475443624,0,0,"0"
"10","Melanogrammus_aeglefinus",3.23634561322103,3.56009866424801,3.23634561322103,0,0,"0"
"11","Microstomus_pacificus",3.43107050551884,3.43398720448515,3.43107050551884,0,0,"0"
"12","Parupeneus_forsskali",2.81602199576186,2.73436750941958,2.81602199576186,0,0,"0"
"13","Platycephalus_grandispinis",3.30792093783053,2.78809290877575,3.30792093783053,0,0,"0"
"14","Priacanthus_hamrur",3.06835917651282,2.98568193770049,3.06835917651282,0,0,"0"
"15","Prionace_glauca",4.5133646612424,5.38449506278909,4.5133646612424,0,0,"0"
"16","Prionotus_stephanophrys",2.89213057448554,3.11794990627824,2.89213057448554,0,0,"0"
"17","Pseudopleuronectes_americanus",3.01085552408834,3.30908209275435,3.01085552408834,0,0,"0"
"18","Pseudotolithus_typus",3.35987981422463,3.87743156065853,3.35987981422463,0,0,"0"
"19","Raja_montagui",4.06639141852235,4.01367665915465,4.06639141852235,0,0,"0"
"20","Sardina_pilchardus",2.78746690491449,2.64143545202023,2.78746690491449,0,0,"0"
"21","Sardinella_brasiliensis",2.6168795827358,2.82137888640921,2.6168795827358,0,0,"0"
"22","Scomberomorus_commerson",3.99003868351047,4.31748811353631,3.99003868351047,0,0,"0"
"23","Selaroides_leptolepis",3.27343184234473,2.31253542384721,3.27343184234473,1,1,"Selaroides_leptolepis"
"24","Selene_dorsalis",2.97381673382377,2.60268968544438,2.97381673382377,0,0,"0"
"25","Sillaginodes_punctatus",3.24181679363657,3.46573590279973,3.24181679363657,0,0,"0"
"26","Solea_solea",3.1249578060036,2.90690105984738,3.1249578060036,0,0,"0"
"27","Sparus_aurata",3.19966943297283,3.48431228837266,3.19966943297283,0,0,"0"
"28","Stolephorus_insularis",2.33417286483484,1.79175946922805,2.33417286483484,0,0,"0"
"29","Stolephorus_waitei",2.33417286483484,2.11625551480255,2.33417286483484,0,0,"0"
"30","Trisopterus_minutus",3.04224018303239,2.6620062626008,3.04224018303239,0,0,"0"
"31","Tylosurus_acus",3.67844402042348,3.86911550441687,3.67844402042348,0,0,"0"
"32","Upeneus_vittatus",2.59903752111191,2.45958884180371,2.59903752111191,0,0,"0"
"33","Achoerodus_gouldii",2.74164060961613,4.17899203628239,2.74164060961613,1,2,"Achoerodus_gouldii"
"34","Amblyraja_radiata",4.28924154064824,3.8286413964891,4.28924154064824,0,0,"0"
"35","Anchoa_mitchilli",2.13155004813899,1.52169899812609,2.13155004813899,0,0,"0"
"36","Atherina_boyeri",2.1158055797803,1.45278410238872,2.1158055797803,0,0,"0"
"37","Cynoscion_albus",3.05650295097443,4.27666611901606,3.05650295097443,1,3,"Cynoscion_albus"
