"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_bengalensis",-0.860851546120785,-0.891311350137226,-0.860851546120785,0,0,"0"
"2","Acanthochaenus_luetkenii",-0.773909319103158,-0.638230947707742,-0.773909319103158,0,0,"0"
"3","Acentrogobius_audax",-0.535652942892143,-0.702098220555232,-0.535652942892143,0,0,"0"
"4","Aluterus_monoceros",-1.18714865632866,-1.16217349861033,-1.18714865632866,0,0,"0"
"5","Amblyglyphidodon_aureus",-0.911783859334398,-0.907195825225583,-0.911783859334398,0,0,"0"
"6","Anarchias_seychellensis",-1.23105808532748,-1.4510148712649,-1.23105808532748,1,1,"Anarchias_seychellensis"
"7","Anchoa_choerostoma",-1.0618087198706,-1.01966215169109,-1.0618087198706,0,0,"0"
"8","Anisotremus_interruptus",-0.816733479432176,-0.834194495582413,-0.816733479432176,0,0,"0"
"9","Antennarius_indicus",-0.442237555990049,-0.52885672635026,-0.442237555990049,0,0,"0"
"10","Aphanopus_intermedius",-1.24093085678091,-1.20657514228367,-1.24093085678091,0,0,"0"
"11","Apogon_caudicinctus",-0.721610966883725,-0.698455317623521,-0.721610966883725,0,0,"0"
"12","Apogon_dovii",-0.721610966883725,-0.751279374936134,-0.721610966883725,0,0,"0"
"13","Apogon_pacificus",-0.721610966883725,-0.771621992616155,-0.721610966883725,0,0,"0"
"14","Apogon_robinsi",-0.721610966883725,-0.783725086892631,-0.721610966883725,0,0,"0"
"15","Apogon_semiornatus",-0.721610966883725,-0.566286843693354,-0.721610966883725,0,0,"0"
"16","Arctoscopus_japonicus",-0.701227397498921,-0.90257775821362,-0.701227397498921,0,0,"0"
"17","Argyropelecus_aculeatus",-1.09600388713985,-0.829339619133967,-1.09600388713985,1,2,"Argyropelecus_aculeatus"
"18","Argyropelecus_gigas",-1.09600388713985,-0.935706830214723,-1.09600388713985,0,0,"0"
"19","Ariosoma_meeki",-1.11160621771482,-0.986295988443307,-1.11160621771482,0,0,"0"
"20","Arnoglossus_laterna",-1.42743000197115,-1.10877193306173,-1.42743000197115,1,3,"Arnoglossus_laterna"
"21","Arnoglossus_thori",-1.42743000197115,-1.45549460105859,-1.42743000197115,0,0,"0"
"22","Astrapogon_puncticulatus",-0.772759473776291,-0.800152143406825,-0.772759473776291,0,0,"0"
"23","Astrapogon_stellatus",-0.772759473776291,-0.764944296045531,-0.772759473776291,0,0,"0"
"24","Bagre_bagre",-0.531156674549594,-0.579663037213359,-0.531156674549594,0,0,"0"
"25","Bairdiella_ronchus",-0.814890135907242,-0.851308872006911,-0.814890135907242,0,0,"0"
"26","Balistes_capriscus",-0.911655985445316,-0.964250577626904,-0.911655985445316,0,0,"0"
"27","Bassanago_albescens",-1.10781089704051,-1.19009043879274,-1.10781089704051,0,0,"0"
"28","Bathylagus_tenuis",-0.852074776450151,-0.88502390175917,-0.852074776450151,0,0,"0"
"29","Belonoperca_chabanaudi",-0.692198874882756,-0.867417309100396,-0.692198874882756,0,0,"0"
"30","Bembras_japonica",-0.671664209301088,-0.554400629093363,-0.671664209301088,0,0,"0"
"31","Boops_boops",-0.900419125422552,-0.800117129849534,-0.900419125422552,0,0,"0"
"32","Borostomias_antarcticus",-1.04721930152595,-1.01363527832944,-1.04721930152595,0,0,"0"
"33","Bothrocara_molle",-0.922373851428109,-0.891199238221816,-0.922373851428109,0,0,"0"
"34","Branchiostegus_albus",-0.849723168880793,-0.866728628022835,-0.849723168880793,0,0,"0"
"35","Branchiostegus_japonicus",-0.849723168880793,-0.803531238517701,-0.849723168880793,0,0,"0"
"36","Branchiostegus_wardi",-0.849723168880793,-0.942910304545481,-0.849723168880793,0,0,"0"
"37","Brotulotaenia_nigra",-0.966331729323099,-1.21318213677903,-0.966331729323099,1,4,"Brotulotaenia_nigra"
"38","Caesio_teres",-0.840258634360442,-0.845961779573031,-0.840258634360442,0,0,"0"
"39","Calamus_brachysomus",-0.92376550736217,-0.939229855587734,-0.92376550736217,0,0,"0"
"40","Callionymus_decoratus",-0.243098186284347,-0.269678908949131,-0.243098186284347,1,5,"Callionymus_decoratus"
"41","Callionymus_lyra",-0.243098186284347,-0.203329627601666,-0.243098186284347,0,0,"0"
"42","Cantherhines_sandwichiensis",-1.02129028853901,-0.967095021348668,-1.02129028853901,0,0,"0"
"43","Canthidermis_maculata",-0.895031014518243,-0.816518281608321,-0.895031014518243,0,0,"0"
"44","Canthigaster_jactator",-0.615292051578744,-0.599652334292401,-0.615292051578744,0,0,"0"
"45","Canthigaster_leoparda",-0.615292051578744,-0.691867588457557,-0.615292051578744,0,0,"0"
"46","Canthigaster_rostrata",-0.615292051578744,-0.524415343063843,-0.615292051578744,0,0,"0"
"47","Carangoides_chrysophrys",-1.02319166393006,-1.03132591455993,-1.02319166393006,0,0,"0"
"48","Centropyge_bispinosa",-0.856176317289598,-0.824152858491771,-0.856176317289598,0,0,"0"
"49","Centropyge_eibli",-0.856176317289598,-0.832485443566285,-0.856176317289598,0,0,"0"
"50","Cephalopholis_sonnerati",-0.764172804313957,-0.845304175646279,-0.764172804313957,0,0,"0"
"51","Chaetodon_citrinellus",-1.06264625403086,-1.07524736031154,-1.06264625403086,0,0,"0"
"52","Chaetodon_melannotus",-1.06264625403086,-1.0296681464023,-1.06264625403086,0,0,"0"
"53","Chaetodon_plebeius",-1.06264625403086,-1.01769815343854,-1.06264625403086,0,0,"0"
"54","Chaetodon_striatus",-1.06264625403086,-1.02994163900144,-1.06264625403086,0,0,"0"
"55","Chaetodon_trifasciatus",-1.06264625403086,-1.03394182769703,-1.06264625403086,0,0,"0"
"56","Cheilinus_undulatus",-0.835203193307962,-0.879168503669084,-0.835203193307962,0,0,"0"
"57","Cheilopogon_spilopterus",-0.720618358186339,-0.732255601125126,-0.720618358186339,0,0,"0"
"58","Chelidonichthys_kumu",-0.600059367082872,-0.52672173010473,-0.600059367082872,0,0,"0"
"59","Chlorophthalmus_albatrossis",-0.726347551675778,-0.69809741093058,-0.726347551675778,0,0,"0"
"60","Chromis_atripectoralis",-0.88284496255148,-0.919162105085581,-0.88284496255148,0,0,"0"
"61","Chrysiptera_taupou",-0.845129194147436,-0.904382321614067,-0.845129194147436,0,0,"0"
"62","Coelorinchus_japonicus",-0.77031693539725,-0.571949970709986,-0.77031693539725,0,0,"0"
