"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_bengalensis",-1.03143970869057,-1.05101216190912,-1.03143970869057,0,0,"0"
"2","Acanthochaenus_luetkenii",-1.58261407510836,-1.49359403140902,-1.58261407510836,0,0,"0"
"3","Acentrogobius_audax",-1.06205384911768,-1.06581153398317,-1.06205384911768,0,0,"0"
"4","Aluterus_monoceros",-1.25355937311189,-1.42226742407816,-1.25355937311189,0,0,"0"
"5","Amblyglyphidodon_aureus",-1.11051079476963,-1.09932616279081,-1.11051079476963,0,0,"0"
"6","Anarchias_seychellensis",-2.80603676127727,-2.38979670301649,-2.80603676127727,1,1,"Anarchias_seychellensis"
"7","Anchoa_choerostoma",-1.1047969890924,-1.23930264804648,-1.1047969890924,0,0,"0"
"8","Anisotremus_interruptus",-1.3725760939881,-1.29443102881238,-1.3725760939881,0,0,"0"
"9","Antennarius_indicus",-1.48302235067397,-1.40894426102371,-1.48302235067397,0,0,"0"
"10","Aphanopus_intermedius",-3.55153958700426,-3.83135569708844,-3.55153958700426,0,0,"0"
"11","Apogon_caudicinctus",-1.15536963537749,-1.16713097055993,-1.15536963537749,0,0,"0"
"12","Apogon_dovii",-1.15536963537749,-0.920693580586991,-1.15536963537749,0,0,"0"
"13","Apogon_pacificus",-1.15536963537749,-1.00128560174806,-1.15536963537749,0,0,"0"
"14","Apogon_robinsi",-1.15536963537749,-1.120767605554,-1.15536963537749,0,0,"0"
"15","Apogon_semiornatus",-1.15536963537749,-1.28569350345489,-1.15536963537749,0,0,"0"
"16","Arctoscopus_japonicus",-1.72873832162482,-1.69287322766077,-1.72873832162482,0,0,"0"
"17","Argyropelecus_aculeatus",-1.44948514267792,-1.56918356525502,-1.44948514267792,0,0,"0"
"18","Argyropelecus_gigas",-1.44948514267792,-1.49664753919137,-1.44948514267792,0,0,"0"
"19","Ariosoma_meeki",-2.77738037531397,-3.02091397249065,-2.77738037531397,0,0,"0"
"20","Arnoglossus_laterna",-1.1908648380996,-1.08447636553765,-1.1908648380996,0,0,"0"
"21","Arnoglossus_thori",-1.1908648380996,-1.02867628219712,-1.1908648380996,0,0,"0"
"22","Astrapogon_puncticulatus",-1.09133096820052,-1.00389946579045,-1.09133096820052,0,0,"0"
"23","Astrapogon_stellatus",-1.09133096820052,-1.03921096951514,-1.09133096820052,0,0,"0"
"24","Bagre_bagre",-1.58135997009632,-1.3864391138133,-1.58135997009632,0,0,"0"
"25","Bairdiella_ronchus",-1.27679821798911,-1.23080786963828,-1.27679821798911,0,0,"0"
"26","Balistes_capriscus",-1.7021130262124,-1.66348556318807,-1.7021130262124,0,0,"0"
"27","Bassanago_albescens",-2.87284364518133,-3.01518162531853,-2.87284364518133,0,0,"0"
"28","Bathylagus_tenuis",-1.6276705762676,-1.43906198199597,-1.6276705762676,0,0,"0"
"29","Belonoperca_chabanaudi",-1.4100731441691,-0.777439855702998,-1.4100731441691,1,2,"Belonoperca_chabanaudi"
"30","Bembras_japonica",-1.73571851274717,-1.76359391558075,-1.73571851274717,0,0,"0"
"31","Boops_boops",-1.33162588292046,-1.5098444420732,-1.33162588292046,0,0,"0"
"32","Borostomias_antarcticus",-1.62068304054884,-1.46089096157845,-1.62068304054884,0,0,"0"
"33","Bothrocara_molle",-3.21852875079879,-3.45678412160242,-3.21852875079879,0,0,"0"
"34","Branchiostegus_albus",-1.20380367456375,-1.10976760366065,-1.20380367456375,0,0,"0"
"35","Branchiostegus_japonicus",-1.20380367456375,-1.186411084547,-1.20380367456375,0,0,"0"
"36","Branchiostegus_wardi",-1.20380367456375,-1.10257765680389,-1.20380367456375,0,0,"0"
"37","Brotulotaenia_nigra",-3.2052558085997,-2.67901117411932,-3.2052558085997,1,3,"Brotulotaenia_nigra"
"38","Caesio_teres",-1.4881594719094,-1.74467665986727,-1.4881594719094,0,0,"0"
"39","Calamus_brachysomus",-1.40237086330749,-1.55168465097763,-1.40237086330749,0,0,"0"
"40","Callionymus_decoratus",-1.78030675196329,-1.70667692931373,-1.78030675196329,0,0,"0"
"41","Callionymus_lyra",-1.78030675196329,-1.85310382504359,-1.78030675196329,0,0,"0"
"42","Cantherhines_sandwichiensis",-1.28652818188663,-1.30394561240889,-1.28652818188663,0,0,"0"
"43","Canthidermis_maculata",-1.54659394403383,-1.30150639686171,-1.54659394403383,0,0,"0"
"44","Canthigaster_jactator",-1.04920173345205,-0.915309673816501,-1.04920173345205,0,0,"0"
"45","Canthigaster_leoparda",-1.04920173345205,-1.01464098072061,-1.04920173345205,0,0,"0"
"46","Canthigaster_rostrata",-1.04920173345205,-1.06430861799931,-1.04920173345205,0,0,"0"
"47","Carangoides_chrysophrys",-2.17075367201635,-2.11761641928159,-2.17075367201635,0,0,"0"
"48","Centropyge_bispinosa",-1.28987974303202,-1.4191126869917,-1.28987974303202,0,0,"0"
"49","Centropyge_eibli",-1.28987974303202,-1.27617219368149,-1.28987974303202,0,0,"0"
"50","Cephalopholis_sonnerati",-1.09421434767678,-0.995106351576179,-1.09421434767678,0,0,"0"
"51","Chaetodon_citrinellus",-1.5291470084343,-1.48257824125959,-1.5291470084343,0,0,"0"
"52","Chaetodon_melannotus",-1.5291470084343,-1.55769243882135,-1.5291470084343,0,0,"0"
"53","Chaetodon_plebeius",-1.5291470084343,-1.46774300041957,-1.5291470084343,0,0,"0"
"54","Chaetodon_striatus",-1.5291470084343,-1.39374141356622,-1.5291470084343,0,0,"0"
"55","Chaetodon_trifasciatus",-1.5291470084343,-1.55473471252904,-1.5291470084343,0,0,"0"
"56","Cheilinus_undulatus",-0.950283271599253,-0.947604280949868,-0.950283271599253,0,0,"0"
"57","Cheilopogon_spilopterus",-1.41695839809881,-1.38862092668505,-1.41695839809881,0,0,"0"
"58","Chelidonichthys_kumu",-1.88980031343727,-1.78804415121591,-1.88980031343727,0,0,"0"
"59","Chlorophthalmus_albatrossis",-1.46977759760908,-1.46940143908587,-1.46977759760908,0,0,"0"
"60","Chromis_atripectoralis",-1.1138730528476,-1.15843214278734,-1.1138730528476,0,0,"0"
"61","Chrysiptera_taupou",-1.07795126737387,-1.07781653969609,-1.07795126737387,0,0,"0"
"62","Coelorinchus_japonicus",-3.7843041410705,-3.14433469981502,-3.7843041410705,1,4,"Coelorinchus_japonicus"
"63","Coelorinchus_marinii",-3.7843041410705,-4.74107144910304,-3.7843041410705,1,5,"Coelorinchus_marinii"
"64","Coryphaenoides_carapinus",-3.91446824488749,-3.88746018652633,-3.91446824488749,1,6,"Coryphaenoides_carapinus"
"65","Coryphaenoides_cinereus",-3.91446824488749,-4.05983309950225,-3.91446824488749,1,7,"Coryphaenoides_cinereus"
"66","Coryphaenoides_leptolepis",-3.91446824488749,-3.78944036049354,-3.91446824488749,1,8,"Coryphaenoides_leptolepis"
"67","Coryphaenoides_longifilis",-3.91446824488749,-3.950762492509,-3.91446824488749,1,9,"Coryphaenoides_longifilis"
"68","Coryphopterus_venezuelae",-1.13984852930253,-1.02963494889899,-1.13984852930253,0,0,"0"
"69","Cottoperca_gobio",-1.79443405194027,-1.56761645511591,-1.79443405194027,0,0,"0"
"70","Cryptopsaras_couesii",-1.6780996058267,-1.45496193035137,-1.6780996058267,0,0,"0"
"71","Crystallichthys_cyclospilus",-2.72418271266269,-2.57338067980523,-2.72418271266269,0,0,"0"
"72","Cyclopsetta_chittendeni",-1.13433755757442,-1.39188257244655,-1.13433755757442,0,0,"0"
"73","Cymatogaster_aggregata",-1.15209501058555,-1.32808712367168,-1.15209501058555,0,0,"0"
"74","Cynoscion_leiarchus",-1.33533230201315,-1.34274630201505,-1.33533230201315,0,0,"0"
"75","Cynoscion_virescens",-1.33533230201315,-1.57831755981158,-1.33533230201315,0,0,"0"
"76","Cypselurus_angusticeps",-1.46630708456416,-1.39889671676577,-1.46630708456416,0,0,"0"
"77","Cypselurus_callopterus",-1.46630708456416,-1.40547718782858,-1.46630708456416,0,0,"0"
"78","Dactyloptena_orientalis",-1.91978947723929,-1.75538286035649,-1.91978947723929,0,0,"0"
"79","Dactylopus_dactylopus",-1.61706579323448,-1.56514133952662,-1.61706579323448,0,0,"0"
"80","Danaphos_oculatus",-1.42950631596797,-1.33587620210675,-1.42950631596797,0,0,"0"
"81","Dendrochirus_brachypterus",-1.42072007552418,-1.36977431342151,-1.42072007552418,0,0,"0"
"82","Dentex_macrophthalmus",-1.29956400670648,-1.47147932548016,-1.29956400670648,0,0,"0"
"83","Dentex_maroccanus",-1.29956400670648,-1.30823393478739,-1.29956400670648,0,0,"0"
"84","Diaphus_subtilis",-1.20255766373875,-1.17762692813591,-1.20255766373875,0,0,"0"
"85","Dicologlossa_cuneata",-1.14491177085783,-1.25464479453785,-1.14491177085783,0,0,"0"
"86","Dinoperca_petersi",-1.35584717219616,-1.07205806210229,-1.35584717219616,0,0,"0"
"87","Diodon_holocanthus",-1.90737601862776,-2.05273208751627,-1.90737601862776,0,0,"0"
"88","Diploprion_bifasciatum",-1.40808500379186,-0.976073529469417,-1.40808500379186,0,0,"0"
"89","Diretmus_argenteus",-1.55072132322387,-1.76474089729711,-1.55072132322387,0,0,"0"
"90","Discotrema_monogrammum",-1.30303833060217,-1.3720614149096,-1.30303833060217,0,0,"0"
"91","Dormitator_latifrons",-1.11350076631041,-1.10928610051087,-1.11350076631041,0,0,"0"
"92","Dormitator_maculatus",-1.11350076631041,-1.02775039041222,-1.11350076631041,0,0,"0"
"93","Drepane_africana",-1.36057298935773,-1.44509262036865,-1.36057298935773,0,0,"0"
"94","Elacatinus_louisae",-1.03829414052329,-1.13482892307029,-1.03829414052329,0,0,"0"
"95","Elacatinus_prochilos",-1.03829414052329,-0.933417883597666,-1.03829414052329,0,0,"0"
"96","Elagatis_bipinnulata",-2.09126598211507,-1.83202684561861,-2.09126598211507,0,0,"0"
"97","Enchelycore_bayeri",-3.0198258216993,-2.39448173715247,-3.0198258216993,1,10,"Enchelycore_bayeri"
"98","Encrasicholina_devisi",-1.2197974808491,-1.13454958397922,-1.2197974808491,0,0,"0"
"99","Epinephelus_awoara",-1.23682976311021,-1.25737002684269,-1.23682976311021,0,0,"0"
"100","Epinephelus_bleekeri",-1.23682976311021,-1.12134568599318,-1.23682976311021,0,0,"0"
"101","Epinephelus_costae",-1.23682976311021,-1.28438085236436,-1.23682976311021,0,0,"0"
"102","Epinephelus_drummondhayi",-1.23682976311021,-1.237588592567,-1.23682976311021,0,0,"0"
"103","Epinephelus_guttatus",-1.23682976311021,-1.30096135235723,-1.23682976311021,0,0,"0"
"104","Epinephelus_howlandi",-1.23682976311021,-1.22523951432621,-1.23682976311021,0,0,"0"
"105","Epinephelus_longispinis",-1.23682976311021,-1.14277161527567,-1.23682976311021,0,0,"0"
"106","Epinephelus_multinotatus",-1.23682976311021,-1.26604225772346,-1.23682976311021,0,0,"0"
"107","Ernogrammus_hexagrammus",-1.60412930352114,-1.47163232041572,-1.60412930352114,0,0,"0"
"108","Erotelis_armiger",-1.12272343495646,-1.36476554069163,-1.12272343495646,0,0,"0"
"109","Eviota_guttata",-0.999852056932625,-1.07859057969156,-0.999852056932625,0,0,"0"
"110","Evoxymetopon_taeniatus",-3.39029342308647,-3.08309833577197,-3.39029342308647,1,11,"Evoxymetopon_taeniatus"
"111","Exocoetus_volitans",-1.42776421681283,-1.44920164813219,-1.42776421681283,0,0,"0"
"112","Exyrias_belissimus",-1.14361074561668,-0.914381688947413,-1.14361074561668,0,0,"0"
