"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abantennarius_rosaceus",4.02889653016148,3.80999994277954,4.02889653016148,0,0,"0"
"2","Abudefduf_bengalensis",2.80481292318873,3.08,2.80481292318873,0,0,"0"
"3","Acanthemblemaria_harpeza",3.30176015428018,3.3199999332428,3.30176015428018,0,0,"0"
"4","Acanthemblemaria_stephensi",3.30176015428018,3.4,3.30176015428018,0,0,"0"
"5","Acanthistius_cinctus",3.98130647260836,4.09999990463257,3.98130647260836,0,0,"0"
"6","Acanthochaenus_luetkenii",3.38276641001457,3.5,3.38276641001457,0,0,"0"
"7","Acanthoclinus_fuscus",3.50140570742897,3.64,3.50140570742897,0,0,"0"
"8","Acanthopagrus_schlegelii",3.3934230769803,3.24000000953674,3.3934230769803,0,0,"0"
"9","Acanthopagrus_taiwanensis",3.3934230769803,3.3199999332428,3.3934230769803,0,0,"0"
"10","Acanthoplesiops_naka",3.33386122095451,2.5699999332428,3.33386122095451,1,1,"Acanthoplesiops_naka"
"11","Acanthurus_randalli",2.28476986412042,2,2.28476986412042,0,0,"0"
"12","Acarobythites_larsonae",3.33639944111631,3.07999992370605,3.33639944111631,0,0,"0"
"13","Acentrogobius_audax",3.363074241815,3.41000008583069,3.363074241815,0,0,"0"
"14","Acentrogobius_therezieni",3.363074241815,3.35999989509583,3.363074241815,0,0,"0"
"15","Acentrogobius_violarisi",3.363074241815,3.14000010490417,3.363074241815,0,0,"0"
"16","Acreichthys_hajam",2.94169296381306,2.91000008583069,2.94169296381306,0,0,"0"
"17","Acropoma_boholensis",3.39321289436456,3.42000007629395,3.39321289436456,0,0,"0"
"18","Acroteriobatus_ocellatus",3.48438261017553,3.46000003814697,3.48438261017553,0,0,"0"
"19","Acyrtus_rubiginosus",3.09260612030573,3.26,3.09260612030573,0,0,"0"
"20","Agonomalus_jordani",3.28466520719314,3.26999998092651,3.28466520719314,0,0,"0"
"21","Agonomalus_proboscidalis",3.28466520719314,3.27999997138977,3.28466520719314,0,0,"0"
"22","Aiakas_kreffti",3.28537990736553,3.41000008583069,3.28537990736553,0,0,"0"
"23","Akko_rossi",3.16895203101954,3.32999992370605,3.16895203101954,0,0,"0"
"24","Alabes_brevis",3.23640227064851,3.02999997138977,3.23640227064851,0,0,"0"
"25","Aldrovandia_mediorostris",3.28078308206662,3.29999995231628,3.28078308206662,0,0,"0"
"26","Alepocephalus_asperifrons",3.63058248234152,3.67000007629395,3.63058248234152,0,0,"0"
"27","Alepocephalus_dentifer",3.63058248234152,3.5699999332428,3.63058248234152,0,0,"0"
"28","Alepocephalus_longirostris",3.63058248234152,3.63000011444092,3.63058248234152,0,0,"0"
"29","Alionematichthys_shinoharai",3.29098871976125,3.19000005722046,3.29098871976125,0,0,"0"
"30","Alionematichthys_suluensis",3.29098871976125,3.22000002861023,3.29098871976125,0,0,"0"
"31","Alloblennius_frondiculus",2.69443012158626,2.75999999046326,2.69443012158626,0,0,"0"
"32","Alloblennius_pictus",2.69443012158626,2.70000004768372,2.69443012158626,0,0,"0"
"33","Allocareproctus_tanix",3.50361711983672,3.32999992370605,3.50361711983672,0,0,"0"
"34","Allocyttus_guineensis",3.79757571330846,3.73000001907349,3.79757571330846,0,0,"0"
"35","Alticus_arnoldorum",2.08592115799769,2,2.08592115799769,1,2,"Alticus_arnoldorum"
"36","Alticus_orientalis",2.08592115799769,2,2.08592115799769,1,3,"Alticus_orientalis"
"37","Aluterus_monoceros",2.44126970378631,3.84,2.44126970378631,1,4,"Aluterus_monoceros"
"38","Amblyeleotris_delicatulus",3.3214198642683,3.33999991416931,3.3214198642683,0,0,"0"
"39","Amblyeleotris_harrisorum",3.3214198642683,3.33999991416931,3.3214198642683,0,0,"0"
"40","Amblyeleotris_masuii",3.3214198642683,3.36999988555908,3.3214198642683,0,0,"0"
"41","Amblyeleotris_taipinensis",3.3214198642683,3.19000005722046,3.3214198642683,0,0,"0"
"42","Amblygaster_indiana",3.12991067554696,3.01999998092651,3.12991067554696,0,0,"0"
"43","Amblyglyphidodon_aureus",2.7723871521439,2.68,2.7723871521439,0,0,"0"
"44","Amblygobius_semicinctus",2.83542850343198,2.73000001907349,2.83542850343198,0,0,"0"
"45","Amblypomacentrus_clarus",2.78541945931462,2.80999994277954,2.78541945931462,0,0,"0"
"46","Amblypomacentrus_kuiteri",2.78541945931462,3.4,2.78541945931462,1,5,"Amblypomacentrus_kuiteri"
"47","Amblyrhynchotes_rufopunctatus",3.3920945642865,3.40000009536743,3.3920945642865,0,0,"0"
"48","Ammodytoides_idai",3.23146535412504,3.21000003814697,3.23146535412504,0,0,"0"
"49","Ammodytoides_kanazawai",3.23146535412504,3.14000010490417,3.23146535412504,0,0,"0"
