"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abantennarius_rosaceus",-3.43757624843455,0,-3.43757624843455,0,0,"0"
"2","Abudefduf_bengalensis",-5.0119635821881,0,-5.0119635821881,0,0,"0"
"3","Acanthemblemaria_harpeza",-5.38128751954119,0,-5.38128751954119,0,0,"0"
"4","Acanthemblemaria_stephensi",-5.38128751954119,0,-5.38128751954119,0,0,"0"
"5","Acanthistius_cinctus",-1.94692150562018,0,-1.94692150562018,0,0,"0"
"6","Acanthochaenus_luetkenii",0.469238719365675,0,0.469238719365675,1,1,"Acanthochaenus_luetkenii"
"7","Acanthoclinus_fuscus",-3.47187101344569,0,-3.47187101344569,0,0,"0"
"8","Acanthopagrus_schlegelii",-1.71043321029988,0,-1.71043321029988,0,0,"0"
"9","Acanthopagrus_taiwanensis",-1.71043321029988,0,-1.71043321029988,0,0,"0"
"10","Acanthoplesiops_naka",-2.39557574997624,1,-2.39557574997624,1,2,"Acanthoplesiops_naka"
"11","Acanthurus_randalli",-5.2318389627388,0,-5.2318389627388,0,0,"0"
"12","Acarobythites_larsonae",-2.4189730043105,0,-2.4189730043105,0,0,"0"
"13","Acentrogobius_audax",-4.85953740034482,0,-4.85953740034482,0,0,"0"
"14","Acentrogobius_therezieni",-4.85953740034482,0,-4.85953740034482,0,0,"0"
"15","Acentrogobius_violarisi",-4.85953740034482,0,-4.85953740034482,0,0,"0"
"16","Acreichthys_hajam",-4.41264019247247,0,-4.41264019247247,0,0,"0"
"17","Acropoma_boholensis",1.0485056731587,1,1.0485056731587,0,0,"0"
"18","Acroteriobatus_ocellatus",-3.65742511916394,0,-3.65742511916394,0,0,"0"
"19","Acyrtus_rubiginosus",-4.31914451746126,0,-4.31914451746126,0,0,"0"
"20","Agonomalus_jordani",-4.88881898502224,0,-4.88881898502224,0,0,"0"
"21","Agonomalus_proboscidalis",-4.88881898502224,0,-4.88881898502224,0,0,"0"
"22","Aiakas_kreffti",-3.31503990663919,0,-3.31503990663919,0,0,"0"
"23","Akko_rossi",-4.17096272482923,0,-4.17096272482923,0,0,"0"
"24","Alabes_brevis",-4.49381007159764,0,-4.49381007159764,0,0,"0"
"25","Aldrovandia_mediorostris",0.0617643181768066,1,0.0617643181768066,0,0,"0"
"26","Alepocephalus_asperifrons",-2.2250921615385,0,-2.2250921615385,0,0,"0"
"27","Alepocephalus_dentifer",-2.2250921615385,0,-2.2250921615385,0,0,"0"
"28","Alepocephalus_longirostris",-2.2250921615385,0,-2.2250921615385,0,0,"0"
"29","Alionematichthys_shinoharai",-4.94962853679528,0,-4.94962853679528,0,0,"0"
"30","Alionematichthys_suluensis",-4.94962853679528,0,-4.94962853679528,0,0,"0"
"31","Alloblennius_frondiculus",-3.94464469775887,0,-3.94464469775887,0,0,"0"
"32","Alloblennius_pictus",-3.94464469775887,0,-3.94464469775887,0,0,"0"
"33","Allocareproctus_tanix",-2.81677340393436,0,-2.81677340393436,0,0,"0"
"34","Allocyttus_guineensis",0.189083305588315,1,0.189083305588315,0,0,"0"
"35","Alticus_arnoldorum",-4.14512739910725,0,-4.14512739910725,0,0,"0"
"36","Alticus_orientalis",-4.14512739910725,0,-4.14512739910725,0,0,"0"
"37","Aluterus_monoceros",-4.41463880452129,0,-4.41463880452129,0,0,"0"
"38","Amblyeleotris_delicatulus",-4.76139308537451,0,-4.76139308537451,0,0,"0"
"39","Amblyeleotris_harrisorum",-4.76139308537451,0,-4.76139308537451,0,0,"0"
