"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_vaigiensis",2.38861882114505,2.9391619220656,18.7312953664573,0,0,"0"
"2","Acanthopagrus_berda",3.75832571862202,3.62033291157883,-3.81160546318407,0,0,"0"
"3","Acanthurus_triostegus",3.3889107411767,2.99573227355399,-13.1246196829286,0,0,"0"
"4","Ammodytes_marinus",3.28804800168359,2.95001550665701,-11.4586684125482,0,0,"0"
"5","Anarhichas_denticulatus",4.74726785535051,5.04985600724954,5.99201544488864,0,0,"0"
"6","Anoplogaster_cornuta",3.45241424463701,2.70805020110221,-27.4870843691093,0,0,"0"
"7","Anotopterus_nikparini",3.77508484788232,4.70048036579242,19.6872541930955,0,0,"0"
"8","Aristostomias_scintillans",3.18110838594628,3.13549421592915,-1.45476811232493,0,0,"0"
"9","Asterropteryx_semipunctata",2.20646407948356,1.76644166124377,-24.9101019237718,0,0,"0"
"10","Bathypterois_mediterraneus",3.17911584825168,2.89037175789616,-9.98985993987467,0,0,"0"
"11","Bathyraja_kincaidii",4.85387935844647,4.10439802307072,-18.2604448000153,0,0,"0"
"12","Bathyraja_taranetzi",4.85387935844647,4.32941668440158,-12.113933868608,0,0,"0"
"13","Boleophthalmus_boddarti",2.74622451414522,2.82137888640921,2.66374617836741,0,0,"0"
"14","Bovichtus_diacanthus",3.52010623641299,3.03013370027132,-16.1699972545039,0,0,"0"
"15","Calamus_nodosus",3.62694781974262,3.98805769170414,9.05478054424067,0,0,"0"
"16","Callionymus_lyra",3.03473620504755,3.05635689537043,0.707400708197048,0,0,"0"
"17","Carcharhinus_brachyurus",5.31097029091849,5.95324333428778,10.7886240710187,0,0,"0"
"18","Carcharhinus_dussumieri",5.31097029091849,4.76870526569699,-11.3713260729743,1,1,"Carcharhinus_dussumieri"
"19","Carcharhinus_galapagensis",5.31097029091849,5.9622931698077,10.9240330916203,0,0,"0"
"20","Carcharhinus_porosus",5.31097029091849,4.90897164031976,-8.18906035832273,1,2,"Carcharhinus_porosus"
"21","Centracanthus_cirrus",3.87758901461306,2.82137888640921,-37.4359549258588,1,3,"Centracanthus_cirrus"
"22","Cetengraulis_mysticetus",2.82746862421284,3.01553490085017,6.23658099875775,0,0,"0"
"23","Chaetodon_larvatus",2.5687765686551,2.43848866976362,-5.3429774149457,0,0,"0"
"24","Chaetodon_melapterus",2.5687765686551,2.55722731136763,-0.451632017072951,0,0,"0"
"25","Cheilinus_undulatus",3.20342180031453,4.92725368515721,34.9856531648762,1,4,"Cheilinus_undulatus"
"26","Cheilotrema_saturnum",3.7981796494007,3.85014760171006,1.34976519565843,0,0,"0"
"27","Chelidonichthys_lastoviza",3.65362680581865,3.49814258771863,-4.44476502032531,0,0,"0"
"28","Chilara_taylori",4.0731492801587,3.58351893845611,-13.6633948393067,0,0,"0"
"29","Cynoscion_arenarius",4.15910719489292,3.5176461943054,-18.2355178762992,0,0,"0"
"30","Decapterus_macrosoma",3.43381459857289,3.3048394309153,-3.90261525117028,0,0,"0"
"31","Decapterus_tabl",3.43381459857289,3.48431228837266,1.44928713675533,0,0,"0"
"32","Dentex_maroccanus",3.96824979489865,3.46394859222563,-14.5585648645265,0,0,"0"
"33","Diplodus_cadenati",3.52032557450402,3.81844465846858,7.80734331983544,0,0,"0"
"34","Dules_auriga",3.35852135407978,2.9516497609838,-13.7845485082338,0,0,"0"
"35","Epinephelides_armatus",3.11187112181491,3.99700732933314,22.1449733409897,0,0,"0"
"36","Etmopterus_spinax",4.92144593035242,3.74242022104197,-31.5043645468061,1,5,"Etmopterus_spinax"
"37","Etropus_crossotus",3.10749424132557,2.95664488484594,-5.10204513409092,0,0,"0"
"38","Etrumeus_golanii",3.24952479785513,3.28840188751681,1.18224873332127,0,0,"0"
"39","Facciolella_gilbertii",4.33840559164694,4.0943445622221,-5.96093039351778,0,0,"0"
"40","Gadiculus_argenteus",3.28443525816662,2.88759011493429,-13.7431258397752,0,0,"0"
"41","Gadus_chalcogrammus",4.32761982372533,4.49825290364201,3.79331895230984,0,0,"0"
"42","Glaucosoma_buergeri",4.18836878293168,4.00320345751214,-4.62542879433397,0,0,"0"
"43","Gobiosoma_robustum",2.25083156598801,1.56861591791385,-43.4915673290795,0,0,"0"
"44","Gymnocanthus_galeatus",3.30864500134888,4.02356438016105,17.7683096693374,0,0,"0"
"45","Harpagifer_antarcticus",3.54507076543464,2.35137525716348,-50.7658445683886,1,6,"Harpagifer_antarcticus"
"46","Hippocampus_kuda",2.50607192114893,3.02286094094224,17.0960235978379,0,0,"0"
"47","Hyporthodus_cifuentesi",4.65364420879554,4.79579054559674,2.96398133842003,0,0,"0"
"48","Icelus_canaliculatus",3.01314211371915,3.06339092202781,1.64030022898279,0,0,"0"
"49","Icelus_spiniger",3.01314211371915,3.37587957367787,10.7449762955713,0,0,"0"
"50","Karalepis_stewarti",2.03172290537407,2.86789890204411,29.1563972521504,1,7,"Karalepis_stewarti"
"51","Labrus_mixtus",3.68792567123958,3.65065824129374,-1.02084137935171,0,0,"0"
"52","Lepidion_lepidion",4.17794397512432,3.65065824129374,-14.4435797321778,0,0,"0"
"53","Lepidorhombus_boscii",3.573127453916,3.65057420414927,2.12149502796694,0,0,"0"
