"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_abdominalis",3.5402704909861,1,-254.02704909861,1,1,"Abudefduf_abdominalis"
"2","Abudefduf_concolor",3.5402704909861,1,-254.02704909861,1,2,"Abudefduf_concolor"
"3","Abudefduf_vaigiensis",3.5402704909861,1,-254.02704909861,1,3,"Abudefduf_vaigiensis"
"4","Abyssoberyx_levisquamosus",-1.94679467425024,0,Inf,0,0,"0"
"5","Acanthemblemaria_castroi",0.826371008484637,1,17.3628991515363,0,0,"0"
"6","Acanthemblemaria_johnsoni",0.826371008484637,1,17.3628991515363,0,0,"0"
"7","Acanthemblemaria_maria",0.826371008484637,1,17.3628991515363,0,0,"0"
"8","Acanthemblemaria_rivasi",0.826371008484637,1,17.3628991515363,0,0,"0"
"9","Acanthistius_ocellatus",0.302351777645215,1,69.7648222354785,0,0,"0"
"10","Acanthocepola_krusensternii",-0.323508342645914,0,Inf,0,0,"0"
"11","Acanthochaenus_luetkenii",-1.94679467425024,1,294.679467425024,1,4,"Acanthochaenus_luetkenii"
"12","Acanthonus_armatus",-1.180053340762,0,Inf,0,0,"0"
"13","Acanthopagrus_berda",-1.09393875828452,0,Inf,0,0,"0"
"14","Acanthoplesiops_cappuccino",-0.781252200272166,1,178.125220027217,0,0,"0"
"15","Acanthurus_fowleri",3.23043430557992,1,-223.043430557992,0,0,"0"
"16","Acanthurus_leucosternon",3.23043430557992,1,-223.043430557992,0,0,"0"
"17","Acanthurus_triostegus",3.23043430557992,1,-223.043430557992,0,0,"0"
"18","Acentrogobius_viganensis",-1.23206389493578,0,Inf,0,0,"0"
"19","Acentrogobius_violarisi",-1.23206389493578,0,Inf,0,0,"0"
"20","Acentrogobius_viridipunctatus",-1.23206389493578,0,Inf,0,0,"0"
"21","Acentronura_tentaculata",0.337607913710102,1,66.2392086289898,0,0,"0"
"22","Acreichthys_hajam",1.02602508652356,0,-Inf,0,0,"0"
"23","Acroteriobatus_andysabini",-1.63761224674075,0,Inf,0,0,"0"
"24","Acroteriobatus_leucospilus",-1.63761224674075,0,Inf,0,0,"0"
